BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	timepoint	tissue source	treatment	group
SAMN02721615	SRR1223541	2014-04-14T10:02:10Z	2014-04-09T00:18:53Z	21411536	2141153600	21411536	100	1420		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223541/SRR1223541.1	SRX513312		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590255	simple	9606	Homo sapiens	GSM1365932							no					GEO	SRA156980		public	CC795076D7A361322C4F2A942F9AFAB6	DB22397A08AB1D80AC52D991B5DABF8E	2721615	1.4hr.JJN3.Control	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590255	GSM1365932	JJN3	Multiple myeloma	4hr	bone marrow	Control	JJN3.Control.4hr
SAMN02721614	SRR1223542	2014-04-14T10:02:10Z	2014-04-09T00:19:05Z	21042805	2104280500	21042805	100	1328		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223542/SRR1223542.1	SRX513313		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590256	simple	9606	Homo sapiens	GSM1365933							no					GEO	SRA156980		public	0824E1495F61675AB6D943A61C3213DA	283973B4527F1104BA6C4F2009B02A4B	2721614	2.4hr.JJN3.LBH.589	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590256	GSM1365933	JJN3	Multiple myeloma	4hr	bone marrow	LBH.589	JJN3.LBH.589.4hr
SAMN02721616	SRR1223543	2014-04-14T10:02:10Z	2014-04-09T00:17:42Z	20634748	2063474800	20634748	100	1342		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223543/SRR1223543.1	SRX513314		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590257	simple	9606	Homo sapiens	GSM1365934							no					GEO	SRA156980		public	E56979E63975DC5A0492289F616C54BB	B254C7FA8FA6CF43C7D746E34932779A	2721616	3.4hr.JJN3.5.AZA	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590257	GSM1365934	JJN3	Multiple myeloma	4hr	bone marrow	5.AZA	JJN3.5.AZA.4hr
SAMN02721613	SRR1223544	2014-04-14T10:02:10Z	2014-04-09T00:18:50Z	25009065	2500906500	25009065	100	1673		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223544/SRR1223544.1	SRX513315		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590258	simple	9606	Homo sapiens	GSM1365935							no					GEO	SRA156980		public	B78AB8E0F4378BF65A060BF719423386	A9C6F954631FD1560D02070068C3C323	2721613	4.4hr.JJN3.Combo	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590258	GSM1365935	JJN3	Multiple myeloma	4hr	bone marrow	Combo	JJN3.Combo.4hr
SAMN02721618	SRR1223545	2014-04-14T10:02:10Z	2014-04-09T00:18:36Z	22603698	2260369800	22603698	100	1491		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223545/SRR1223545.1	SRX513316		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590259	simple	9606	Homo sapiens	GSM1365936							no					GEO	SRA156980		public	5430C8B556B66A1271126D3A3380262E	61F796E474B16794AD7FEB06C9151386	2721618	5.4hr.JJN3.NMP	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590259	GSM1365936	JJN3	Multiple myeloma	4hr	bone marrow	NMP	JJN3.NMP.4hr
SAMN02721623	SRR1223546	2014-04-14T10:02:10Z	2014-04-09T00:18:42Z	21873742	2187374200	21873742	100	1432		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223546/SRR1223546.1	SRX513317		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590260	simple	9606	Homo sapiens	GSM1365937							no					GEO	SRA156980		public	0710E13A6E95292D3106DE33CABD8F60	5C615A7FD35EAC6E602FE4F52E60CF0A	2721623	6.4hr.U266.Control	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590260	GSM1365937	U266	Multiple myeloma	4hr	peripheral blood	Control	U266.Control.4hr
SAMN02721622	SRR1223547	2014-04-14T10:02:10Z	2014-04-09T00:18:30Z	21984139	2198413900	21984139	100	1433		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223547/SRR1223547.1	SRX513318		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590261	simple	9606	Homo sapiens	GSM1365938							no					GEO	SRA156980		public	F004CFDBB8AE180DEF65CCFD125AAC73	72630C50237C08C72EE52F465BE0A6A8	2721622	7.4hr.U266.LBH.589	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590261	GSM1365938	U266	Multiple myeloma	4hr	peripheral blood	LBH.589	U266.LBH.589.4hr
SAMN02721617	SRR1223548	2014-04-14T10:02:10Z	2014-04-09T00:18:35Z	21177779	2117777900	21177779	100	1380		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223548/SRR1223548.1	SRX513319		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590262	simple	9606	Homo sapiens	GSM1365939							no					GEO	SRA156980		public	18753B2BBD43A5D2C5CBD7ADFB5A35EF	A17F9B2B504477170BF563F60CC0C068	2721617	8.4hr.U266.5.AZA	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590262	GSM1365939	U266	Multiple myeloma	4hr	peripheral blood	5.AZA	U266.5.AZA.4hr
SAMN02721620	SRR1223549	2014-04-14T10:02:10Z	2014-04-09T00:18:22Z	22693887	2269388700	22693887	100	1476		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223549/SRR1223549.1	SRX513320		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590263	simple	9606	Homo sapiens	GSM1365940							no					GEO	SRA156980		public	B7DC0509F7594311838C4125220EDCFA	88712A124F060D163A032AF4E6E6F8F6	2721620	9.4hr.U266.Combo	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590263	GSM1365940	U266	Multiple myeloma	4hr	peripheral blood	Combo	U266.Combo.4hr
SAMN02721619	SRR1223550	2014-04-14T10:02:10Z	2014-04-09T00:19:10Z	22948587	2294858700	22948587	100	1545		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223550/SRR1223550.1	SRX513321		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590264	simple	9606	Homo sapiens	GSM1365941							no					GEO	SRA156980		public	17F7F176F8C691E61F67F28C72E8D994	21A34E011CBD640362041D6D033A487D	2721619	10.4hr.U266.NMP	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590264	GSM1365941	U266	Multiple myeloma	4hr	peripheral blood	NMP	U266.NMP.4hr
