BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	group
SAMN02905118	SRR1509398	2014-10-21T16:42:05Z	2014-07-08T19:17:43Z	9020382	297672606	0	33	192		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509398/SRR1509398.1	SRX648225		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP044171	PRJNA254756	2	254756	SRS655486	simple	9606	Homo sapiens	GSM1430904							no					GEO	SRA174535		public	1DED038D880E26537F481757B751AA27	98742B84A94696767ADF612374B1C929	2905118	Ls174T_pLKO-empty_DMSO_replicate 1_RNAseq	Martin Eilers, Institute for Biochemistry and Molecular Biology, University of Wuerzburg	9606	SRS655486	GSM1430904	Ls174T	Ls174T cells	pLKO_empty.DMSO
SAMN02905119	SRR1509399	2014-10-21T16:42:05Z	2014-07-08T19:16:05Z	9398911	310164063	0	33	199		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509399/SRR1509399.1	SRX648226		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP044171	PRJNA254756	2	254756	SRS655487	simple	9606	Homo sapiens	GSM1430905							no					GEO	SRA174535		public	85A4B88577E18969C68A35843A4A0EA6	69BB4CA3B5213896F1415DAB65F0A7B8	2905119	Ls174T_pLKO-empty_DMSO_replicate 2_RNAseq	Martin Eilers, Institute for Biochemistry and Molecular Biology, University of Wuerzburg	9606	SRS655487	GSM1430905	Ls174T	Ls174T cells	pLKO_empty.DMSO
SAMN02905120	SRR1509400	2014-10-21T16:42:05Z	2014-07-08T19:14:51Z	9229769	304582377	0	33	195		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509400/SRR1509400.1	SRX648227		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP044171	PRJNA254756	2	254756	SRS655488	simple	9606	Homo sapiens	GSM1430906							no					GEO	SRA174535		public	EE90C728379276D49DFBF7D8F5C08F2C	D586811328F515AC31B3B4BC74746920	2905120	Ls174T_pLKO-empty_BI8622_replicate 1_RNAseq	Martin Eilers, Institute for Biochemistry and Molecular Biology, University of Wuerzburg	9606	SRS655488	GSM1430906	Ls174T	Ls174T cells	pLKO_empty.BI8622
SAMN02905121	SRR1509401	2014-10-21T16:42:05Z	2014-07-08T19:18:43Z	8888182	293310006	0	33	188		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509401/SRR1509401.1	SRX648228		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP044171	PRJNA254756	2	254756	SRS655489	simple	9606	Homo sapiens	GSM1430907							no					GEO	SRA174535		public	866017B1A524950183DAF1E5D7D1151C	AD66E6B2BB3524204F0A73B1F3E19C44	2905121	Ls174T_pLKO-empty_BI8622_replicate 2_RNAseq	Martin Eilers, Institute for Biochemistry and Molecular Biology, University of Wuerzburg	9606	SRS655489	GSM1430907	Ls174T	Ls174T cells	pLKO_empty.BI8622
SAMN02905122	SRR1509402	2014-10-21T16:42:05Z	2014-07-08T19:15:02Z	10136001	334488033	0	33	215		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509402/SRR1509402.1	SRX648229		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP044171	PRJNA254756	2	254756	SRS655490	simple	9606	Homo sapiens	GSM1430908							no					GEO	SRA174535		public	2255A4AD7225B6333355A243D33EFBB1	6E45C7A1CC577B08918B2360AE130517	2905122	Ls174T_pLKO-shHUWE1_DMSO_replicate 1_RNAseq	Martin Eilers, Institute for Biochemistry and Molecular Biology, University of Wuerzburg	9606	SRS655490	GSM1430908	Ls174T	Ls174T cells	shHUWE1.DMSO
SAMN02905123	SRR1509403	2014-10-21T16:42:05Z	2014-07-08T19:14:59Z	8492274	280245042	0	33	181		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509403/SRR1509403.1	SRX648230		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP044171	PRJNA254756	2	254756	SRS655491	simple	9606	Homo sapiens	GSM1430909							no					GEO	SRA174535		public	529929AC30A80643F45BEBC980E177DA	528402E650ED22B14384C4EFA2C0C53C	2905123	Ls174T_pLKO-shHUWE1_DMSO_replicate 2_RNAseq	Martin Eilers, Institute for Biochemistry and Molecular Biology, University of Wuerzburg	9606	SRS655491	GSM1430909	Ls174T	Ls174T cells	shHUWE1.DMSO
SAMN02905124	SRR1509404	2014-10-21T16:42:05Z	2014-07-08T19:18:03Z	8940809	295046697	0	33	189		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509404/SRR1509404.1	SRX648231		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP044171	PRJNA254756	2	254756	SRS655492	simple	9606	Homo sapiens	GSM1430910							no					GEO	SRA174535		public	E623EBCC6125EA76958D4D1BD7E4C3A1	E7A5FCC25F00FA5E6A31AB0900FF0DEA	2905124	Ls174T_pLKO-shHUWE1_BI8622_replicate 1_RNAseq	Martin Eilers, Institute for Biochemistry and Molecular Biology, University of Wuerzburg	9606	SRS655492	GSM1430910	Ls174T	Ls174T cells	shHUWE1.BI8622
SAMN02905125	SRR1509405	2014-10-21T16:42:05Z	2014-07-08T19:18:17Z	11179872	368935776	0	33	238		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509405/SRR1509405.1	SRX648232		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP044171	PRJNA254756	2	254756	SRS655493	simple	9606	Homo sapiens	GSM1430911							no					GEO	SRA174535		public	010DA35B4FFF3C52ED6345C99EB89AC9	B8D5D14076D26BF3FB9DC3291980659A	2905125	Ls174T_pLKO-shHUWE1_BI8622_replicate 2_RNAseq	Martin Eilers, Institute for Biochemistry and Molecular Biology, University of Wuerzburg	9606	SRS655493	GSM1430911	Ls174T	Ls174T cells	shHUWE1.BI8622
SAMN02905126	SRR1509406	2014-10-21T16:42:05Z	2014-07-08T19:14:53Z	8672850	286204050	0	33	161		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509406/SRR1509406.1	SRX648233		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP044171	PRJNA254756	2	254756	SRS655494	simple	9606	Homo sapiens	GSM1430912							no					GEO	SRA174535		public	8C46F21F1156E412307802FE4C85294A	AE132E04A4620B051EB5C1629F87625A	2905126	Ls174T_pIND-shMiz1_-Dox_DMSO_replicate 1_RNAseq	Martin Eilers, Institute for Biochemistry and Molecular Biology, University of Wuerzburg	9606	SRS655494	GSM1430912	Ls174T	Ls174T cells	pIND_shMiz1.minusDox_DMSO
SAMN02905127	SRR1509407	2014-10-21T16:42:05Z	2014-07-08T19:15:18Z	9206654	303819582	0	33	172		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509407/SRR1509407.1	SRX648234		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP044171	PRJNA254756	2	254756	SRS655495	simple	9606	Homo sapiens	GSM1430913							no					GEO	SRA174535		public	0134BA3395E7759FEFCF96334E58EB28	1D0F9EA70F8681EB318FE166944FBAC6	2905127	Ls174T_pIND-shMiz1_-Dox_DMSO_replicate 2_RNAseq	Martin Eilers, Institute for Biochemistry and Molecular Biology, University of Wuerzburg	9606	SRS655495	GSM1430913	Ls174T	Ls174T cells	pIND_shMiz1.minusDox_DMSO
