BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell type	genotype	source_name	cell_line	treatment	group
SAMN04565801	SRR3234335	2016-05-02T09:32:05Z	2016-03-17T16:45:51Z	37509473	1875473650	0	50	1132		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3234335/SRR3234335.1	SRX1639954		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP071942	PRJNA315563	2	315563	SRS1346617	simple	9606	Homo sapiens	GSM2090887							no					GEO	SRA386148		public	AA10559EBEC45BDDC9AEA0F35AA82949	F8577E2E94468D71DD1CDD435BA3F2EF	4565801	HL60 DMSO 1	Vakoc Lab, Cold Spring Harbor Laboratory	9606	SRS1346617	GSM2090887	Acute myeloid leukemia	Myc amplification	HL60	HL60	DMSO	HL60.Myc_amplification.DMSO
SAMN04565803	SRR3234336	2016-05-02T09:32:05Z	2016-03-17T16:44:06Z	48159057	2407952850	0	50	1458		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3234336/SRR3234336.1	SRX1639955		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP071942	PRJNA315563	2	315563	SRS1346615	simple	9606	Homo sapiens	GSM2090888							no					GEO	SRA386148		public	8FDA4E1481DEA472B08AB49B8B7AD794	E6A057D6058D242AC9084EA30801D875	4565803	HL60 BI-7273 1	Vakoc Lab, Cold Spring Harbor Laboratory	9606	SRS1346615	GSM2090888	Acute myeloid leukemia	Myc amplification	HL60	HL60	BRD9 inhibitor	HL60.Myc_amplification.BI_7273
SAMN04565804	SRR3234337	2016-05-02T09:32:05Z	2016-03-17T16:56:43Z	50279395	2488797776	0	49	1694		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3234337/SRR3234337.1	SRX1639956		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP071942	PRJNA315563	2	315563	SRS1346616	simple	9606	Homo sapiens	GSM2090889							no					GEO	SRA386148		public	565065DE1FDF5C94732CCC64FB66F36A	7DEE9E5EDB324A491DE1CAC9AD4F2A8F	4565804	HL60 DMSO 2	Vakoc Lab, Cold Spring Harbor Laboratory	9606	SRS1346616	GSM2090889	Acute myeloid leukemia	Myc amplification	HL60	HL60	DMSO	HL60.Myc_amplification.DMSO
SAMN04565805	SRR3234338	2016-05-02T09:32:05Z	2016-03-17T16:49:03Z	47187219	2336886923	0	49	1600		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3234338/SRR3234338.1	SRX1639957		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP071942	PRJNA315563	2	315563	SRS1346614	simple	9606	Homo sapiens	GSM2090890							no					GEO	SRA386148		public	E8FF6EE30EDBA777AF4CC9209FA5138E	9D0AC5328792F5CCA36242D1AB7435F6	4565805	HL60 BI-7273 2	Vakoc Lab, Cold Spring Harbor Laboratory	9606	SRS1346614	GSM2090890	Acute myeloid leukemia	Myc amplification	HL60	HL60	BRD9 inhibitor	HL60.Myc_amplification.BI_7273
SAMN04565806	SRR3234339	2016-05-02T09:32:05Z	2016-03-17T16:44:12Z	45236523	2261826150	0	50	1366		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3234339/SRR3234339.1	SRX1639958		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP071942	PRJNA315563	2	315563	SRS1346613	simple	9606	Homo sapiens	GSM2090891							no					GEO	SRA386148		public	DA26F0CAF060820D585BE7C89FB744C1	E17802BB695E08C9333F0ADF15E67C03	4565806	MV4-11 DMSO 1	Vakoc Lab, Cold Spring Harbor Laboratory	9606	SRS1346613	GSM2090891	Acute myeloid leukemia	MLL-AF4	MV4-11	MV4-11	DMSO	MV411.MLL_AF4.DMSO
SAMN04565807	SRR3234340	2016-05-02T09:32:05Z	2016-03-17T16:44:03Z	44952856	2247642800	0	50	1359		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3234340/SRR3234340.1	SRX1639959		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP071942	PRJNA315563	2	315563	SRS1346612	simple	9606	Homo sapiens	GSM2090892							no					GEO	SRA386148		public	098097A30E146C736958B2141AEF5A29	1AE60545796287363895411E6D913DB9	4565807	MV4-11 BI-7273 1	Vakoc Lab, Cold Spring Harbor Laboratory	9606	SRS1346612	GSM2090892	Acute myeloid leukemia	MLL-AF4	MV4-11	MV4-11	BRD9 inhibitor	MV411.MLL_AF4.BI_7273
SAMN04565814	SRR3234341	2016-05-02T09:32:05Z	2016-03-17T16:56:11Z	50379866	2494706190	0	49	1694		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3234341/SRR3234341.1	SRX1639960		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP071942	PRJNA315563	2	315563	SRS1346611	simple	9606	Homo sapiens	GSM2090893							no					GEO	SRA386148		public	8D1D8447ED8F5710032B1C8A1A46C9E9	8904DBCC54E92EA593D5D1C3EEE32C60	4565814	MV4-11 DMSO 2	Vakoc Lab, Cold Spring Harbor Laboratory	9606	SRS1346611	GSM2090893	Acute myeloid leukemia	MLL-AF4	MV4-11	MV4-11	DMSO	MV411.MLL_AF4.DMSO
SAMN04565818	SRR3234342	2016-05-02T09:32:05Z	2016-03-17T16:51:22Z	51089709	2527827244	0	49	1718		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3234342/SRR3234342.1	SRX1639961		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP071942	PRJNA315563	2	315563	SRS1346610	simple	9606	Homo sapiens	GSM2090894							no					GEO	SRA386148		public	F5C74EC36E9DA43C2EED3505ED7E4EC2	6DCFD64FA2AFCF3D2DDD7274747A28DF	4565818	MV4-11 BI-7273 2	Vakoc Lab, Cold Spring Harbor Laboratory	9606	SRS1346610	GSM2090894	Acute myeloid leukemia	MLL-AF4	MV4-11	MV4-11	BRD9 inhibitor	MV411.MLL_AF4.BI_7273
SAMN04565819	SRR3234343	2016-05-02T09:32:05Z	2016-03-17T16:48:43Z	49111402	2427834851	0	49	1664		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3234343/SRR3234343.1	SRX1639962		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP071942	PRJNA315563	2	315563	SRS1346609	simple	9606	Homo sapiens	GSM2090895							no					GEO	SRA386148		public	A144107FC6B32795873D42776C997C0C	A5176F3E3738C8B62B8847AC166C8956	4565819	HeLa DMSO 1	Vakoc Lab, Cold Spring Harbor Laboratory	9606	SRS1346609	GSM2090895	Cervical cancer		HeLa	HeLa	DMSO	HeLa.DMSO
SAMN04565815	SRR3234344	2016-05-02T09:32:05Z	2016-03-17T16:51:35Z	58677539	2902809792	0	49	1991		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3234344/SRR3234344.1	SRX1639963		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP071942	PRJNA315563	2	315563	SRS1346608	simple	9606	Homo sapiens	GSM2090896							no					GEO	SRA386148		public	6084BAEA7AF376041DDD0170115CB0F4	F74EE43A81505DBF578382F0BA4CCB65	4565815	HeLa BI-7273 1	Vakoc Lab, Cold Spring Harbor Laboratory	9606	SRS1346608	GSM2090896	Cervical cancer		HeLa	HeLa	BRD9 inhibitor	HeLa.BI_7273
