Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR3954084,2017-02-13 15:46:23,2016-07-26 14:53:27,33726493,1720051143,0,51,672,GCA_000001405.13,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3954084/SRR3954084.1,SRX1978325,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP079914,PRJNA335388,2,335388,SRS1585891,SAMN05441358,simple,9606,Homo sapiens,GSM2252624,,,,,,,no,,,,,GEO,SRA444664,,public,4E9A910718C8024B27CB560AF079B759,2857E2D3ADE23254AD29DF27DA57D9CB
SRR3954085,2017-02-13 15:46:23,2016-07-26 14:54:07,32723303,1668888453,0,51,656,GCA_000001405.13,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3954085/SRR3954085.1,SRX1978326,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP079914,PRJNA335388,2,335388,SRS1585892,SAMN05441357,simple,9606,Homo sapiens,GSM2252625,,,,,,,no,,,,,GEO,SRA444664,,public,70FC901CE87EFE0D903DE815B906C275,6C60F26C4C9168CC2EB0CEE5D74FE7D3
SRR3954086,2017-02-13 15:46:23,2016-07-26 14:55:53,38433887,1960128237,0,51,763,GCA_000001405.13,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR3954086/SRR3954086.1,SRX1978327,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP079914,PRJNA335388,2,335388,SRS1585893,SAMN05441356,simple,9606,Homo sapiens,GSM2252626,,,,,,,no,,,,,GEO,SRA444664,,public,AAC768D229DDC9DB67998854CC6DE2D5,F6BEBF62155A42FF3370C2FC87800963
SRR3954087,2017-02-13 15:46:23,2016-07-26 14:55:33,36945938,1884242838,0,51,738,GCA_000001405.13,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR3954087/SRR3954087.1,SRX1978328,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP079914,PRJNA335388,2,335388,SRS1585894,SAMN05441355,simple,9606,Homo sapiens,GSM2252627,,,,,,,no,,,,,GEO,SRA444664,,public,70B355AE5D46B1841FADD22C29476E03,84055B358FA3E74C42C6FC1245D994C1
SRR3954088,2017-02-13 15:46:23,2016-07-26 14:53:31,25002076,1275105876,0,51,505,GCA_000001405.13,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3954088/SRR3954088.1,SRX1978329,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP079914,PRJNA335388,2,335388,SRS1585896,SAMN05441354,simple,9606,Homo sapiens,GSM2252628,,,,,,,no,,,,,GEO,SRA444664,,public,7699CB74A606D5FF17AE256779D5B7FB,E125571456627EE1544F9E5E7E0CB02F
SRR3954089,2017-02-13 15:46:23,2016-07-26 14:56:22,35977355,1834845105,0,51,728,GCA_000001405.13,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3954089/SRR3954089.1,SRX1978330,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP079914,PRJNA335388,2,335388,SRS1585897,SAMN05441362,simple,9606,Homo sapiens,GSM2252629,,,,,,,no,,,,,GEO,SRA444664,,public,7FF310233F65A575D62D46A44B1E93CE,0458C3347FBCD6B67077D59549218737
SRR3954090,2017-02-13 15:46:23,2016-07-26 14:54:56,42690898,2177235798,0,51,865,GCA_000001405.13,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR3954090/SRR3954090.1,SRX1978331,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP079914,PRJNA335388,2,335388,SRS1585898,SAMN05441361,simple,9606,Homo sapiens,GSM2252630,,,,,,,no,,,,,GEO,SRA444664,,public,5D0D82FE2F3279A41A1D4EB2C2B17FFA,510DABBE66C93B6D6480C487FDAD52DF
SRR3954091,2017-02-13 15:46:23,2016-07-26 14:54:06,32766971,1671115521,0,51,660,GCA_000001405.13,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3954091/SRR3954091.1,SRX1978332,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP079914,PRJNA335388,2,335388,SRS1585899,SAMN05441360,simple,9606,Homo sapiens,GSM2252631,,,,,,,no,,,,,GEO,SRA444664,,public,5A93CAF8A0FA195DE2AC453E0DA3C255,8A03A7B6D1DD8C48149CC28ECF26C1A1
SRR3954092,2017-02-13 15:46:23,2016-07-26 14:59:12,29877266,1523740566,0,51,607,GCA_000001405.13,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3954092/SRR3954092.1,SRX1978333,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP079914,PRJNA335388,2,335388,SRS1585900,SAMN05441359,simple,9606,Homo sapiens,GSM2252632,,,,,,,no,,,,,GEO,SRA444664,,public,BF1A975DEB4A21F4777C51F6599DB706,252F80840199BA3F6F5F514EDA0741C8
SRR4044027,2017-02-13 15:46:23,2016-08-19 15:42:55,21468231,1073411550,0,50,404,GCA_000001405.13,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044027/SRR4044027.1,SRX2034932,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP079914,PRJNA335388,2,335388,SRS1628885,SAMN05591765,simple,9606,Homo sapiens,GSM2284967,,,,,,,no,,,,,GEO,SRA444664,,public,88D424A1E4ACF70BD55F8841A7E5A8FE,8C80FDB1FC637BFBFEB7B0E4DA20BFEE
