BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line name	replicate	source_name	treatment	treatment time	tumor type	group
SAMN05597387	SRR4044970	2016-08-23T16:47:43Z	2016-08-19T15:49:03Z	16659081	1699226262	16659081	102	1047		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044970/SRR4044970.1	SRX2035834		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629716	simple	9606	Homo sapiens	GSM2285378							no					GEO	SRA453630		public	30A1074395C4B7B47E7764278B79B460	07F8E1CE1A56E53D5560A7EEC9A4043C	5597387	OCILY19_AZD5153_24_1	AstraZeneca	9606	SRS1629716	GSM2285378	OCILY19	1	Cancer cell line	AZD5153	24 h	dlbcl	OCILY19.AZD5153
SAMN05597386	SRR4044971	2016-08-23T16:47:43Z	2016-08-19T15:40:57Z	26134619	2665731138	26134619	102	1734		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044971/SRR4044971.1	SRX2035835		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629718	simple	9606	Homo sapiens	GSM2285379							no					GEO	SRA453630		public	2AA514FFFC80410C721B9AD4C49FF749	718456177E0E963F885D687A802AFA1D	5597386	OCILY19_AZD5153_24_2	AstraZeneca	9606	SRS1629718	GSM2285379	OCILY19	2	Cancer cell line	AZD5153	24 h	dlbcl	OCILY19.AZD5153
SAMN05597478	SRR4044972	2016-08-23T16:47:43Z	2016-08-19T15:36:42Z	22212682	2265693564	22212682	102	1437		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044972/SRR4044972.1	SRX2035836		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629719	simple	9606	Homo sapiens	GSM2285380							no					GEO	SRA453630		public	8C721CBFB0082D8A9F5E77C76A869A16	5F4658533E60EA84DFE7D4C9BEF70A16	5597478	WILL2_AZD5153_24_1	AstraZeneca	9606	SRS1629719	GSM2285380	WILL2	1	Cancer cell line	AZD5153	24 h	dlbcl	WILL2.AZD5153
SAMN05597477	SRR4044973	2016-08-23T16:47:43Z	2016-08-19T15:38:39Z	21401551	2182958202	21401551	102	1424		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044973/SRR4044973.1	SRX2035837		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629722	simple	9606	Homo sapiens	GSM2285381							no					GEO	SRA453630		public	7FC4E9E20743C0E3390FF0514EFEAA1A	44F97DA48C01676AEF3A32B0729EC37B	5597477	WILL2_AZD5153_24_2	AstraZeneca	9606	SRS1629722	GSM2285381	WILL2	2	Cancer cell line	AZD5153	24 h	dlbcl	WILL2.AZD5153
SAMN05597476	SRR4044974	2016-08-23T16:47:43Z	2016-08-19T15:42:30Z	21739376	2217416352	21739376	102	1385		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044974/SRR4044974.1	SRX2035838		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629717	simple	9606	Homo sapiens	GSM2285382							no					GEO	SRA453630		public	48320539E12775C31337073BCD0CF29D	EAEA03431F3786DEC07C93756A342738	5597476	MM1S_AZD5153_24_1	AstraZeneca	9606	SRS1629717	GSM2285382	MM1S	1	Cancer cell line	AZD5153	24 h	mm	MM1S.AZD5153
SAMN05597475	SRR4044975	2016-08-23T16:47:43Z	2016-08-19T15:37:25Z	17947615	1830656730	17947615	102	1148		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044975/SRR4044975.1	SRX2035839		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629720	simple	9606	Homo sapiens	GSM2285383							no					GEO	SRA453630		public	0B2A29FE43BFDCA1761F5A08A8C80432	0489A39C171FEDADB77F63185E461EF1	5597475	MM1S_AZD5153_24_2	AstraZeneca	9606	SRS1629720	GSM2285383	MM1S	2	Cancer cell line	AZD5153	24 h	mm	MM1S.AZD5153
SAMN05597474	SRR4044976	2016-08-23T16:47:43Z	2016-08-19T15:38:54Z	16605311	1693741722	16605311	102	1036		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044976/SRR4044976.1	SRX2035840		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629721	simple	9606	Homo sapiens	GSM2285384							no					GEO	SRA453630		public	1070BFCC3F6C15D749B3E510A60E88EF	861FD6764E9CF7557B585B2B21F07AF0	5597474	MM1S_AZD5153_24_3	AstraZeneca	9606	SRS1629721	GSM2285384	MM1S	3	Cancer cell line	AZD5153	24 h	mm	MM1S.AZD5153
SAMN05597473	SRR4044977	2016-08-23T16:47:43Z	2016-08-19T15:41:25Z	21460527	2188973754	21460527	102	1407		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044977/SRR4044977.1	SRX2035841		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629726	simple	9606	Homo sapiens	GSM2285385							no					GEO	SRA453630		public	0588F3846C52C88C3EB4CC24D0FA29A9	0105CAF55A3D860E7CE17D82E60540F8	5597473	MV411_AZD5153_24_1	AstraZeneca	9606	SRS1629726	GSM2285385	MV411	1	Cancer cell line	AZD5153	24 h	aml	MV411.AZD5153
SAMN05597472	SRR4044978	2016-08-23T16:47:43Z	2016-08-19T15:36:09Z	16064629	1638592158	16064629	102	1032		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044978/SRR4044978.1	SRX2035842		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629724	simple	9606	Homo sapiens	GSM2285386							no					GEO	SRA453630		public	EE2F51AFFD0AED5E75FBADEF2A475AA7	23299A8D81FAA7A95E4E6D94D8E4D82A	5597472	MV411_AZD5153_24_2	AstraZeneca	9606	SRS1629724	GSM2285386	MV411	2	Cancer cell line	AZD5153	24 h	aml	MV411.AZD5153
SAMN05597471	SRR4044979	2016-08-23T16:47:43Z	2016-08-19T15:37:36Z	20219872	2062426944	20219872	102	1293		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044979/SRR4044979.1	SRX2035843		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629723	simple	9606	Homo sapiens	GSM2285387							no					GEO	SRA453630		public	50A6F6F06ECB56C23B91EB78B4995325	CE9A7371468039FBF07C903AE371DE89	5597471	MV411_AZD5153_24_3	AstraZeneca	9606	SRS1629723	GSM2285387	MV411	3	Cancer cell line	AZD5153	24 h	aml	MV411.AZD5153
SAMN05597470	SRR4044980	2016-08-23T16:47:43Z	2016-08-19T15:37:12Z	13115765	1337808030	13115765	102	827		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044980/SRR4044980.1	SRX2035844		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629725	simple	9606	Homo sapiens	GSM2285388							no					GEO	SRA453630		public	D9EE31D6E532825E4938EF4A97E0D267	F9F25B86603D429D62A38CFCE6C50F9D	5597470	RPMI8226_AZD5153_24_1	AstraZeneca	9606	SRS1629725	GSM2285388	RPMI8226	1	Cancer cell line	AZD5153	24 h	mm	RPMI8226.AZD5153
SAMN05597467	SRR4044981	2016-08-23T16:47:43Z	2016-08-19T15:37:57Z	17671362	1802478924	17671362	102	1148		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044981/SRR4044981.1	SRX2035845		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629727	simple	9606	Homo sapiens	GSM2285389							no					GEO	SRA453630		public	3674615006EF6EE80617C03C1AFE29E5	29A2F0CF37BCB85E5D32C62BDE56D219	5597467	RPMI8226_AZD5153_24_2	AstraZeneca	9606	SRS1629727	GSM2285389	RPMI8226	2	Cancer cell line	AZD5153	24 h	mm	RPMI8226.AZD5153
SAMN05597468	SRR4044982	2016-08-23T16:47:43Z	2016-08-19T15:38:21Z	17526324	1787685048	17526324	102	1103		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044982/SRR4044982.1	SRX2035846		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629728	simple	9606	Homo sapiens	GSM2285390							no					GEO	SRA453630		public	75B516FC4301B7EA48D0C16CD34B7813	7D6978E5E2AA7FEBD1F00C887CBADFD6	5597468	IM9_AZD5153_24_1	AstraZeneca	9606	SRS1629728	GSM2285390	IM9	1	Cancer cell line	AZD5153	24 h	mm	IM9.AZD5153
SAMN05597469	SRR4044983	2016-08-23T16:47:43Z	2016-08-19T15:42:11Z	21877356	2231490312	21877356	102	1380		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044983/SRR4044983.1	SRX2035847		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629729	simple	9606	Homo sapiens	GSM2285391							no					GEO	SRA453630		public	64084AEB6B93726CB2EFF106EB5C1BB5	C774AC9C572C3F2358C1F8888804E531	5597469	IM9_AZD5153_24_2	AstraZeneca	9606	SRS1629729	GSM2285391	IM9	2	Cancer cell line	AZD5153	24 h	mm	IM9.AZD5153
SAMN05597436	SRR4044984	2016-08-23T16:47:43Z	2016-08-19T15:38:32Z	13645361	1391826822	13645361	102	874		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044984/SRR4044984.1	SRX2035848		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629730	simple	9606	Homo sapiens	GSM2285392							no					GEO	SRA453630		public	67ED6616AC7FCEBB3FF1A478C5767312	016390E6D1E4402373B7A0EA47E5101C	5597436	MOLP8_AZD5153_24_1	AstraZeneca	9606	SRS1629730	GSM2285392	MOLP8	1	Cancer cell line	AZD5153	24 h	mm	MOLP8.AZD5153
SAMN05597434	SRR4044985	2016-08-23T16:47:43Z	2016-08-19T15:42:07Z	21256861	2168199822	21256861	102	1341		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044985/SRR4044985.1	SRX2035849		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629731	simple	9606	Homo sapiens	GSM2285393							no					GEO	SRA453630		public	08DE3DA2B9FDCFC26E8DDE4612375683	3798588A767AB78D52746425299F0685	5597434	MOLP8_AZD5153_24_2	AstraZeneca	9606	SRS1629731	GSM2285393	MOLP8	2	Cancer cell line	AZD5153	24 h	mm	MOLP8.AZD5153
SAMN05597432	SRR4044986	2016-08-23T16:47:43Z	2016-08-19T15:40:21Z	13874222	1415170644	13874222	102	879		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4044986/SRR4044986.1	SRX2035850		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629732	simple	9606	Homo sapiens	GSM2285394							no					GEO	SRA453630		public	71349820FB39FF564D1DA4AFE2FC6400	0363090BBBFEE29D38E114840AD1C892	5597432	OPM2_AZD5153_24_1	AstraZeneca	9606	SRS1629732	GSM2285394	OPM2	1	Cancer cell line	AZD5153	24 h	mm	OPM2.AZD5153
SAMN05597431	SRR4044987	2016-08-23T16:47:43Z	2016-08-19T15:42:02Z	13189340	1345312680	13189340	102	826		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044987/SRR4044987.1	SRX2035851		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629734	simple	9606	Homo sapiens	GSM2285395							no					GEO	SRA453630		public	1B4DF3143F3DD8A49AAB2CDEDCB5D923	B74514458FC9E3AAC995FC0272AD54EC	5597431	OPM2_AZD5153_24_2	AstraZeneca	9606	SRS1629734	GSM2285395	OPM2	2	Cancer cell line	AZD5153	24 h	mm	OPM2.AZD5153
