BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	source_name	tissue	group
SAMN05981350	SRR11464375	2020-04-02T05:57:43Z	2020-04-02T05:49:12Z	58339426	2975310726	0	51	1980		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11464375/SRR11464375.1	SRX2327170		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092583	PRJNA352461	3	352461	SRS1782618	simple	9606	Homo sapiens	GSM2375170							no					GEO	SRA490459		public	358885B4C449FB0DE9A2469BC90BA5A0	FF852251E67A587D6253EDE2F392A166	5981350	Sample_15_TET2mut_AML_LSD1i_RNAseq1	Weill Cornell Medical College	9606	SRS1782618	GSM2375170	AML ex vivo culture	patient-derived TET2 mutant AML	LSD1i
SAMN05981349	SRR11464376	2020-04-02T08:06:30Z	2020-04-02T07:24:50Z	62537673	3189421323	0	51	2116		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11464376/SRR11464376.1	SRX2327171		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092583	PRJNA352461	3	352461	SRS1782619	simple	9606	Homo sapiens	GSM2375171							no					GEO	SRA490459		public	594750F852E9BCEF5830D53F77D2C49D	6145C5F4647EAC3D858006B84857D13F	5981349	Sample_16_TET2mut_AML_LSD1i_RNAseq2	Weill Cornell Medical College	9606	SRS1782619	GSM2375171	AML ex vivo culture	patient-derived TET2 mutant AML	LSD1i
SAMN05981348	SRR11464377	2020-04-02T06:12:30Z	2020-04-02T05:49:52Z	61053256	3113716056	0	51	2071		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11464377/SRR11464377.1	SRX2327172		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092583	PRJNA352461	3	352461	SRS1782620	simple	9606	Homo sapiens	GSM2375172							no					GEO	SRA490459		public	05A68F8CA6925C2F296BD6A155BE7613	88DBB4AFFD4ED9F96157492FA56CECD7	5981348	Sample_17_TET2mut_AML_LSD1i_RNAseq3	Weill Cornell Medical College	9606	SRS1782620	GSM2375172	AML ex vivo culture	patient-derived TET2 mutant AML	LSD1i
SAMN05981356	SRR4915437	2019-10-29T17:24:05Z	2016-11-04T19:40:39Z	59672870	3043316370	0	51	2024		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR4915437/SRR4915437.1	SRX2327164		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092583	PRJNA352461	3	352461	SRS1782612	simple	9606	Homo sapiens	GSM2375164							no					GEO	SRA490459		public	78D0E0363C6B1783399791CCB12BC6DF	187E1F7DCB05B5F4014366B58B7BB74D	5981356	Sample_9_TET2mut_AML_DMSO_RNAseq1	Weill Cornell Medical College	9606	SRS1782612	GSM2375164	AML ex vivo culture	patient-derived TET2 mutant AML	DMSO
SAMN05981355	SRR4915438	2019-10-29T17:24:05Z	2016-11-04T19:56:03Z	56329403	2872799553	0	51	1913		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR4915438/SRR4915438.1	SRX2327165		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092583	PRJNA352461	3	352461	SRS1782613	simple	9606	Homo sapiens	GSM2375165							no					GEO	SRA490459		public	0651F0C0079CDC7107E1333770805D45	D10E937C91C3D36AB81C2278CCB933D1	5981355	Sample_10_TET2mut_AML_DMSO_RNAseq2	Weill Cornell Medical College	9606	SRS1782613	GSM2375165	AML ex vivo culture	patient-derived TET2 mutant AML	DMSO
SAMN05981354	SRR4915439	2019-10-29T17:24:05Z	2016-11-04T19:38:31Z	54430701	2775965751	0	51	1858		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR4915439/SRR4915439.1	SRX2327166		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092583	PRJNA352461	3	352461	SRS1782614	simple	9606	Homo sapiens	GSM2375166							no					GEO	SRA490459		public	45A872AE2D5E61A40A90B6224BB9F370	3FCA044FCAC50F725ABC9D0B6AC1285F	5981354	Sample_11_TET2mut_AML_DMSO_RNAseq3	Weill Cornell Medical College	9606	SRS1782614	GSM2375166	AML ex vivo culture	patient-derived TET2 mutant AML	DMSO
SAMN05981353	SRR4915440	2019-10-29T17:24:05Z	2016-11-04T19:40:31Z	59521085	3035575335	0	51	2022		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR4915440/SRR4915440.1	SRX2327167		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092583	PRJNA352461	3	352461	SRS1782615	simple	9606	Homo sapiens	GSM2375167							no					GEO	SRA490459		public	E7D70152B0D7CDC6CDCEAF853B1E7965	7C2B0FA239EDB629BFD53C73983B652D	5981353	Sample_12_TET2mut_AML_5Aza_RNAseq1	Weill Cornell Medical College	9606	SRS1782615	GSM2375167	AML ex vivo culture	patient-derived TET2 mutant AML	Azacitidine
SAMN05981352	SRR4915441	2019-10-29T17:24:06Z	2016-11-04T19:45:33Z	59213217	3019874067	0	51	2009		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR4915441/SRR4915441.1	SRX2327168		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092583	PRJNA352461	3	352461	SRS1782616	simple	9606	Homo sapiens	GSM2375168							no					GEO	SRA490459		public	38CDAA8D648F40DB5A7CC1A475B7A1B8	A9B967895245F328F15D0156DA771A04	5981352	Sample_13_TET2mut_AML_5Aza_RNAseq2	Weill Cornell Medical College	9606	SRS1782616	GSM2375168	AML ex vivo culture	patient-derived TET2 mutant AML	Azacitidine
SAMN05981351	SRR4915442	2019-10-29T17:24:06Z	2016-11-04T19:40:24Z	57775375	2946544125	0	51	1964		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR4915442/SRR4915442.1	SRX2327169		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092583	PRJNA352461	3	352461	SRS1782617	simple	9606	Homo sapiens	GSM2375169							no					GEO	SRA490459		public	713FF99CB952F55CB6F875DCE78A2E42	5E916B93B44F86B9F9537DC7ED9B8D25	5981351	Sample_14_TET2mut_AML_5Aza_RNAseq3	Weill Cornell Medical College	9606	SRS1782617	GSM2375169	AML ex vivo culture	patient-derived TET2 mutant AML	Azacitidine
SAMN05981347	SRR4915446	2019-10-29T17:24:06Z	2016-11-04T19:41:02Z	64243093	3276397743	0	51	2176		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR4915446/SRR4915446.1	SRX2327173		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP092583	PRJNA352461	3	352461	SRS1782621	simple	9606	Homo sapiens	GSM2375173							no					GEO	SRA490459		public	8651FCCD3E3813F371797C78BD66D15F	0C848E967BFBE54A1E12F451D3C295CF	5981347	Sample_18_TET2mut_AML_LSD1iplus5Aza_RNAseq1	Weill Cornell Medical College	9606	SRS1782621	GSM2375173	AML ex vivo culture	patient-derived TET2 mutant AML	LSD1i_Azacitidine
