BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	shRNA	source_name	time point	tissue	treatment
SAMN06075586	SRR5062134	2018-03-15T16:02:15Z	2016-11-30T08:09:04Z	31428136	1602834936	0	51	1024		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062134.sralite.1	SRX2382612		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824886	simple	9606	Homo sapiens	GSM2410413							no					GEO	SRA499824		public	8E140FF17A9C29F9A40F2A298CCEC530	BA485487CA43430733337A9FBC221AC9	6075586	HepG2_shIGF2BP3_RNA-seq_rep3	Chen Lab, Systems Biology, City of Hope	9606	SRS1824886	GSM2410413	shIGF2BP3	HepG2 cells	--	HepG2 cells	untreated
SAMN06075587	SRR5062133	2018-03-15T16:02:15Z	2016-11-30T08:13:53Z	39826854	2031169554	0	51	1328		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062133.sralite.1	SRX2382611		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824885	simple	9606	Homo sapiens	GSM2410412							no					GEO	SRA499824		public	E8308A03990EEEFE4AE3900287CC68C9	7CFA869F82D6CD4AE0F87F98B34CED78	6075587	HepG2_shIGF2BP2_RNA-seq_rep3	Chen Lab, Systems Biology, City of Hope	9606	SRS1824885	GSM2410412	shIGF2BP2	HepG2 cells	--	HepG2 cells	untreated
SAMN06075588	SRR5062132	2018-03-15T16:02:15Z	2016-11-30T08:07:17Z	24676514	1258502214	0	51	824		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062132/SRR5062132.sralite.1	SRX2382610		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824884	simple	9606	Homo sapiens	GSM2410411							no					GEO	SRA499824		public	06EDB7299F9DDAC752EA810B863E379F	4468BF03649F13BF6B98675E33B44AC8	6075588	HepG2_shIGF2BP2_RNA-seq_rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS1824884	GSM2410411	shIGF2BP2	HepG2 cells	--	HepG2 cells	untreated
SAMN06075589	SRR5062131	2018-03-15T16:02:15Z	2016-11-30T08:07:18Z	25278061	1289181111	0	51	787		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062131.sralite.1	SRX2382609		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824883	simple	9606	Homo sapiens	GSM2410410							no					GEO	SRA499824		public	D3CBEB100B617186746353368EFF6EDD	63FE6B605F9011AA698B2849449614AE	6075589	HepG2_shIGF2BP2_RNA-seq_rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS1824883	GSM2410410	shIGF2BP2	HepG2 cells	--	HepG2 cells	untreated
SAMN06075590	SRR5062130	2018-03-15T16:02:15Z	2016-11-30T08:07:35Z	23717949	1209615399	0	51	793		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062130.sralite.1	SRX2382608		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824882	simple	9606	Homo sapiens	GSM2410409							no					GEO	SRA499824		public	1B4C85A1B60E714074AE126584423899	985C0E764B84A628D0CFDD773440C1A2	6075590	HepG2_shIGF2BP1_RNA-seq_rep3	Chen Lab, Systems Biology, City of Hope	9606	SRS1824882	GSM2410409	shIGF2BP1	HepG2 cells	--	HepG2 cells	untreated
SAMN06075591	SRR5062129	2018-03-15T16:02:15Z	2016-11-30T08:08:30Z	37944292	1935158892	0	51	1267		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062129/SRR5062129.sralite.1	SRX2382607		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824881	simple	9606	Homo sapiens	GSM2410408							no					GEO	SRA499824		public	C2258B45516D0C6B17FF048617BF174D	E25A4204EA3E43EC36CF7FA84FDACB3D	6075591	HepG2_shNS_RNA-seq_rep3	Chen Lab, Systems Biology, City of Hope	9606	SRS1824881	GSM2410408	shNS (non-specific control)	HepG2 cells	--	HepG2 cells	untreated
SAMN06075592	SRR5062128	2018-03-15T16:02:14Z	2016-11-30T08:06:23Z	15559102	793514202	0	51	540		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062128.sralite.1	SRX2382606		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824880	simple	9606	Homo sapiens	GSM2410407							no					GEO	SRA499824		public	734390F1628FD84C639E06C22BDDF0A1	652FDB5A0A77B634A02E5FAA5EAC5738	6075592	HepG2_shIGF2BP3_6h_rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS1824880	GSM2410407	shIGF2BP3	HepG2 cells	6h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075593	SRR5062127	2018-03-15T16:02:14Z	2016-11-30T08:08:56Z	41198005	2101098255	0	51	1417		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062127/SRR5062127.sralite.1	SRX2382605		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824879	simple	9606	Homo sapiens	GSM2410406							no					GEO	SRA499824		public	8096EF99EC3121CBB5AD8FE8D45C5888	C420B9BFC098DE98867196F6D07109AF	6075593	HepG2_shIGF2BP3_6h_rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS1824879	GSM2410406	shIGF2BP3	HepG2 cells	6h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075594	SRR5062126	2018-03-15T16:02:14Z	2016-11-30T08:08:05Z	27290558	1391818458	0	51	912		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062126.sralite.1	SRX2382604		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824878	simple	9606	Homo sapiens	GSM2410405							no					GEO	SRA499824		public	22899517295DCABE24E195336E537B3D	DBD2CC2BAB3016B7E25C134FEE7E716D	6075594	HepG2_shIGF2BP3_3h_rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS1824878	GSM2410405	shIGF2BP3	HepG2 cells	3h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075595	SRR5062125	2018-03-15T16:02:14Z	2016-11-30T08:14:55Z	68721470	3504794970	0	51	2347		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062125/SRR5062125.sralite.1	SRX2382603		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824877	simple	9606	Homo sapiens	GSM2410404							no					GEO	SRA499824		public	4C1CE402865531CAF027B186C7941081	DA7D789EC31802C5CC6CFAD8CC0ADA29	6075595	HepG2_shIGF2BP3_3h_rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS1824877	GSM2410404	shIGF2BP3	HepG2 cells	3h	HepG2 cells	5 μg/mL actinomycin D
