BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	age	biomaterial_provider	cell_line	isolate	sex	tissue	treatment	group
SAMN06167252	SRR5121742	2016-12-25T12:58:22Z	2016-12-20T12:55:29Z	12169021	790986365	0	65	464		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121742/SRR5121742.1	SRX2436914	JAR-C-1_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871752	simple	9606	Homo sapiens	JAR-C-1_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	BBCF18CA87CD29B54F4FF68637610244	AB997EAE6C301723D6FC2E6886E9D4E2	6167252	Replicate 1	University of Rochester	9606	Sample name: JAR-C-1_R1.fastq	SRA: SRS1871752	not applicable	not applicable	Jar choriocarcinoma	Replicate 1	not applicable	not applicable	untreated controls	Jar.control
SAMN06167253	SRR5121748	2016-12-25T12:58:22Z	2016-12-20T12:56:05Z	12758804	829322260	0	65	477		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121748/SRR5121748.1	SRX2436919	JAR-C-2_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871757	simple	9606	Homo sapiens	JAR-C-2_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	2C6C32B133EDC4F513607792FE72C8FE	7D9BEA7B23BA9896A4DCF8161C693F74	6167253	Replicate 2	University of Rochester	9606	Sample name: JAR-C-2_R1.fastq	SRA: SRS1871757	not applicable	not applicable	Jar choriocarcinoma	Replicate 2	not applicable	not applicable	untreated controls	Jar.control
SAMN06167254	SRR5121743	2016-12-25T12:58:27Z	2016-12-20T12:56:09Z	15032979	977143635	0	65	546		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121743/SRR5121743.1	SRX2436915	JAR-C-3_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871753	simple	9606	Homo sapiens	JAR-C-3_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	695510D6EA40941CC5926BAA5C38F1D0	DD42BF14B305E7E03B4DA7B89B64AFB5	6167254	Replicate 3	University of Rochester	9606	Sample name: JAR-C-3_R1.fastq	SRA: SRS1871753	not applicable	not applicable	Jar choriocarcinoma	Replicate 3	not applicable	not applicable	untreated controls	Jar.control
SAMN06167255	SRR5121724	2016-12-25T13:00:18Z	2016-12-20T12:56:33Z	20082121	1305337865	0	65	737		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121724/SRR5121724.1	SRX2436895	JAR-C-4_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871733	simple	9606	Homo sapiens	JAR-C-4_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	E2A8CE0C132790D2E5E0EF46238EDBDA	8FAF97D8DCBA38A2660991CBCB79964A	6167255	Replicate 4	University of Rochester	9606	Sample name: JAR-C-4_R1.fastq	SRA: SRS1871733	not applicable	not applicable	Jar choriocarcinoma	Replicate 4	not applicable	not applicable	untreated controls	Jar.control
SAMN06167256	SRR5121740	2016-12-25T13:01:37Z	2016-12-20T12:56:48Z	13556321	881160865	0	65	517		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121740/SRR5121740.1	SRX2436911	JAR-d-1_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871749	simple	9606	Homo sapiens	JAR-d-1_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	CBB73E840D6611CD5466BCF1BD3F8369	CDBBA1C217BCD39381FDDA015302E444	6167256	Replicate 1	University of Rochester	9606	Sample name: JAR-d-1_R1.fastq	SRA: SRS1871749	not applicable	not applicable	Jar choriocarcinoma	Replicate 1	not applicable	not applicable	Stimulated with 200 U/ml IFN-?	Jar.200Uml_IFNy
SAMN06167257	SRR5121734	2016-12-25T12:58:31Z	2016-12-20T12:55:55Z	17357210	1128218650	0	65	643		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121734/SRR5121734.1	SRX2436906	JAR-d-2_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871744	simple	9606	Homo sapiens	JAR-d-2_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	19A8DED9DDB2366EA1BBA2E42167096C	4984E7869C607B57C8985FDCF1CEE989	6167257	Replicate 2	University of Rochester	9606	Sample name: JAR-d-2_R1.fastq	SRA: SRS1871744	not applicable	not applicable	Jar choriocarcinoma	Replicate 2	not applicable	not applicable	Stimulated with 200 U/ml IFN-?	Jar.200Uml_IFNy
SAMN06167258	SRR5121723	2016-12-25T12:58:20Z	2016-12-20T12:55:36Z	12907544	838990360	0	65	468		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121723/SRR5121723.1	SRX2436894	JAR-q-3_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871732	simple	9606	Homo sapiens	JAR-q-3_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	93FEA0A09BB59BA34793BEA5010BF339	0793253EA50779C8D14E9AD76B937BEF	6167258	Replicate 3	University of Rochester	9606	Sample name: JAR-q-3_R1.fastq	SRA: SRS1871732	not applicable	not applicable	Jar choriocarcinoma	Replicate 3	not applicable	not applicable	Stimulated with 200 U/ml IFN-?	Jar.200Uml_IFNy
SAMN06167259	SRR5121739	2016-12-25T12:58:21Z	2016-12-20T12:55:16Z	14041926	912725190	0	65	517		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121739/SRR5121739.1	SRX2436910	JAR-q-4_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871748	simple	9606	Homo sapiens	JAR-q-4_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	5FF5BA9C2F873A883CE9E107B96692A1	7FEF5C1B157776BA4B9992AB5455BBC2	6167259	Replicate 4	University of Rochester	9606	Sample name: JAR-q-4_R1.fastq	SRA: SRS1871748	not applicable	not applicable	Jar choriocarcinoma	Replicate 4	not applicable	not applicable	Stimulated with 200 U/ml IFN-?	Jar.200Uml_IFNy
SAMN06167260	SRR5121726	2016-12-25T13:04:02Z	2016-12-20T12:59:14Z	37455083	2434580395	0	65	1434		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121726/SRR5121726.1	SRX2436897	JAR-PV-1_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871735	simple	9606	Homo sapiens	JAR-PV-1_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	D244FEA1080F308650195B8E7B0E2A1F	CD910F052E55DC19B86F8B576FB1D3BE	6167260	Replicate 1	University of Rochester	9606	Sample name: JAR-PV-1_R1.fastq	SRA: SRS1871735	not applicable	not applicable	Jar choriocarcinoma	Replicate 1	not applicable	not applicable	Stimulated with 100 microM Pervanadate	Jar.Pervanadate_100uM
SAMN06167261	SRR5121732	2016-12-25T12:58:36Z	2016-12-20T12:56:32Z	18821138	1223373970	0	65	695		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121732/SRR5121732.1	SRX2436904	JAR-PV-2_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871742	simple	9606	Homo sapiens	JAR-PV-2_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	8AF1599C37ADB7CB841B1BA4F8E75DA6	87BBC8880D8811BF64CD22862E7B54EC	6167261	Replicate 2	University of Rochester	9606	Sample name: JAR-PV-2_R1.fastq	SRA: SRS1871742	not applicable	not applicable	Jar choriocarcinoma	Replicate 2	not applicable	not applicable	Stimulated with 100 microM Pervanadate	Jar.Pervanadate_100uM
