BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	batch	cell line	compound	source_name	time-point	group
SAMN06611782	SRR5352539	2018-02-26T08:47:08Z	2017-03-17T12:57:22Z	14911235	1506034735	0	101	883		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352539/SRR5352539.1	SRX2648766		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053976	simple	9606	Homo sapiens	GSM2539603							no					GEO	SRA546763		public	1A841C3E22EB57EE1258A8331A3F2260	B256722E7ADBA3970BF9AA4305759F5A	6611782	AZD8055_20_6 [CR1A01]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053976	GSM2539603	1	H-STS NET	AZD8055	H-STS NET cell line, AZD8055, 6h	6h	AZD8055.6
SAMN06611781	SRR5352540	2018-02-26T08:47:08Z	2017-03-17T12:55:57Z	15154034	1530557434	0	101	899		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352540/SRR5352540.1	SRX2648767		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053977	simple	9606	Homo sapiens	GSM2539604							no					GEO	SRA546763		public	8D3EAEE318144799B4174FFB878BDCDF	89EE7E2BE1AA29721FF11D7AAF43E2A1	6611781	AZD8055_2_6 [CR1A02]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053977	GSM2539604	1	H-STS NET	AZD8055	H-STS NET cell line, AZD8055, 6h	6h	AZD8055.6
SAMN06611780	SRR5352541	2018-02-26T08:47:08Z	2017-03-17T12:55:33Z	13010575	1314068075	0	101	773		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352541/SRR5352541.1	SRX2648768		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053978	simple	9606	Homo sapiens	GSM2539605							no					GEO	SRA546763		public	58B176C9AFCDB204EBDFD13946FE2375	A52BD7A00DD1D4155621251B57F4E4F8	6611780	Belinostat_0.0325_6 [CR1A03]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053978	GSM2539605	1	H-STS NET	Belinostat	H-STS NET cell line, Belinostat, 6h	6h	Belinostat.6
SAMN06611779	SRR5352542	2018-02-26T08:47:08Z	2017-03-17T12:55:56Z	14571618	1471733418	0	101	867		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352542/SRR5352542.1	SRX2648769		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053979	simple	9606	Homo sapiens	GSM2539606							no					GEO	SRA546763		public	8671013FA5A0850647D23ADA28FBA091	AABB9898C40AC260BB590C8F95F267A3	6611779	Belinostat_0.00325_6 [CR1A04]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053979	GSM2539606	1	H-STS NET	Belinostat	H-STS NET cell line, Belinostat, 6h	6h	Belinostat.6
SAMN06611778	SRR5352543	2018-02-26T08:47:08Z	2017-03-17T12:55:48Z	13871487	1401020187	0	101	822		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352543/SRR5352543.1	SRX2648770		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053980	simple	9606	Homo sapiens	GSM2539607							no					GEO	SRA546763		public	9978872DA4604BE9341F7449962F6AF3	FCEC521244308460B1B794F8091A412D	6611778	Entinostat_6.84_6 [CR1A05]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053980	GSM2539607	1	H-STS NET	Entinostat	H-STS NET cell line, Entinostat, 6h	6h	Entinostat.6
SAMN06611777	SRR5352544	2018-02-26T08:47:08Z	2017-03-17T12:57:11Z	18721155	1890836655	0	101	1102		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352544/SRR5352544.1	SRX2648771		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053981	simple	9606	Homo sapiens	GSM2539608							no					GEO	SRA546763		public	0C604EBB1167CB8906D4B5E46F2333B5	35316A2F5F7F24A05BEC172FBE2BCF3C	6611777	Entinostat_0.684_6 [CR1A06]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053981	GSM2539608	1	H-STS NET	Entinostat	H-STS NET cell line, Entinostat, 6h	6h	Entinostat.6
SAMN06611776	SRR5352545	2018-02-26T08:47:08Z	2017-03-17T12:56:43Z	16288955	1645184455	0	101	964		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352545/SRR5352545.1	SRX2648772		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053982	simple	9606	Homo sapiens	GSM2539609							no					GEO	SRA546763		public	A6A7A20D52B75C262A0DE607966A6374	52963D3CC5CAF3FFF19F3C2B5B10CFDF	6611776	Imatinib_20_6 [CR1A07]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053982	GSM2539609	1	H-STS NET	Imatinib	H-STS NET cell line, Imatinib, 6h	6h	Imatinib.6
SAMN06611775	SRR5352546	2018-02-26T08:47:08Z	2017-03-17T12:57:07Z	14148015	1428949515	0	101	841		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352546/SRR5352546.1	SRX2648773		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053983	simple	9606	Homo sapiens	GSM2539610							no					GEO	SRA546763		public	8677C75309F09EA53D43A2793DA75A2A	234188BECA608B4EB9EF1BF123132779	6611775	Imatinib_2_6 [CR1A08]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053983	GSM2539610	1	H-STS NET	Imatinib	H-STS NET cell line, Imatinib, 6h	6h	Imatinib.6
SAMN06611774	SRR5352547	2018-02-26T08:47:08Z	2017-03-17T12:56:49Z	13938265	1407764765	0	101	823		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352547/SRR5352547.1	SRX2648774		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053984	simple	9606	Homo sapiens	GSM2539611							no					GEO	SRA546763		public	469DAFAE7B0FDE844CCF0C08C51142D4	7D1147C8EB9D6D3CD9712F5D98550447	6611774	AZD8055_20_6 [CR1A09]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053984	GSM2539611	1	H-STS NET	AZD8055	H-STS NET cell line, AZD8055, 6h	6h	AZD8055.6
SAMN06611773	SRR5352548	2018-02-26T08:47:08Z	2017-03-17T12:57:07Z	16607964	1677404364	0	101	983		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352548/SRR5352548.1	SRX2648775		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053985	simple	9606	Homo sapiens	GSM2539612							no					GEO	SRA546763		public	891BA074687EF02E09C8A6C952A54A7A	D8F8316235A7E08041367BC7E1B86519	6611773	AZD8055_2_6 [CR1A10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053985	GSM2539612	1	H-STS NET	AZD8055	H-STS NET cell line, AZD8055, 6h	6h	AZD8055.6
