BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	ID	age	biomaterial_provider	cell_line	disease	isolate	sex	tissue	treatment	group
SAMN07445228	SRR5891579	2019-08-01T00:27:51Z	2017-08-03T03:27:04Z	32403957	4802792175	32403957	148	1188	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891579/SRR5891579.1	SRX3057341	KCL22Pon-Res_PON_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403266	simple	9606	Homo sapiens	KCL22Pon-Res PON 1					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	95E6B01A423BA61C84D795ED5CA5674F	EACD0C4572A91B34052009B51BF73792	7445228	KCL22 Pon-Res cellline, treated with 100nM Ponatinib (for 24h), sample #1	University of Glasgow	9606	Sample name: KCL22Pon-Res PON 1	SRA: SRS2403266	KCL22Pon-Res PON 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)	KCL22.Pon_Res.PON
SAMN07445219	SRR5891580	2019-08-01T00:27:51Z	2017-08-03T03:28:22Z	35373943	5233193033	35373943	147	1384	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891580/SRR5891580.1	SRX3057340	KCL22_NDC_4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403268	simple	9606	Homo sapiens	KCL22 NDC 4					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	DD8F8C3179BD24996E1AC2310998E14D	59654F420CB30FBC3C6FC708C842953F	7445219	KCL22 parental cellline, untreated, sample #4	University of Glasgow	9606	Sample name: KCL22 NDC 4	SRA: SRS2403268	KCL22 NDC 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.NDC
SAMN07445225	SRR5891581	2019-08-01T00:27:51Z	2017-08-03T03:19:32Z	4977321	737910976	4977321	148	187	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891581/SRR5891581.1	SRX3057339	KCL22Pon-Res_NDC_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403267	simple	9606	Homo sapiens	KCL22Pon-Res NDC 2					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	542EA09A5F439CAADB2B6C5947644795	72CD8AF0F830D6B80DB67A9F834D9EDC	7445225	KCL22 Pon-Res cellline, untreated, sample #2	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 2	SRA: SRS2403267	KCL22Pon-Res NDC 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.Pon_Res.NDC
SAMN07445222	SRR5891582	2019-08-01T00:27:51Z	2017-08-03T03:31:32Z	32183926	4767025282	32183926	148	1198	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891582/SRR5891582.1	SRX3057338	KCL22_PON_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403269	simple	9606	Homo sapiens	KCL22 PON 3					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	A5F2727E18F7B0084571F0DCD66EADD6	BB1569B3D784CDBE0C855F8515B05193	7445222	KCL22 parental cellline, treated with 100nM Ponatinib (for 24h), sample #3	University of Glasgow	9606	Sample name: KCL22 PON 3	SRA: SRS2403269	KCL22 PON 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)	KCL22.PON
SAMN07445218	SRR5891583	2019-08-01T00:27:51Z	2017-08-03T03:37:50Z	38658343	5717131279	38658343	147	1403	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891583/SRR5891583.1	SRX3057337	KCL22_NDC_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403271	simple	9606	Homo sapiens	KCL22 NDC 3					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	23AC239BEFA59ABFE10E1B06DBC3906A	54AF02638ED259D1224B4825F28458C9	7445218	KCL22 parental cellline, untreated, sample #3	University of Glasgow	9606	Sample name: KCL22 NDC 3	SRA: SRS2403271	KCL22 NDC 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.NDC
SAMN07445221	SRR5891584	2019-08-01T00:27:51Z	2017-08-03T03:35:19Z	28893919	4282093277	28893919	148	1062	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891584/SRR5891584.1	SRX3057336	KCL22_PON_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403270	simple	9606	Homo sapiens	KCL22 PON 2					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	5F2786B98D2AC5778F43AABDFF670BA0	F84B95099FE9F5D1575A03866758B193	7445221	KCL22 parental cellline, treated with 100nM Ponatinib (for 24h), sample #2	University of Glasgow	9606	Sample name: KCL22 PON 2	SRA: SRS2403270	KCL22 PON 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)	KCL22.PON
SAMN07445220	SRR5891585	2019-08-01T00:27:51Z	2017-08-03T03:35:46Z	35907092	5318032528	35907092	148	1327	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891585/SRR5891585.1	SRX3057335	KCL22_PON_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403273	simple	9606	Homo sapiens	KCL22 PON 1					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	BBB3970ECC84B7ABFFF5A3F75C85CF22	79177C3B67470CC298C6B591104C25DE	7445220	KCL22 parental cellline, treated with 100nM Ponatinib (for 24h), sample #1	University of Glasgow	9606	Sample name: KCL22 PON 1	SRA: SRS2403273	KCL22 PON 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)	KCL22.PON
SAMN07445231	SRR5891586	2019-08-01T00:27:51Z	2017-08-03T03:32:23Z	39016781	5786731749	39016781	148	1409	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891586/SRR5891586.1	SRX3057334	KCL22Pon-Res_PON_4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403272	simple	9606	Homo sapiens	KCL22Pon-Res PON 4					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	4B213D538469ECDBC828C9C6169CE52D	ED68195A69614501109D00441C0A475C	7445231	KCL22 Pon-Res cellline, treated with 100nM Ponatinib (for 24h), sample #4	University of Glasgow	9606	Sample name: KCL22Pon-Res PON 4	SRA: SRS2403272	KCL22Pon-Res PON 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)	KCL22.Pon_Res.PON
SAMN07445230	SRR5891587	2019-08-01T00:27:51Z	2017-08-03T03:28:52Z	37913414	5615191518	37913414	148	1488	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891587/SRR5891587.1	SRX3057333	KCL22Pon-Res_PON_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403274	simple	9606	Homo sapiens	KCL22Pon-Res PON 3					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	83F2F88D8D7D000133652B40142233BA	74E5F7B947501A71EA3EC001ADDCF904	7445230	KCL22 Pon-Res cellline, treated with 100nM Ponatinib (for 24h), sample #3	University of Glasgow	9606	Sample name: KCL22Pon-Res PON 3	SRA: SRS2403274	KCL22Pon-Res PON 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)	KCL22.Pon_Res.PON
SAMN07445217	SRR5891588	2019-08-01T00:27:51Z	2017-08-03T03:26:35Z	31425959	4653208929	31425959	148	1151	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891588/SRR5891588.1	SRX3057332	KCL22_NDC_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403275	simple	9606	Homo sapiens	KCL22 NDC 2					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	EBD475685CED25D7EE44CE74F823CD0B	FFA3A1C46397BEC53B94E391323A4084	7445217	KCL22 parental cellline, untreated, sample #2	University of Glasgow	9606	Sample name: KCL22 NDC 2	SRA: SRS2403275	KCL22 NDC 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.NDC
