BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	internal id	method	replicate	source_name	cell_line	treatment	group
SAMN07555368	SRR5973412	2018-02-27T16:48:30Z	2017-08-24T17:28:20Z	20656132	1962332540	20656132	95	1169		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973412/SRR5973412.1	SRX3130736		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464709	simple	9606	Homo sapiens	GSM2753257							no					GEO	SRA602600		public	406FB8EA5B934F26264E4C21FEFA8D69	B98C1D1A5DA217A5BCE4F8FD117D3A30	7555368	BI00894999_1nM_24h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464709	GSM2753257	J2750	RNA-seq	rep1	MV-4-11-B cells	MV-4-11	BI00894999, 1nM, 24h	BI00894999.1nM.24
SAMN07555367	SRR5973413	2018-02-27T16:48:30Z	2017-08-24T17:28:13Z	25649062	2436660890	25649062	95	1471		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973413/SRR5973413.1	SRX3130737		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464710	simple	9606	Homo sapiens	GSM2753258							no					GEO	SRA602600		public	3FF75081D1C6F198EC1FC9D51F22DD75	6EB9D05258A382B7F3B9875A8C509AC1	7555367	BI00894999_1nM_24h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464710	GSM2753258	J2758	RNA-seq	rep2	MV-4-11-B cells	MV-4-11	BI00894999, 1nM, 24h	BI00894999.1nM.24
SAMN07555366	SRR5973414	2018-02-27T16:48:30Z	2017-08-24T17:27:47Z	22781778	2164268910	22781778	95	1252		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973414/SRR5973414.1	SRX3130738		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464711	simple	9606	Homo sapiens	GSM2753259							no					GEO	SRA602600		public	0DB7BB360E1BE40B618D0E4AFD12C6A5	BA71EDA3C987810C0D83F64543C48AD4	7555366	BI00894999_1nM_24h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464711	GSM2753259	J2766	RNA-seq	rep3	MV-4-11-B cells	MV-4-11	BI00894999, 1nM, 24h	BI00894999.1nM.24
SAMN07555365	SRR5973415	2018-02-27T16:48:30Z	2017-08-24T17:27:50Z	21375575	2030679625	21375575	95	1213		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973415/SRR5973415.1	SRX3130739		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464712	simple	9606	Homo sapiens	GSM2753260							no					GEO	SRA602600		public	94265EA79CDAF6AF09100894214C32FD	90B8B6757DA5F02162E01D418A6F16F6	7555365	BI00894999_1nM_24h_Volasertib_20nM_24h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464712	GSM2753260	J2751	RNA-seq	rep1	MV-4-11-B cells	MV-4-11	BI00894999, 1nM, 24h and Volasertib, 20nM, 24h	BI00894999_Volasertib.1nM_20nM.24
SAMN07555364	SRR5973416	2018-02-27T16:48:30Z	2017-08-24T17:27:12Z	19070885	1811734075	19070885	95	1090		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973416/SRR5973416.1	SRX3130740		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464713	simple	9606	Homo sapiens	GSM2753261							no					GEO	SRA602600		public	E04267FA8DF4B336CC368DFEB78336FA	EF910C1B24A0A642A2B1116268CFF408	7555364	BI00894999_1nM_24h_Volasertib_20nM_24h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464713	GSM2753261	J2759	RNA-seq	rep2	MV-4-11-B cells	MV-4-11	BI00894999, 1nM, 24h and Volasertib, 20nM, 24h	BI00894999_Volasertib.1nM_20nM.24
SAMN07555369	SRR5973417	2018-02-27T16:48:30Z	2017-08-24T17:31:43Z	23787998	2259859810	23787998	95	1306		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973417/SRR5973417.1	SRX3130741		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464714	simple	9606	Homo sapiens	GSM2753262							no					GEO	SRA602600		public	4F9961A908AB3BEF9D1150FABDE3684A	5A3C7DE9497258D57B495CDB9F29C62C	7555369	BI00894999_1nM_24h_Volasertib_20nM_24h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464714	GSM2753262	J2767	RNA-seq	rep3	MV-4-11-B cells	MV-4-11	BI00894999, 1nM, 24h and Volasertib, 20nM, 24h	BI00894999_Volasertib.1nM_20nM.24
SAMN07555357	SRR5973418	2018-02-27T16:48:30Z	2017-08-24T17:28:59Z	23398210	2222829950	23398210	95	1345		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973418/SRR5973418.1	SRX3130742		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464715	simple	9606	Homo sapiens	GSM2753263							no					GEO	SRA602600		public	241F0E1F4FC45A1C3F66DA6E1887167D	C31619A9D6EDCFD416C975D4AC482FD5	7555357	BI00894999_1nM_4h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464715	GSM2753263	J2723	RNA-seq	rep1	MV-4-11-B cells	MV-4-11	BI00894999, 1nM, 4h	BI00894999.1nM.4
SAMN07555363	SRR5973419	2018-02-27T16:48:31Z	2017-08-24T17:26:57Z	10827510	1028613450	10827510	95	640		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973419/SRR5973419.1	SRX3130743		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464716	simple	9606	Homo sapiens	GSM2753264							no					GEO	SRA602600		public	144ACB80FA623DE8368EBB996D8C149B	1908E9F2508CA82703674AEEF8D539DF	7555363	BI00894999_1nM_4h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464716	GSM2753264	J2732	RNA-seq	rep2	MV-4-11-B cells	MV-4-11	BI00894999, 1nM, 4h	BI00894999.1nM.4
SAMN07555362	SRR5973420	2018-02-27T16:48:31Z	2017-08-24T17:30:02Z	26983346	2563417870	26983346	95	1554		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973420/SRR5973420.1	SRX3130744		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464717	simple	9606	Homo sapiens	GSM2753265							no					GEO	SRA602600		public	42DE83592FDFA7C2018B1B88F2656A00	CE56F4E75B9E5F63985BB2629CE0B92C	7555362	BI00894999_1nM_4h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464717	GSM2753265	J2741	RNA-seq	rep3	MV-4-11-B cells	MV-4-11	BI00894999, 1nM, 4h	BI00894999.1nM.4
SAMN07555361	SRR5973421	2018-02-27T16:48:31Z	2017-08-24T17:30:16Z	27709200	2632374000	27709200	95	1601		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973421/SRR5973421.1	SRX3130745		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464718	simple	9606	Homo sapiens	GSM2753266							no					GEO	SRA602600		public	4F006C6FAEF120465AE35443B534A960	62193B70EC7A5995112C74079E86C884	7555361	BI00894999_1nM_4h_Volasertib_20nM_4h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464718	GSM2753266	J2724	RNA-seq	rep1	MV-4-11-B cells	MV-4-11	BI00894999, 1nM, 4h and Volasertib, 20nM, 4h	BI00894999_Volasertib.1nM_20nM.4
