BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	source_name	treatment	dtep	group
SAMN09466905	SRR7407805	2019-03-02T11:47:05Z	2018-06-21T19:03:54Z	22802467	1140123350	0	50	397		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7407805/SRR7407805.1	SRX4279356		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444431	simple	9606	Homo sapiens	GSM3209371							no					GEO	SRA726173		public	F2ED3421F094D9268C91A444B60D0F7A	62692AC809850BA80589EE0000BF79C3	9466905	I10_DMSO_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444431	GSM3209371	Mantle cell lymphoma	none	l10	l10.dmso
SAMN09466904	SRR7407806	2019-03-02T11:47:05Z	2018-06-21T19:01:01Z	19670700	983535000	0	50	374		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7407806/SRR7407806.1	SRX4279357		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444432	simple	9606	Homo sapiens	GSM3209372							no					GEO	SRA726173		public	4E7DEF87B6FFAC10A318A83DA4009CED	51F54802E8434A552DE47475AD995E64	9466904	I10_DMSO_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444432	GSM3209372	Mantle cell lymphoma	none	l10	l10.dmso
SAMN09466903	SRR7407807	2019-03-02T11:47:05Z	2018-06-21T19:17:43Z	32581203	1629060150	0	50	571		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7407807/SRR7407807.1	SRX4279358		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444436	simple	9606	Homo sapiens	GSM3209373							no					GEO	SRA726173		public	8448EC7B9862F091DBAC8D0F7C0F6278	BE54ED062047E84ABE8D3945CDE0F43B	9466903	I10_DMSO_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444436	GSM3209373	Mantle cell lymphoma	none	l10	l10.dmso
SAMN09466902	SRR7407808	2019-03-02T11:47:05Z	2018-06-21T19:07:27Z	30218766	1510938300	0	50	528		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7407808/SRR7407808.1	SRX4279359		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444433	simple	9606	Homo sapiens	GSM3209374							no					GEO	SRA726173		public	C4ACC5A1432E22BD55549FD491F4B336	A1B629BFFAA60D6C3BF4206D30A30D0C	9466902	I10_THZ1_50NM_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444433	GSM3209374	Mantle cell lymphoma	50nM THZ1	l10	l10.thz1_50nM_6hr
SAMN09466901	SRR7407809	2019-03-02T11:47:05Z	2018-06-21T19:02:35Z	18795104	939755200	0	50	357		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7407809/SRR7407809.1	SRX4279360		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444434	simple	9606	Homo sapiens	GSM3209375							no					GEO	SRA726173		public	021F9DC3EDC448F5C98362E12DC61204	ACF01E077F924FD448050875FE90790E	9466901	I10_THZ1_50NM_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444434	GSM3209375	Mantle cell lymphoma	50nM THZ1	l10	l10.thz1_50nM_6hr
SAMN09466899	SRR7407811	2019-03-02T11:47:05Z	2018-06-21T19:04:08Z	18515411	925770550	0	50	325		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7407811/SRR7407811.1	SRX4279362		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444437	simple	9606	Homo sapiens	GSM3209377							no					GEO	SRA726173		public	A678BB15E4FB3179332016AB720BD0C2	B34B7E9D747D97033176FB770310D7F7	9466899	I10_THZ1_250NM_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444437	GSM3209377	Mantle cell lymphoma	250nM THZ1	l10	l10.thz1_250nM_6hr
SAMN09466898	SRR7407812	2019-03-02T11:47:05Z	2018-06-21T19:00:41Z	16160324	808016200	0	50	308		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7407812/SRR7407812.1	SRX4279363		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444438	simple	9606	Homo sapiens	GSM3209378							no					GEO	SRA726173		public	97348E675D85B9099DB8D629494BE7E9	6BAE2F4F5DC175A774532FD52F00E9C8	9466898	I10_THZ1_250NM_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444438	GSM3209378	Mantle cell lymphoma	250nM THZ1	l10	l10.thz1_250nM_6hr
SAMN09466897	SRR7407813	2019-03-02T11:47:05Z	2018-06-21T19:03:36Z	21839078	1091953900	0	50	385		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7407813/SRR7407813.1	SRX4279364		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444439	simple	9606	Homo sapiens	GSM3209379							no					GEO	SRA726173		public	90B0B16F16E3638905A01FD1114E3706	AD6BAAADD8F71BFAD25FC83606E0AB1E	9466897	I10_THZ1_250NM_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444439	GSM3209379	Mantle cell lymphoma	250nM THZ1	l10	l10.thz1_250nM_6hr
SAMN09466896	SRR7407814	2019-03-02T11:47:05Z	2018-06-21T19:03:23Z	28680020	1434001000	0	50	504		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7407814/SRR7407814.1	SRX4279365		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444440	simple	9606	Homo sapiens	GSM3209380							no					GEO	SRA726173		public	3B1267850A83E7BB41A0CD14D0815684	E2FDCCC0CC9EB11B5D9BC1AC0F6F162C	9466896	J4_DMSO_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444440	GSM3209380	Mantle cell lymphoma	none	j4	j4.dmso
SAMN09466895	SRR7407815	2019-03-02T11:47:05Z	2018-06-21T19:02:27Z	17753607	887680350	0	50	340		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7407815/SRR7407815.1	SRX4279366		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444441	simple	9606	Homo sapiens	GSM3209381							no					GEO	SRA726173		public	03166627BD7814EF33745FBADA81D372	36C0B4A86DC349C90128C601CA5FB227	9466895	J4_DMSO_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444441	GSM3209381	Mantle cell lymphoma	none	j4	j4.dmso
SAMN09466894	SRR7407816	2019-03-02T11:47:05Z	2018-06-21T19:01:55Z	22163279	1108163950	0	50	392		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7407816/SRR7407816.1	SRX4279367		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444442	simple	9606	Homo sapiens	GSM3209382							no					GEO	SRA726173		public	1CD0CBA8664135A2785FA5BD74C23367	01048320E3DF7DA7D2C91DDEDB623C5F	9466894	J4_DMSO_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444442	GSM3209382	Mantle cell lymphoma	none	j4	j4.dmso
SAMN09466893	SRR7407817	2019-03-02T11:47:05Z	2018-06-21T19:04:25Z	28201729	1410086450	0	50	493		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7407817/SRR7407817.1	SRX4279368		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444445	simple	9606	Homo sapiens	GSM3209383							no					GEO	SRA726173		public	DE90362CC57FAE16F0BAAC2E7AC86203	5215B165120B8E16185AC01BAF29EC1F	9466893	J4_THZ1_50NM_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444445	GSM3209383	Mantle cell lymphoma	50nM THZ1	j4	j4.thz1_50nM_6hr
SAMN09466892	SRR7407818	2019-03-02T11:47:05Z	2018-06-21T19:01:07Z	20706686	1035334300	0	50	394		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7407818/SRR7407818.1	SRX4279369		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444443	simple	9606	Homo sapiens	GSM3209384							no					GEO	SRA726173		public	9F07207CAEA1BEEC195BB274AD4529DD	E37EDAA97FA507727E512E232F3B7B4C	9466892	J4_THZ1_50NM_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444443	GSM3209384	Mantle cell lymphoma	50nM THZ1	j4	j4.thz1_50nM_6hr
SAMN09466891	SRR7407819	2019-03-02T11:47:05Z	2018-06-21T19:03:01Z	26350875	1317543750	0	50	463		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7407819/SRR7407819.1	SRX4279370		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444444	simple	9606	Homo sapiens	GSM3209385							no					GEO	SRA726173		public	3ED65DCF8D21A0E427B5F1A2EB30D7FC	6B9636F9058ED55E73DC6A834021EA64	9466891	J4_THZ1_50NM_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444444	GSM3209385	Mantle cell lymphoma	50nM THZ1	j4	j4.thz1_50nM_6hr
SAMN09466890	SRR7407820	2019-03-02T11:47:05Z	2018-06-21T19:02:53Z	22017441	1100872050	0	50	386		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7407820/SRR7407820.1	SRX4279371		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444446	simple	9606	Homo sapiens	GSM3209386							no					GEO	SRA726173		public	35C52C85592982E357EEFCE22D10D822	779833BE547A9E2E5BAEB5671F0A4E98	9466890	J4_THZ1_250NM_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444446	GSM3209386	Mantle cell lymphoma	250nM THZ1	j4	j4.thz1_250nM_6hr
SAMN09466889	SRR7407821	2019-03-02T11:47:05Z	2018-06-21T19:01:39Z	18863999	943199950	0	50	360		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7407821/SRR7407821.1	SRX4279372		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444447	simple	9606	Homo sapiens	GSM3209387							no					GEO	SRA726173		public	30C7EBE5DD9C3EA0785D309B8362D653	C225304CFD276B13FDC6D8045B7DE3A0	9466889	J4_THZ1_250NM_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444447	GSM3209387	Mantle cell lymphoma	250nM THZ1	j4	j4.thz1_250nM_6hr
