BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	drug	experiment	source_name	timepoint	group
SAMN10663314	SRR8380994	2019-07-02T15:57:12Z	2020-02-22T10:59:12Z	40895001	8260790202	40895001	202	3268		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380994.sralite.1	SRX5190968		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197093	simple	9606	Homo sapiens	GSM3535562							no					GEO	SRA827993		public	D40B37E1E8AAEDE5C93FFB4086A95A98	7913026D9C72A014943A3DCCE1537A9C	10663314	AMO-1 SRSF1 WT DMSO mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197093	GSM3535562	AMO-1		DMSO	exogenous SRSF1 WT effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)	AMO.1.eSWeas.DMSO.24.h..untreated.
SAMN10663315	SRR8380993	2019-07-02T15:57:12Z	2020-02-22T14:19:17Z	42188495	10631500740	42188495	252	3992		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380993.sralite.1	SRX5190967		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197092	simple	9606	Homo sapiens	GSM3535561							no					GEO	SRA827993		public	F7BE8BADAE262940D750781FEFCABF5B	74B6BBFDDC8310AE59B05F8279C4D1C2	10663315	AMO-1 15 nM carfilzomib mRNA replicate 7	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197092	GSM3535561	AMO-1		15 nM carfilzomib	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.stras.15.nM.carfilzomib.24.h
SAMN10663316	SRR8380992	2019-07-02T15:57:12Z	2020-02-22T11:15:06Z	30185623	7606776996	30185623	252	2887		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380992.sralite.1	SRX5190966		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197091	simple	9606	Homo sapiens	GSM3535560							no					GEO	SRA827993		public	75ACAC9D1D79160351D945AEE915A4FA	95C6B7D72E5DC963CEC40C8B0DEC91A9	10663316	AMO-1 15 nM carfilzomib mRNA replicate 8	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197091	GSM3535560	AMO-1		15 nM carfilzomib	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.stras.15.nM.carfilzomib.24.h
SAMN10663317	SRR8380991	2019-07-02T15:57:12Z	2020-02-22T18:34:49Z	88217675	22230854100	88217675	252	8445		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380991.sralite.1	SRX5190965		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197090	simple	9606	Homo sapiens	GSM3535559							no					GEO	SRA827993		public	BD9C1FE5398679D6643C0F962864BEB3	162B1BFC5DB27C88FC9F50BF405AB047	10663317	AMO-1 15 nM carfilzomib mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197090	GSM3535559	AMO-1		15 nM carfilzomib	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.stras.15.nM.carfilzomib.24.h
SAMN10663318	SRR8380990	2019-07-02T15:57:12Z	2020-02-22T15:02:44Z	62878268	15845323536	62878268	252	5958		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380990.sralite.1	SRX5190964		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197089	simple	9606	Homo sapiens	GSM3535558							no					GEO	SRA827993		public	D7E1F670051027DE8C41805E5CEEF19E	351E4610E1AF03AECED417581CAC8BEB	10663318	AMO-1 DMSO mRNA replicate 7	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197089	GSM3535558	AMO-1		DMSO	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h (untreated)	AMO.1.stras.DMSO.24.h..untreated.
SAMN10663319	SRR8380989	2019-07-02T15:57:12Z	2020-02-22T20:48:09Z	88900520	22402931040	88900520	252	8342		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380989.sralite.1	SRX5190963		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197088	simple	9606	Homo sapiens	GSM3535557							no					GEO	SRA827993		public	F0DFAC5087F9E8B51526DEA5D2BF3241	DA8E316DAF00BE767E74FAFE44976F71	10663319	AMO-1 DMSO mRNA replicate 8	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197088	GSM3535557	AMO-1		DMSO	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h (untreated)	AMO.1.stras.DMSO.24.h..untreated.
SAMN10663320	SRR8380988	2019-07-02T15:57:12Z	2020-02-22T12:05:45Z	52709599	13282818948	52709599	252	4968		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380988.sralite.1	SRX5190962		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197087	simple	9606	Homo sapiens	GSM3535556							no					GEO	SRA827993		public	4D4823F5997A8D765925FB17DC64D999	E91A12C42887E3EB99F7388331FFCF3C	10663320	AMO-1 DMSO mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197087	GSM3535556	AMO-1		DMSO	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h (untreated)	AMO.1.stras.DMSO.24.h..untreated.
SAMN10663321	SRR8380987	2019-07-02T15:57:12Z	2020-02-22T14:37:47Z	44635122	9016294644	44635122	202	3816		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380987.sralite.1	SRX5190961		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197086	simple	9606	Homo sapiens	GSM3535555							no					GEO	SRA827993		public	44FE9BF2539A4E5E24FAE2F922298E16	B709E024134B17F78585C9FC7D4BC5A4	10663321	AMO-1 10 nM E7107 mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197086	GSM3535555	AMO-1		10 nM E7107	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.stras.10.nM.E7107.24.h
SAMN10663322	SRR8380986	2019-07-02T15:57:12Z	2020-02-22T10:35:55Z	40855981	8252908162	40855981	202	3486		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380986.sralite.1	SRX5190960		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197085	simple	9606	Homo sapiens	GSM3535554							no					GEO	SRA827993		public	9E08C15D3968FE9A36A8FB0CC5F48355	B5BB20E7D00EDF371A75207A96C1F391	10663322	AMO-1 10 nM E7107 mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197085	GSM3535554	AMO-1		10 nM E7107	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.stras.10.nM.E7107.24.h
SAMN10663323	SRR8380985	2019-07-02T15:57:12Z	2020-02-22T11:23:55Z	43373433	8761433466	43373433	202	3679		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380985.sralite.1	SRX5190959		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197084	simple	9606	Homo sapiens	GSM3535553							no					GEO	SRA827993		public	45C2F54FFAA87803593D72A153C205E0	ED54E39191F9835BE9441EFEB182C817	10663323	AMO-1 10 nM E7107 mRNA replicate 1	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197084	GSM3535553	AMO-1		10 nM E7107	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.stras.10.nM.E7107.24.h
