BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	genotype/variation	source_name	treatment	cell_line	group
SAMN10785347	SRR8467837	2019-05-05T09:28:40Z	2019-01-22T18:55:03Z	73094056	3727796856	0	51	1287		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8467837/SRR8467837.1	SRX5274243		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP181053	PRJNA516226	3	516226	SRS4274474	simple	9606	Homo sapiens	GSM3573397							no					GEO	SRA837184		public	D0A68316552309B49B847C40603345FC	6386E90D08898857AE2B2FF2FE27473C	10785347	MOLM-13_Par_RNA-seq_rep1	NYU Langone Medical Center	9606	SRS4274474	GSM3573397	MOLM-13	human acute myeloid leukemia (AML) cells	parental cells	MOLM-13 parental cells	none	MOLM-13	MOLM13_Par
SAMN10785346	SRR8467838	2019-05-05T09:28:40Z	2019-01-21T16:44:18Z	38927994	1985327694	0	51	686		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8467838/SRR8467838.1	SRX5274244		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP181053	PRJNA516226	3	516226	SRS4274475	simple	9606	Homo sapiens	GSM3573398							no					GEO	SRA837184		public	FF80AEF914A26F69E061CD723FA380F3	9EA42CCA96C62A8EBBCE9276B6FF03F4	10785346	MOLM-13_Par_RNA-seq_rep2	NYU Langone Medical Center	9606	SRS4274475	GSM3573398	MOLM-13	human acute myeloid leukemia (AML) cells	parental cells	MOLM-13 parental cells	none	MOLM-13	MOLM13_Par
SAMN10785345	SRR8467839	2019-05-05T09:28:40Z	2019-01-21T16:40:53Z	43440114	2215445814	0	51	765		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8467839/SRR8467839.1	SRX5274245		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP181053	PRJNA516226	3	516226	SRS4274476	simple	9606	Homo sapiens	GSM3573399							no					GEO	SRA837184		public	C397DC715694F87BDFFD60572A4DE12B	E187D56A9980A15EFDB448B1B5C79F95	10785345	MOLM-13_VR_RNA-seq_rep1	NYU Langone Medical Center	9606	SRS4274476	GSM3573399	MOLM-13	human acute myeloid leukemia (AML) cells	venetoclax resistant cells	MOLM-13 venetoclax resistant cells	increasing dose of venetoclax for 8 weeks	MOLM-13	MOLM13_VR
SAMN10785344	SRR8467840	2019-05-05T09:28:40Z	2019-01-21T18:44:16Z	48995207	2498755557	0	51	861		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8467840/SRR8467840.1	SRX5274246		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP181053	PRJNA516226	3	516226	SRS4274477	simple	9606	Homo sapiens	GSM3573400							no					GEO	SRA837184		public	A79262C7124984F6FDC095C6F0456BC1	AF13BE4CD060F72DD829C16DCD63A823	10785344	MOLM-13_VR_RNA-seq_rep2	NYU Langone Medical Center	9606	SRS4274477	GSM3573400	MOLM-13	human acute myeloid leukemia (AML) cells	venetoclax resistant cells	MOLM-13 venetoclax resistant cells	increasing dose of venetoclax for 8 weeks	MOLM-13	MOLM13_VR
SAMN10785343	SRR8467841	2019-05-05T09:28:40Z	2019-01-21T16:36:52Z	26639769	1358628219	0	51	654		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8467841/SRR8467841.1	SRX5274247		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP181053	PRJNA516226	3	516226	SRS4274478	simple	9606	Homo sapiens	GSM3573401							no					GEO	SRA837184		public	9F552B1687C81536CF3383FE27966545	3F597348B66B49BDF506E2BC359391B8	10785343	MOLM-13_sgRosa_D6_RNA-seq_rep1	NYU Langone Medical Center	9606	SRS4274478	GSM3573401	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Wild Type	MOLM-13-Cas9-dBSD cells	Day 6 post sgRosa transduction	MOLM-13	MOLM13_sgRosa_D6
SAMN10785342	SRR8467842	2019-05-05T09:28:40Z	2019-01-21T16:36:05Z	26400227	1346411577	0	51	648		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8467842/SRR8467842.1	SRX5274248		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP181053	PRJNA516226	3	516226	SRS4274479	simple	9606	Homo sapiens	GSM3573402							no					GEO	SRA837184		public	0AA04CA7383E66C94BEE6F1C8ACD7068	BB7C8165E66DA218F692704CF84B1296	10785342	MOLM-13_sgRosa_D6_RNA-seq_rep2	NYU Langone Medical Center	9606	SRS4274479	GSM3573402	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Wild Type	MOLM-13-Cas9-dBSD cells	Day 6 post sgRosa transduction	MOLM-13	MOLM13_sgRosa_D6
SAMN10785341	SRR8467843	2019-05-05T09:28:40Z	2019-01-21T16:36:54Z	30977140	1579834140	0	51	760		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8467843/SRR8467843.1	SRX5274249		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP181053	PRJNA516226	3	516226	SRS4274480	simple	9606	Homo sapiens	GSM3573403							no					GEO	SRA837184		public	827F64EE5CDD7E9EC13F1A3863028F55	3439F5B76CFBF774242696510BA5242B	10785341	MOLM-13_sgRosa_D6_RNA-seq_rep3	NYU Langone Medical Center	9606	SRS4274480	GSM3573403	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Wild Type	MOLM-13-Cas9-dBSD cells	Day 6 post sgRosa transduction	MOLM-13	MOLM13_sgRosa_D6
SAMN10785340	SRR8467844	2019-05-05T09:28:40Z	2019-01-21T16:36:47Z	28766423	1467087573	0	51	690		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8467844/SRR8467844.1	SRX5274250		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP181053	PRJNA516226	3	516226	SRS4274481	simple	9606	Homo sapiens	GSM3573404							no					GEO	SRA837184		public	7630E410267BAE503B9CC92FF468851B	E9A4652F84D221D564E52E13A67AB986	10785340	MOLM-13_sgRosa_D8_RNA-seq_rep1	NYU Langone Medical Center	9606	SRS4274481	GSM3573404	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Wild Type	MOLM-13-Cas9-dBSD cells	Day 8 post sgRosa transduction	MOLM-13	MOLM13_sgRosa_D8
SAMN10785339	SRR8467845	2019-05-05T09:28:40Z	2019-01-21T16:38:39Z	25460779	1298499729	0	51	614		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8467845/SRR8467845.1	SRX5274251		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP181053	PRJNA516226	3	516226	SRS4274482	simple	9606	Homo sapiens	GSM3573405							no					GEO	SRA837184		public	AA8FE555929651A8A2A0109F7E1F0EB0	F7BBD3C79D1DED74400ECF7FC9CF82EB	10785339	MOLM-13_sgRosa_D8_RNA-seq_rep2	NYU Langone Medical Center	9606	SRS4274482	GSM3573405	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Wild Type	MOLM-13-Cas9-dBSD cells	Day 8 post sgRosa transduction	MOLM-13	MOLM13_sgRosa_D8
SAMN10785338	SRR8467846	2019-05-05T09:28:40Z	2019-01-21T16:35:56Z	25916167	1321724517	0	51	619		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8467846/SRR8467846.1	SRX5274252		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP181053	PRJNA516226	3	516226	SRS4274483	simple	9606	Homo sapiens	GSM3573406							no					GEO	SRA837184		public	A04E83695D578A202102519346068D53	8C96B34B95A156533C51D4B089B5CC12	10785338	MOLM-13_sgRosa_D8_RNA-seq_rep3	NYU Langone Medical Center	9606	SRS4274483	GSM3573406	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Wild Type	MOLM-13-Cas9-dBSD cells	Day 8 post sgRosa transduction	MOLM-13	MOLM13_sgRosa_D8
