BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	mtap status	replicate	source_name	treatment
SAMN10955824	SRR8582937	2019-08-15T15:52:20Z	2019-02-15T17:49:16Z	104965270	21202984540	104965270	202	10098		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8582937/SRR8582937.1	SRX5383636		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372551	simple	9606	Homo sapiens	GSM3610493							no					GEO	SRA849758		public	B72944D93DA8442BE4A424C745F93616	AE76E03F31EB2CE2D96C4FACB1F4941F	10955824	PANC03.27_MTAP_KO_Combo_N2	GlaxoSmithKline LLC	9606	SRS4372551	GSM3610493	PANC03.27	Knock out	Replicate #2	Pancreatic cancer cell line	Treated (Combination)
SAMN10955825	SRR8582936	2019-08-15T15:52:20Z	2019-02-15T17:50:55Z	107642649	21743815098	107642649	202	10438		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8582936/SRR8582936.1	SRX5383635		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372550	simple	9606	Homo sapiens	GSM3610492							no					GEO	SRA849758		public	7D485A85373AE956A5AF1D21629D077F	6409C4C8CD3C36C307BBB3D7CDF0A709	10955825	PANC03.27_MTAP_KO_Combo_N1	GlaxoSmithKline LLC	9606	SRS4372550	GSM3610492	PANC03.27	Knock out	Replicate #1	Pancreatic cancer cell line	Treated (Combination)
SAMN10955826	SRR8582935	2019-08-15T15:52:20Z	2019-02-15T17:44:47Z	106975613	21609073826	106975613	202	10528		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8582935/SRR8582935.1	SRX5383634		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372549	simple	9606	Homo sapiens	GSM3610491							no					GEO	SRA849758		public	D0DD5D875EC35502AFDBC082C5EE9C6E	1444EDD0800CB9359BBCFDA0A9E0DAD4	10955826	PANC03.27_MTAP_KO_GSK591_N2	GlaxoSmithKline LLC	9606	SRS4372549	GSM3610491	PANC03.27	Knock out	Replicate #2	Pancreatic cancer cell line	Treated (GSK3203591)
SAMN10955827	SRR8582934	2019-08-15T15:52:20Z	2019-02-15T17:53:49Z	112016756	22627384712	112016756	202	11428		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8582934/SRR8582934.1	SRX5383633		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372548	simple	9606	Homo sapiens	GSM3610490							no					GEO	SRA849758		public	B77E4E78176E5000E4FAA8CE013B62DC	216C38B49B8A47F629083109991073C2	10955827	PANC03.27_MTAP_KO_GSK591_N1	GlaxoSmithKline LLC	9606	SRS4372548	GSM3610490	PANC03.27	Knock out	Replicate #1	Pancreatic cancer cell line	Treated (GSK3203591)
SAMN10955828	SRR8582929	2019-08-15T15:52:20Z	2019-02-15T17:53:35Z	114560978	23141317556	114560978	202	11847		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8582929/SRR8582929.1	SRX5383628		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372543	simple	9606	Homo sapiens	GSM3610485							no					GEO	SRA849758		public	73E1DC15FA88021568B63D93CFCA5279	39608E5623F3F4F347F240449F1498D5	10955828	PANC03.27_MTAP_WT_Combo_N2	GlaxoSmithKline LLC	9606	SRS4372543	GSM3610485	PANC03.27	Parental	Replicate #2	Pancreatic cancer cell line	Treated (Combination)
SAMN10955829	SRR8582928	2019-08-15T15:52:20Z	2019-02-15T17:44:00Z	110531477	22327358354	110531477	202	11198		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8582928/SRR8582928.1	SRX5383627		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372542	simple	9606	Homo sapiens	GSM3610484							no					GEO	SRA849758		public	68DCE6FC68EF86A5EE9147A981684EB5	ED9DC2ED19D397E6045C7C12848DAF03	10955829	PANC03.27_MTAP_WT_Combo_N1	GlaxoSmithKline LLC	9606	SRS4372542	GSM3610484	PANC03.27	Parental	Replicate #1	Pancreatic cancer cell line	Treated (Combination)
SAMN10955830	SRR8582927	2019-08-15T15:52:19Z	2019-02-15T17:44:58Z	100357669	20272249138	100357669	202	9574		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8582927/SRR8582927.1	SRX5383626		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372541	simple	9606	Homo sapiens	GSM3610483							no					GEO	SRA849758		public	E40AF4095B63386BD52344BD21BF079F	5A703F4888FB2FDCC68FE7FEE952250B	10955830	PANC03.27_MTAP_WT_GSK591_N2	GlaxoSmithKline LLC	9606	SRS4372541	GSM3610483	PANC03.27	Parental	Replicate #2	Pancreatic cancer cell line	Treated (GSK3203591)
SAMN10955831	SRR8582926	2019-08-15T15:52:19Z	2019-02-15T17:46:36Z	105305577	21271726554	105305577	202	9924		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8582926/SRR8582926.1	SRX5383625		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372540	simple	9606	Homo sapiens	GSM3610482							no					GEO	SRA849758		public	DD657D128C6D7E224933677AEE256CA6	D3BF05452FE76FD5293079C4C2EDC13D	10955831	PANC03.27_MTAP_WT_GSK591_N1	GlaxoSmithKline LLC	9606	SRS4372540	GSM3610482	PANC03.27	Parental	Replicate #1	Pancreatic cancer cell line	Treated (GSK3203591)
SAMN10955832	SRR8582933	2019-08-15T15:52:20Z	2019-02-15T17:47:25Z	108788433	21975263466	108788433	202	11496		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8582933/SRR8582933.1	SRX5383632		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372547	simple	9606	Homo sapiens	GSM3610489							no					GEO	SRA849758		public	F0061A1A3741DC145199C5BEA3623E73	A940B1F8579C1BDB8A0A4408E8B80E55	10955832	PANC03.27_MTAP_KO_GSK712_N2	GlaxoSmithKline LLC	9606	SRS4372547	GSM3610489	PANC03.27	Knock out	Replicate #2	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955833	SRR8582932	2019-08-15T15:52:20Z	2019-02-15T17:47:21Z	118184819	23873333438	118184819	202	12006		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8582932/SRR8582932.1	SRX5383631		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372546	simple	9606	Homo sapiens	GSM3610488							no					GEO	SRA849758		public	F7C387C855EC0AF15F7A5191ECE6C6F3	6CEC3A566025CA1D56C9482B1176819C	10955833	PANC03.27_MTAP_KO_GSK712_N1	GlaxoSmithKline LLC	9606	SRS4372546	GSM3610488	PANC03.27	Knock out	Replicate #1	Pancreatic cancer cell line	Treated (GSK3368712)
