BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	genotype/variation	source_name	subtype	tissue	transfection	treatment	tumor source
SAMN11099148	SRR8707507	2022-03-03T18:27:32Z	2019-03-11T10:03:51Z	38540022	1927001100	0	50	962		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR008/8707/SRR8707507/SRR8707507.lite.1	SRX5502927		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188083	PRJNA526455		526455	SRS4471515	simple	9606	Homo sapiens	GSM3664922							no					GEO	SRA858440		public	30FF28D01950FBAD524960C4FA2BCB43	2B648EB4B3131C4777CAF9B7D6413754	11099148	SUM159_shE4F1_GEM_rep3	Genetic and phenotypic plasticity of cancer team, IRCM	9606	SRS4471515	GSM3664922	SUM159	Breast cancer cell line	down regulation E4F1	SUM159 cells	Triple negative breast cancer	mammary gland; breast	shE4F1	Gemcitabine treated	Primary tumor
SAMN11099149	SRR8707506	2022-03-03T18:27:32Z	2019-03-11T10:03:38Z	37156172	1857808600	0	50	910		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR008/8707/SRR8707506/SRR8707506.lite.1	SRX5502926		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188083	PRJNA526455		526455	SRS4471514	simple	9606	Homo sapiens	GSM3664921							no					GEO	SRA858440		public	3F56604506C4A768D400028CC941B9DE	0319A3B5761CC91BA385344E6F824A52	11099149	SUM159_shCTRL_GEM_rep3	Genetic and phenotypic plasticity of cancer team, IRCM	9606	SRS4471514	GSM3664921	SUM159	Breast cancer cell line		SUM159 cells	Triple negative breast cancer	mammary gland; breast	shCTRL	Gemcitabine treated	Primary tumor
SAMN11099150	SRR8707505	2022-03-03T18:27:32Z	2019-03-11T10:05:17Z	46711561	2335578050	0	50	1143		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR008/8707/SRR8707505/SRR8707505.lite.1	SRX5502925		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188083	PRJNA526455		526455	SRS4471513	simple	9606	Homo sapiens	GSM3664920							no					GEO	SRA858440		public	ABFE16E69C8683D6A3B2B7562BF0045C	28EDE8F0312B935E2AD4456C4B3C176D	11099150	SUM159_shCTRL_NT_rep3	Genetic and phenotypic plasticity of cancer team, IRCM	9606	SRS4471513	GSM3664920	SUM159	Breast cancer cell line		SUM159 cells	Triple negative breast cancer	mammary gland; breast	shCTRL	Untreated	Primary tumor
SAMN11099151	SRR8707504	2022-03-03T18:27:32Z	2019-03-11T10:04:59Z	56009753	2800487650	0	50	1373		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR008/8707/SRR8707504/SRR8707504.lite.1	SRX5502924		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188083	PRJNA526455		526455	SRS4471512	simple	9606	Homo sapiens	GSM3664919							no					GEO	SRA858440		public	5955C99A53AEB7970685ABB94422EE22	FFE40CF895555781CF6FADC5B74AE15B	11099151	SUM159_shE4F1_NT_rep2	Genetic and phenotypic plasticity of cancer team, IRCM	9606	SRS4471512	GSM3664919	SUM159	Breast cancer cell line	down regulation E4F1	SUM159 cells	Triple negative breast cancer	mammary gland; breast	shE4F1	Untreated	Primary tumor
SAMN11099152	SRR8707503	2022-03-03T18:27:32Z	2019-03-11T10:04:46Z	54443717	2722185850	0	50	1331		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR008/8707/SRR8707503/SRR8707503.lite.1	SRX5502923		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188083	PRJNA526455		526455	SRS4471511	simple	9606	Homo sapiens	GSM3664918							no					GEO	SRA858440		public	ACB97858B6775AEF068ECBD5EA448095	F2E933B40BA8BB43389852EF5D97F4DF	11099152	SUM159_shE4F1_GEM_rep2	Genetic and phenotypic plasticity of cancer team, IRCM	9606	SRS4471511	GSM3664918	SUM159	Breast cancer cell line	down regulation E4F1	SUM159 cells	Triple negative breast cancer	mammary gland; breast	shE4F1	Gemcitabine treated	Primary tumor
SAMN11099153	SRR8707502	2022-03-03T18:27:32Z	2019-03-11T10:04:21Z	50434723	2521736150	0	50	1255		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR008/8707/SRR8707502/SRR8707502.lite.1	SRX5502922		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188083	PRJNA526455		526455	SRS4471510	simple	9606	Homo sapiens	GSM3664917							no					GEO	SRA858440		public	B66C2650CECFCAF3E0F58648CCDD834C	1B389D6245761868208A61D5C468F551	11099153	SUM159_shCTRL_GEM_rep2	Genetic and phenotypic plasticity of cancer team, IRCM	9606	SRS4471510	GSM3664917	SUM159	Breast cancer cell line		SUM159 cells	Triple negative breast cancer	mammary gland; breast	shCTRL	Gemcitabine treated	Primary tumor
SAMN11099154	SRR8707501	2022-03-03T18:27:32Z	2019-03-11T10:04:28Z	46272933	2313646650	0	50	1159		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR008/8707/SRR8707501/SRR8707501.lite.1	SRX5502921		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188083	PRJNA526455		526455	SRS4471509	simple	9606	Homo sapiens	GSM3664916							no					GEO	SRA858440		public	2D967CD933A3CBC57F7EEC30FF2C6CE5	1B5928539B251444339BA5940569A4D6	11099154	SUM159_shCTRL_NT_rep2	Genetic and phenotypic plasticity of cancer team, IRCM	9606	SRS4471509	GSM3664916	SUM159	Breast cancer cell line		SUM159 cells	Triple negative breast cancer	mammary gland; breast	shCTRL	Untreated	Primary tumor
SAMN11099155	SRR8707500	2022-03-03T18:27:32Z	2019-03-11T10:03:24Z	43522254	2176112700	0	50	1082		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR008/8707/SRR8707500/SRR8707500.lite.1	SRX5502920		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188083	PRJNA526455		526455	SRS4471508	simple	9606	Homo sapiens	GSM3664915							no					GEO	SRA858440		public	DEF7907ACEEEFB38F956913716D7054C	3A308A42E710DE57B9A47E9DD8C15223	11099155	SUM159_shE4F1_GEM_rep1	Genetic and phenotypic plasticity of cancer team, IRCM	9606	SRS4471508	GSM3664915	SUM159	Breast cancer cell line	down regulation E4F1	SUM159 cells	Triple negative breast cancer	mammary gland; breast	shE4F1	Gemcitabine treated	Primary tumor
SAMN11099156	SRR8707499	2022-03-03T18:27:32Z	2019-03-11T10:03:09Z	36813198	1840659900	0	50	925		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR008/8707/SRR8707499/SRR8707499.lite.1	SRX5502919		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188083	PRJNA526455		526455	SRS4471507	simple	9606	Homo sapiens	GSM3664914							no					GEO	SRA858440		public	236F1A523AAAC2114D2567165E1E94AA	C211553144F33FBDFBBA82539295C367	11099156	SUM159_shE4F1_NT_rep1	Genetic and phenotypic plasticity of cancer team, IRCM	9606	SRS4471507	GSM3664914	SUM159	Breast cancer cell line	down regulation E4F1	SUM159 cells	Triple negative breast cancer	mammary gland; breast	shE4F1	Untreated	Primary tumor
SAMN11099157	SRR8707498	2022-03-03T18:27:32Z	2019-03-11T10:04:06Z	51715246	2585762300	0	50	1284		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR008/8707/SRR8707498/SRR8707498.lite.1	SRX5502918		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188083	PRJNA526455		526455	SRS4471506	simple	9606	Homo sapiens	GSM3664913							no					GEO	SRA858440		public	86A760CD2482D4213BEA8BD741F9A03B	CF97328B7AA3A606E7B7B995BA80D9AA	11099157	SUM159_shCTRL_GEM_rep1	Genetic and phenotypic plasticity of cancer team, IRCM	9606	SRS4471506	GSM3664913	SUM159	Breast cancer cell line		SUM159 cells	Triple negative breast cancer	mammary gland; breast	shCTRL	Gemcitabine treated	Primary tumor
