BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	passage	source_name	time	treatment
SAMN12818510	SRR10162408	2020-01-15T17:01:09Z	2019-09-23T09:01:17Z	15764994	3941248500	15764994	250	1808		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10162408/SRR10162408.1	SRX6887800		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420898	simple	9606	Homo sapiens	GSM4089220							no					GEO	SRA966265		public	0D258E2078470C37C4AEF4EB0BAD6C2E	69BEF4DC27972A9503D5F57C010997A8	12818510	LNCaP p.11 DMSO 24h -1	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420898	GSM4089220	LNCaP	Prostate Adenocarcinoma	passage 30-50	LNCaP	24 hours	no ARD-61
SAMN12818511	SRR10162407	2020-01-15T17:01:09Z	2019-09-23T09:01:14Z	14339125	3584781250	14339125	250	1649		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10162407/SRR10162407.1	SRX6887799		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420897	simple	9606	Homo sapiens	GSM4089219							no					GEO	SRA966265		public	7B50065C1EBF90148C209E46BC318EE9	AF9FDE16757733881EBA4515EAAE1A1B	12818511	VCaP 100nM ARD-61b 6h-3	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420897	GSM4089219	VCaP	Prostate Adenocarcinoma	passage 30-50	VCaP	6 hours	ARD-61
SAMN12818512	SRR10162406	2020-01-15T17:01:09Z	2019-09-23T09:00:30Z	14153082	3538270500	14153082	250	1614		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10162406/SRR10162406.1	SRX6887798		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420896	simple	9606	Homo sapiens	GSM4089218							no					GEO	SRA966265		public	55EB8160CA6B20DF0D66A41DB8B68D3D	919A4F56D932BEA507895A6E4A4A719C	12818512	VCaP 100nM ARD-61b 6h-2	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420896	GSM4089218	VCaP	Prostate Adenocarcinoma	passage 30-50	VCaP	6 hours	ARD-61
SAMN12818513	SRR10162405	2020-01-15T17:01:09Z	2019-09-23T09:01:25Z	14076554	3519138500	14076554	250	1629		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10162405/SRR10162405.1	SRX6887797		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420895	simple	9606	Homo sapiens	GSM4089217							no					GEO	SRA966265		public	B7E54BB1144DB0A4225161043C12BB30	7C76ED8BF92553C1809DB4AFCB0F95E4	12818513	VCaP 100nM ARD-61b 6h-1	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420895	GSM4089217	VCaP	Prostate Adenocarcinoma	passage 30-50	VCaP	6 hours	ARD-61
SAMN12818514	SRR10162404	2020-01-15T17:01:09Z	2019-09-23T09:01:49Z	15712923	3928230750	15712923	250	1800		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10162404/SRR10162404.1	SRX6887796		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420894	simple	9606	Homo sapiens	GSM4089216							no					GEO	SRA966265		public	C055C98B10EEBB062BA38011FA0AE7DA	0098D17B771FD15191FCDEEB9AEE9BB3	12818514	VCaP DMSO 6h -3	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420894	GSM4089216	VCaP	Prostate Adenocarcinoma	passage 30-50	VCaP	6 hours	no ARD-61
SAMN12818515	SRR10162403	2020-01-15T17:01:09Z	2019-09-23T09:01:47Z	15396599	3849149750	15396599	250	1753		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10162403/SRR10162403.1	SRX6887795		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420893	simple	9606	Homo sapiens	GSM4089215							no					GEO	SRA966265		public	7CA8C19611A3409B5D3097435A34BB49	16458AABC052C7F125A5A5586953B25C	12818515	VCaP DMSO 6h -2	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420893	GSM4089215	VCaP	Prostate Adenocarcinoma	passage 30-50	VCaP	6 hours	no ARD-61
SAMN12818516	SRR10162402	2020-01-15T17:01:09Z	2019-09-23T09:03:08Z	18985523	4746380750	18985523	250	2173		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10162402/SRR10162402.1	SRX6887794		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420892	simple	9606	Homo sapiens	GSM4089214							no					GEO	SRA966265		public	7B39F9D345F52F7842859EBD6D114AA8	A0EE54724D427DD5368635C44ECC6F48	12818516	VCaP DMSO 6h -1	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420892	GSM4089214	VCaP	Prostate Adenocarcinoma	passage 30-50	VCaP	6 hours	no ARD-61
SAMN12818517	SRR10162427	2020-01-15T17:01:10Z	2019-09-23T09:02:24Z	9913118	2478279500	9913118	250	1147		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10162427/SRR10162427.1	SRX6887819		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420917	simple	9606	Homo sapiens	GSM4089239							no					GEO	SRA966265		public	5AE8D19C978D91D37FD84C43038D5C45	0737E8915FF784226E1A44CE2655F8A9	12818517	AR-V7-30ARD	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420917	GSM4089239	LNCaP AR-V7	Prostate Adenocarcinoma	passage 30-50	LNCaP AR-V7	24 hours	ARD-61
SAMN12818518	SRR10162426	2020-01-15T17:01:10Z	2019-09-23T09:03:13Z	10132931	2533232750	10132931	250	1166		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10162426/SRR10162426.1	SRX6887818		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420916	simple	9606	Homo sapiens	GSM4089238							no					GEO	SRA966265		public	2412B18388D0122B4898E718F0298334	B89D7167975B5C97601FEAF53987657A	12818518	AR-V7-26ARD	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420916	GSM4089238	LNCaP AR-V7	Prostate Adenocarcinoma	passage 30-50	LNCaP AR-V7	24 hours	ARD-61
SAMN12818519	SRR10162425	2020-01-15T17:01:10Z	2019-09-23T09:03:00Z	9276638	2319159500	9276638	250	1080		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10162425/SRR10162425.1	SRX6887817		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420915	simple	9606	Homo sapiens	GSM4089237							no					GEO	SRA966265		public	537F646CF6C592E7609C06D521FAAA8F	BF23D8C75B6C89A67C907F3785BC54D0	12818519	AR-V7-15ARD	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420915	GSM4089237	LNCaP AR-V7	Prostate Adenocarcinoma	passage 30-50	LNCaP AR-V7	24 hours	ARD-61
