BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	drug exposure time	knockout	source_name	treatment condition	group
SAMN12822772	SRR10166280	2020-01-01T12:33:08Z	2019-09-23T19:46:40Z	56491501	2881066551	0	51	1080		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1016628/SRR10166280.1	SRX6891047		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424026	simple	9606	Homo sapiens	GSM4091099							no					GEO	SRA966882		public	A0B1E2AA46C95FE0DF5118623B27CF0E	B01EE4EBA25FF9AB88BFA326DA058D94	12822772	STAT5_KO_AB10_1_S45	University of California San Francisco	9606	SRS5424026	GSM4091099	NA	STAT5A and STAT5B	CCRF-CEM leukemia cell line	VEH	CCRF_CEM.STAT5A_STAT5B.VEH.
SAMN12822747	SRR10166281	2020-01-01T12:33:08Z	2019-09-23T19:47:12Z	41445790	2113735290	0	51	771		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1016628/SRR10166281.1	SRX6891048		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424027	simple	9606	Homo sapiens	GSM4091100							no					GEO	SRA966882		public	2D086A52276809EB5F02B5AB0D54C0BE	BC931ACD0F9B242FD176ED34ED75B1EE	12822747	STAT5_KO_AB10_2_S31	University of California San Francisco	9606	SRS5424027	GSM4091100	16 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEX_16	CCRF_CEM.STAT5A_STAT5B.DEX.16
SAMN12822746	SRR10166282	2020-01-01T12:33:08Z	2019-09-23T19:48:47Z	44015275	2244779025	0	51	828		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166282/SRR10166282.1	SRX6891049		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424028	simple	9606	Homo sapiens	GSM4091101							no					GEO	SRA966882		public	9BF2326C1783ED6E2C9296BA49916C7B	972C0292F4203AF20DBBC764BFF6254A	12822746	STAT5_KO_AB10_3_S35	University of California San Francisco	9606	SRS5424028	GSM4091101	16 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	IL7_16	CCRF_CEM.STAT5A_STAT5B.IL7.16
SAMN12822745	SRR10166283	2020-01-01T12:33:08Z	2019-09-23T19:51:21Z	51508278	2626922178	0	51	966		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166283/SRR10166283.1	SRX6891050		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424029	simple	9606	Homo sapiens	GSM4091102							no					GEO	SRA966882		public	8965CB5A6A1EA7B649A1C18A3700E8E0	40CFBB8D22A13340098AC8D2CD5DA3FD	12822745	STAT5_KO_AB10_4_S53	University of California San Francisco	9606	SRS5424029	GSM4091102	16 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEXIL7_16	CCRF_CEM.STAT5A_STAT5B.DEX_IL7.16
SAMN12822744	SRR10166284	2020-01-01T12:33:08Z	2019-09-23T19:48:13Z	45124351	2301341901	0	51	845		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10166284/SRR10166284.1	SRX6891051		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424030	simple	9606	Homo sapiens	GSM4091103							no					GEO	SRA966882		public	151E49C6B1142AD2F33F70AA044C99F1	33633542ABDE88CBE07E55DF10CC90ED	12822744	STAT5_KO_AB10_5_S46	University of California San Francisco	9606	SRS5424030	GSM4091103	4 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEX_4	CCRF_CEM.STAT5A_STAT5B.DEX.4
SAMN12822771	SRR10166285	2020-01-01T12:33:08Z	2019-09-23T19:47:55Z	44330453	2260853103	0	51	810		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1016628/SRR10166285.1	SRX6891052		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424031	simple	9606	Homo sapiens	GSM4091104							no					GEO	SRA966882		public	9C34A30F4CC0DC56A21EC1563028EF49	083ABA75C5E5329C78199DD2C2D36740	12822771	STAT5_KO_AB10_6_S46	University of California San Francisco	9606	SRS5424031	GSM4091104	4 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	IL7_4	CCRF_CEM.STAT5A_STAT5B.IL7.4
SAMN12822770	SRR10166286	2020-01-01T12:33:08Z	2019-09-23T19:52:53Z	60529087	3086983437	0	51	1105		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166286/SRR10166286.1	SRX6891053		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424032	simple	9606	Homo sapiens	GSM4091105							no					GEO	SRA966882		public	B67AE8B36D34AB9D0E90C8C557B690A7	F0143180BF087BDAAACBC2242BA25926	12822770	STAT5_KO_AB10_7_S38	University of California San Francisco	9606	SRS5424032	GSM4091105	4 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEXIL7_4	CCRF_CEM.STAT5A_STAT5B.DEX_IL7.4
SAMN12822743	SRR10166287	2020-01-01T12:33:08Z	2019-09-23T19:44:18Z	36547144	1863904344	0	51	676		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166287/SRR10166287.1	SRX6891054		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424033	simple	9606	Homo sapiens	GSM4091106							no					GEO	SRA966882		public	62B174F2DC540FFDA4E05954729220BB	F23C37DD21AD634197C18B73DBB6AC57	12822743	STAT5_KO_AB17_1_S48	University of California San Francisco	9606	SRS5424033	GSM4091106	NA	STAT5A and STAT5B	CCRF-CEM leukemia cell line	VEH	CCRF_CEM.STAT5A_STAT5B.VEH.
SAMN12822742	SRR10166288	2020-01-01T12:33:08Z	2019-09-23T19:47:28Z	46571052	2375123652	0	51	883		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1016628/SRR10166288.1	SRX6891055		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424034	simple	9606	Homo sapiens	GSM4091107							no					GEO	SRA966882		public	90F22FAD1CC204C4902D44BDA7358330	87810C6086EFDF2A1CC77B697BB2D52C	12822742	STAT5_KO_AB17_2_S42	University of California San Francisco	9606	SRS5424034	GSM4091107	16 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEX_16	CCRF_CEM.STAT5A_STAT5B.DEX.16
SAMN12822741	SRR10166289	2020-01-01T12:33:08Z	2019-09-23T19:52:52Z	58085008	2962335408	0	51	1074		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166289/SRR10166289.1	SRX6891056		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424035	simple	9606	Homo sapiens	GSM4091108							no					GEO	SRA966882		public	52D551C7DF5A915E787F83D54D1E6DAD	41E4504FC44CCB5E1E529CBD4A85C292	12822741	STAT5_KO_AB17_3_S43	University of California San Francisco	9606	SRS5424035	GSM4091108	16 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	IL7_16	CCRF_CEM.STAT5A_STAT5B.IL7.16
