BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	Biological replicate	age	biomaterial_provider	cell_line	disease	disease_stage	isolate	sample_type	sex	tissue	treatment	group
SAMN13087968	SRR10326438	2019-11-14T16:02:05Z	2019-10-28T12:45:46Z	23310529	6747600648	23292781	289	1663	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032643/SRR10326438.1	SRX7036700	B 1-1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556607	simple	9606	Homo sapiens	H2030_Vehicle_QDX1_24hr_1					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	0867D33B306C01A47D37D31EC9F4AC33	8EC967DDB4986CE6977D3C620EBC8ADA	13087968	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_Vehicle_QDX1_24hr_1	SRA: SRS5556607	Biological replicate 1	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	Vehicle_QDX1_24hr	H2030.Vehicle_QDX1_24hr
SAMN13087969	SRR10326437	2019-11-14T16:02:05Z	2019-10-28T12:47:32Z	18153048	5216201433	18137471	287	1538	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032643/SRR10326437.1	SRX7036701	B 1-2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556608	simple	9606	Homo sapiens	H2030_Vehicle_QDX1_24hr_2					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	0E690AFA8C0CF7E06D7264E1FD92A0CB	7CCE30B33117E5EEC396A63D6928E26A	13087969	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_Vehicle_QDX1_24hr_2	SRA: SRS5556608	Biological replicate 2	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	Vehicle_QDX1_24hr	H2030.Vehicle_QDX1_24hr
SAMN13087970	SRR10326436	2019-11-14T16:02:05Z	2019-10-28T12:53:58Z	25734666	7488738234	25711776	290	1917	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032643/SRR10326436.1	SRX7036702	B 1-3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556609	simple	9606	Homo sapiens	H2030_Vehicle_QDX1_24hr_3					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	5EC630992EAAC5453834486A9A8560B5	B26C5B4FB0EE0739572056A647775EA4	13087970	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_Vehicle_QDX1_24hr_3	SRA: SRS5556609	Biological replicate 3	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	Vehicle_QDX1_24hr	H2030.Vehicle_QDX1_24hr
SAMN13087971	SRR10326435	2019-11-14T16:02:05Z	2019-10-28T12:59:01Z	22916876	6645026912	22902414	289	1521	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032643/SRR10326435.1	SRX7036703	B 3-1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556610	simple	9606	Homo sapiens	H2030_Vehicle_QDX7_24hr_1					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	8D3FA13E9064EB80AB455A2A5ED20C8D	946185632FCCDDB35BAADA6F39887315	13087971	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_Vehicle_QDX7_24hr_1	SRA: SRS5556610	Biological replicate 1	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	Vehicle_QDX7_24hr	H2030.Vehicle_QDX7_24hr
SAMN13087972	SRR10326433	2019-11-14T16:02:05Z	2019-10-28T12:45:29Z	18517000	5317869091	18504269	287	1416	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10326433/SRR10326433.1	SRX7036705	B 3-2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556612	simple	9606	Homo sapiens	H2030_Vehicle_QDX7_24hr_2					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	E3713A42C382C41361E5E4945BB97E8B	481132BD1146E7FDA0F8959CA10E910A	13087972	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_Vehicle_QDX7_24hr_2	SRA: SRS5556612	Biological replicate 2	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	Vehicle_QDX7_24hr	H2030.Vehicle_QDX7_24hr
SAMN13087973	SRR10326432	2019-11-14T16:02:05Z	2019-10-28T12:47:46Z	17762423	5156787766	17748256	290	1182	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032643/SRR10326432.1	SRX7036706	B 3-3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556613	simple	9606	Homo sapiens	H2030_Vehicle_QDX7_24hr_3					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	8B27CD5836419437CBD75ECE049BAED3	C7BEF5FA8AED9D2BDD6BD28B07755663	13087973	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_Vehicle_QDX7_24hr_3	SRA: SRS5556613	Biological replicate 3	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	Vehicle_QDX7_24hr	H2030.Vehicle_QDX7_24hr
SAMN13087974	SRR10326431	2019-11-14T16:02:05Z	2019-10-28T12:54:55Z	23641157	6824243624	23624211	288	1843	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10326431/SRR10326431.1	SRX7036707	B 2-1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556614	simple	9606	Homo sapiens	H2030_MRTX849_QDX1_6hr_1					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	6061B4347231220C00E197FC2BC3F1B9	FA8B8B01502F96A5E418C885C22DCB61	13087974	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_MRTX849_QDX1_6hr_1	SRA: SRS5556614	Biological replicate 1	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	MRTX849_QDX1_6hr	H2030.MRTX849_QDX1_6hr
SAMN13087975	SRR10326430	2019-11-14T16:02:05Z	2019-10-28T12:50:41Z	22668483	6576445674	22650495	290	1485	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10326430/SRR10326430.1	SRX7036708	B 2-2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556615	simple	9606	Homo sapiens	H2030_MRTX849_QDX1_6hr_2					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	168066210E7825BF4CB2C15F267BAC18	3B6163BBF9861FD3BD035CFB4269F94C	13087975	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_MRTX849_QDX1_6hr_2	SRA: SRS5556615	Biological replicate 2	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	MRTX849_QDX1_6hr	H2030.MRTX849_QDX1_6hr
SAMN13087976	SRR10326429	2019-11-14T16:02:05Z	2019-10-28T12:45:37Z	20133290	5784938959	20123650	287	1316	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032642/SRR10326429.1	SRX7036709	B 2-3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556616	simple	9606	Homo sapiens	H2030_MRTX849_QDX1_6hr_3					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	D2720281E880A86853D0402D08E784F7	4494AF0C2A4214D0B95C6216A1E96509	13087976	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_MRTX849_QDX1_6hr_3	SRA: SRS5556616	Biological replicate 3	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	MRTX849_QDX1_6hr	H2030.MRTX849_QDX1_6hr
SAMN13087977	SRR10326428	2019-11-14T16:02:05Z	2019-10-28T12:44:09Z	20961682	5962530985	20950059	284	1340	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10326428/SRR10326428.1	SRX7036710	B 2-4	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556617	simple	9606	Homo sapiens	H2030_MRTX849_QDX1_24hr_1					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	8EBADD4712AE0747A7B60B9316F4A49A	99026F33AA5C23062633E873CE965935	13087977	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_MRTX849_QDX1_24hr_1	SRA: SRS5556617	Biological replicate 1	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	MRTX849_QDX1_24hr	H2030.MRTX849_QDX1_24hr
