BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	passage	source_name	tissue origin	treatment
SAMN13615532	SRR10721123	2019-12-20T11:55:33Z	2019-12-17T23:06:06Z	71816290	3590814500	0	50	1253		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10721123/SRR10721123.1	SRX7397778		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845559	simple	9606	Homo sapiens	GSM4222756							no					GEO	SRA1013366		public	DA3AB49250F0D527D2ED55F0DA359DEE	A7B3A75A2608977C3340D3EC151B503F	13615532	Run1_Pano_3	Creighton University	9606	SRS5845559	GSM4222756	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	Panobinostat
SAMN13615533	SRR10721122	2019-12-20T11:55:33Z	2019-12-17T21:42:56Z	68934678	3446733900	0	50	1211		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10721122/SRR10721122.1	SRX7397777		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845555	simple	9606	Homo sapiens	GSM4222755							no					GEO	SRA1013366		public	FA615AD3624C442ADEF862DE0B7E4C96	71BE8BEE142A2182BA729209ABDDBBBD	13615533	Run1_Pano_2	Creighton University	9606	SRS5845555	GSM4222755	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	Panobinostat
SAMN13615534	SRR10721121	2019-12-20T11:55:33Z	2019-12-17T21:47:36Z	68347446	3417372300	0	50	1202		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10721121/SRR10721121.1	SRX7397776		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845554	simple	9606	Homo sapiens	GSM4222754							no					GEO	SRA1013366		public	3D09167F0C04442EADABE877D9901D92	EB0DBCE099547BA66828A4521B1AB6CA	13615534	Run1_Pano_1	Creighton University	9606	SRS5845554	GSM4222754	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	Panobinostat
SAMN13615535	SRR10721120	2019-12-20T11:55:33Z	2019-12-17T22:16:52Z	49532581	2476629050	0	50	864		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10721120/SRR10721120.1	SRX7397775		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845553	simple	9606	Homo sapiens	GSM4222753							no					GEO	SRA1013366		public	3B4DA4F4266ADDAEBC74BB87729B7843	B75E2FCC50B5FEFFD0336AAA9813C8DC	13615535	Run1_FC65_plus_Pano_3	Creighton University	9606	SRS5845553	GSM4222753	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	E64FC65 + Panobinostat
SAMN13615536	SRR10721119	2019-12-20T11:55:33Z	2019-12-17T23:11:30Z	71130372	3556518600	0	50	1242		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10721119/SRR10721119.1	SRX7397774		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845550	simple	9606	Homo sapiens	GSM4222752							no					GEO	SRA1013366		public	E9A240D0D90A5FF0F2A0758AB0754BEF	72A428295F68FA93F9D3A30CD26D7064	13615536	Run1_FC65_plus_Pano_2	Creighton University	9606	SRS5845550	GSM4222752	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	E64FC65 + Panobinostat
SAMN13615537	SRR10721118	2019-12-20T11:55:33Z	2019-12-17T21:46:49Z	76003115	3800155750	0	50	1329		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10721118/SRR10721118.1	SRX7397773		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845552	simple	9606	Homo sapiens	GSM4222751							no					GEO	SRA1013366		public	33080E5614F5A75CE2B56B0FB36D319C	702DDF60B9D0B288FD0803AF499FA610	13615537	Run1_FC65_plus_Pano_1	Creighton University	9606	SRS5845552	GSM4222751	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	E64FC65 + Panobinostat
SAMN13615538	SRR10721117	2019-12-20T11:55:32Z	2019-12-17T22:37:32Z	69611318	3480565900	0	50	1223		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10721117/SRR10721117.1	SRX7397772		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845549	simple	9606	Homo sapiens	GSM4222750							no					GEO	SRA1013366		public	14D9CC65ADD14A639B01116DAA9FDE9A	0545EBD25A205398A012522548F82D18	13615538	Run1_FC65_3	Creighton University	9606	SRS5845549	GSM4222750	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	E64FC65
SAMN13615540	SRR10721116	2019-12-20T11:55:32Z	2019-12-17T22:32:54Z	69179123	3458956150	0	50	1215		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10721116/SRR10721116.1	SRX7397771		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845548	simple	9606	Homo sapiens	GSM4222749							no					GEO	SRA1013366		public	B7F7E7CC0EE32942FA6D8946B11BB8AA	6E15CE2BD57855C00564B946612769A9	13615540	Run1_FC65_2	Creighton University	9606	SRS5845548	GSM4222749	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	E64FC65
SAMN13615542	SRR10721115	2019-12-20T11:55:32Z	2019-12-17T22:39:31Z	75329516	3766475800	0	50	1337		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1072111/SRR10721115.1	SRX7397770		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845547	simple	9606	Homo sapiens	GSM4222748							no					GEO	SRA1013366		public	2B960259D3EF439D2D3C5924A8D982D0	DFE4CA3D0E5032C0971ED6E90497FBFB	13615542	Run1_FC65_1	Creighton University	9606	SRS5845547	GSM4222748	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	E64FC65
SAMN13615543	SRR10721114	2019-12-20T11:55:32Z	2019-12-17T22:57:23Z	71977675	3598883750	0	50	1279		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1072111/SRR10721114.1	SRX7397769		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845551	simple	9606	Homo sapiens	GSM4222747							no					GEO	SRA1013366		public	D07ADC6FD09915C1AF022F1496F88A5D	E378352541E8BEAA760F4A1FDF48DA17	13615543	Run1_DMSO_3	Creighton University	9606	SRS5845551	GSM4222747	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	DMSO
