BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source.x	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source.y	source_name	treatment_time
SAMN14546378	SRR11492535	2020-04-10T03:46:04Z	2020-04-07T18:31:04Z	17498026	1452336158	0	83	535		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/492/SRR11492535.sralite.1	SRX8068458		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP255507	PRJNA623454	3	623454	SRS6437097	simple	9606	Homo sapiens	GSM4456020							no					GEO	SRA1063266		public	45B77789DBB1147CFFB0AB71157443EB	3DE69A0048E95848B1AC942A056EAAD0	14546378	Gem-resistant MIA PaCa2_control_6h_Rep2	School of Pharmacy, UCL	9606	SRS6437097	GSM4456020	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	Untreated/control_6 h
SAMN14546379	SRR11492534	2020-04-10T03:46:04Z	2020-04-07T17:26:49Z	11709131	971857873	0	83	357		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/492/SRR11492534.sralite.1	SRX8068457		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP255507	PRJNA623454	3	623454	SRS6437096	simple	9606	Homo sapiens	GSM4456019							no					GEO	SRA1063266		public	2E1A69A71C3C792048DBCAA265974053	23032BA547E128D9C285848DE0D47F77	14546379	Gem-resistant MIA PaCa2_control_6h_Rep1	School of Pharmacy, UCL	9606	SRS6437096	GSM4456019	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	Untreated/control_6 h
SAMN14546380	SRR11492551	2020-04-10T03:46:05Z	2020-04-07T17:09:29Z	19366232	1607397256	0	83	590		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/492/SRR11492551.sralite.1	SRX8068474		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP255507	PRJNA623454	3	623454	SRS6437113	simple	9606	Homo sapiens	GSM4456036							no					GEO	SRA1063266		public	4741400F52A262B474821666B816875F	03902C804E433818CCE71480760B472B	14546380	MIA PaCa2 cell line_control_24h_Rep3	School of Pharmacy, UCL	9606	SRS6437113	GSM4456036	MIA PaCa2	pancreas ductal adenocarcinoma cell line	ATCC cell line	pancreatic cancer	Untreated/control_24 h
SAMN14546381	SRR11492547	2020-04-10T03:46:04Z	2020-04-07T17:36:47Z	20371114	1690802462	0	83	623		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/492/SRR11492547.sralite.1	SRX8068470		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP255507	PRJNA623454	3	623454	SRS6437109	simple	9606	Homo sapiens	GSM4456032							no					GEO	SRA1063266		public	C89026D8E32CF503A7936D9013742A25	8379FAD3CB7311F9157B06F7B4FF5802	14546381	Gem-resistant MIA PaCa2_CM03_24h_Rep2	School of Pharmacy, UCL	9606	SRS6437109	GSM4456032	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	400nM CM03_24 h
SAMN14546382	SRR11492546	2020-04-10T03:46:04Z	2020-04-07T16:46:58Z	21340663	1771275029	0	83	650		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/492/SRR11492546.sralite.1	SRX8068469		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP255507	PRJNA623454	3	623454	SRS6437108	simple	9606	Homo sapiens	GSM4456031							no					GEO	SRA1063266		public	E010ADCA69938C47B465B535FF64692E	12643C3271853F670845DC88315613E4	14546382	Gem-resistant MIA PaCa2_CM03_24h_Rep1	School of Pharmacy, UCL	9606	SRS6437108	GSM4456031	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	400nM CM03_24 h
SAMN14546383	SRR11492545	2020-04-10T03:46:04Z	2020-04-07T18:14:35Z	23694932	1966679356	0	83	718		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/492/SRR11492545.sralite.1	SRX8068468		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP255507	PRJNA623454	3	623454	SRS6437107	simple	9606	Homo sapiens	GSM4456030							no					GEO	SRA1063266		public	BC620D86B50C91D799D53D1F6250BA98	EF8E67A10B7E160B1B0F606F0E9331CB	14546383	Gem-resistant MIA PaCa2_control_24h_Rep3	School of Pharmacy, UCL	9606	SRS6437107	GSM4456030	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	Untreated/control_24 h
SAMN14546384	SRR11492544	2020-04-10T03:46:04Z	2020-04-07T17:45:50Z	20377557	1691337231	0	83	620		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/492/SRR11492544.sralite.1	SRX8068467		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP255507	PRJNA623454	3	623454	SRS6437106	simple	9606	Homo sapiens	GSM4456029							no					GEO	SRA1063266		public	A79F06418B5817455ADF85E8D8084A39	DCC097B725CC630D1C06CB8F31FA639A	14546384	Gem-resistant MIA PaCa2_control_24h_Rep2	School of Pharmacy, UCL	9606	SRS6437106	GSM4456029	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	Untreated/control_24 h
SAMN14546385	SRR11492543	2020-04-10T03:46:04Z	2020-04-07T17:30:05Z	17491540	1451797820	0	83	533		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/492/SRR11492543.sralite.1	SRX8068466		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP255507	PRJNA623454	3	623454	SRS6437105	simple	9606	Homo sapiens	GSM4456028							no					GEO	SRA1063266		public	628E9509483E429CFDBED6353A976A9E	4B325CEF70F22432E604DD7D1F161609	14546385	Gem-resistant MIA PaCa2_control_24h_Rep1	School of Pharmacy, UCL	9606	SRS6437105	GSM4456028	Gem-resistant MIA PaCa2	pancreas ductal adenocarcinoma cell line	derived from ATCC cell line	pancreatic cancer	Untreated/control_24 h
SAMN14546386	SRR11492550	2020-04-10T03:46:04Z	2020-04-07T17:48:35Z	19572935	1624553605	0	83	597		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/492/SRR11492550.sralite.1	SRX8068473		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP255507	PRJNA623454	3	623454	SRS6437112	simple	9606	Homo sapiens	GSM4456035							no					GEO	SRA1063266		public	195D300284CDAB78F9C928E6CEA67EC3	4AA411773779538B3E5A400405D832A2	14546386	MIA PaCa2 cell line_control_24h_Rep2	School of Pharmacy, UCL	9606	SRS6437112	GSM4456035	MIA PaCa2	pancreas ductal adenocarcinoma cell line	ATCC cell line	pancreatic cancer	Untreated/control_24 h
SAMN14546387	SRR11492549	2020-04-10T03:46:04Z	2020-04-07T16:55:10Z	17760793	1474145819	0	83	542		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/492/SRR11492549.sralite.1	SRX8068472		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP255507	PRJNA623454	3	623454	SRS6437111	simple	9606	Homo sapiens	GSM4456034							no					GEO	SRA1063266		public	3F1105740B1E2F627F902A3C694B4934	10F77DBB0056A28EECA2DF1AED3D421B	14546387	MIA PaCa2 cell line_control_24h_Rep1	School of Pharmacy, UCL	9606	SRS6437111	GSM4456034	MIA PaCa2	pancreas ductal adenocarcinoma cell line	ATCC cell line	pancreatic cancer	Untreated/control_24 h
