BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cancer type	cell type	source_name	treatment	group
SAMN15340181	SRR12066934	2021-05-13T00:11:39Z	2020-06-22T11:06:00Z	17023653	5141143206	17023653	302	1777		https://sra-download.ncbi.nlm.nih.gov/traces/sra69/SRR/011784/SRR12066934	SRX8594747		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885348	simple	9606	Homo sapiens	GSM4630503							no					GEO	SRA1089610		public	BC5A14009A5568DD3F328D1CE64494B0	3C23A102B9B4D19334A631B31EEB5477	15340181	HCT116_siNeg_1 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885348	GSM4630503	colorectal cancer	HCT116	HCT116 cells	siNeg	siNeg
SAMN15340181	SRR12066935	2021-05-13T00:11:39Z	2020-06-22T11:07:43Z	17000335	5134101170	17000335	302	1790		https://sra-download.ncbi.nlm.nih.gov/traces/sra25/SRR/011784/SRR12066935	SRX8594747		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885348	simple	9606	Homo sapiens	GSM4630503							no					GEO	SRA1089610		public	F2213AA06CC3E2499401C6BF63BBE4FA	5B7E3A235C3FEDB5800EC2A22796F093	15340181	HCT116_siNeg_1 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885348	GSM4630503	colorectal cancer	HCT116	HCT116 cells	siNeg	siNeg
SAMN15340180	SRR12066936	2021-05-13T00:11:39Z	2020-06-22T11:13:29Z	20973229	6333915158	20973229	302	2148		https://sra-download.ncbi.nlm.nih.gov/traces/sra71/SRR/011784/SRR12066936	SRX8594748		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885347	simple	9606	Homo sapiens	GSM4630504							no					GEO	SRA1089610		public	90F1D9248F4A104ECFE2D55294F0C1F1	37C57CBCA7B13D09851F184BCD314C26	15340180	HCT116_siCTNNB1_1 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885347	GSM4630504	colorectal cancer	HCT116	HCT116 cells	siCTNNB1	siCTNNB1
SAMN15340180	SRR12066937	2021-05-13T00:11:39Z	2020-06-22T11:10:06Z	20780764	6275790728	20780764	302	2152		https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/011784/SRR12066937	SRX8594748		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885347	simple	9606	Homo sapiens	GSM4630504							no					GEO	SRA1089610		public	F0C198DAEA9639856EB0598D57662606	514B3A268F586ED7F73473F6FC4EE377	15340180	HCT116_siCTNNB1_1 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885347	GSM4630504	colorectal cancer	HCT116	HCT116 cells	siCTNNB1	siCTNNB1
SAMN15340179	SRR12066938	2021-05-13T00:11:39Z	2020-06-22T11:08:41Z	18016849	5441088398	18016849	302	1862		https://sra-download.ncbi.nlm.nih.gov/traces/sra48/SRR/011784/SRR12066938	SRX8594749		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885349	simple	9606	Homo sapiens	GSM4630505							no					GEO	SRA1089610		public	58992B70937D2E461446DEA7B5D41CD5	88E6C044AC1C8AC460BA7B3360F95DD4	15340179	HCT116_DMSO_1 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885349	GSM4630505	colorectal cancer	HCT116	HCT116 cells	DMSO	DMSO
SAMN15340179	SRR12066939	2021-05-13T00:11:39Z	2020-06-22T11:11:02Z	17910473	5408962846	17910473	302	1871		https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/011784/SRR12066939	SRX8594749		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885349	simple	9606	Homo sapiens	GSM4630505							no					GEO	SRA1089610		public	8108115CFF7F97D90E788E8347623D81	984254815B5EA798497110A644633E34	15340179	HCT116_DMSO_1 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885349	GSM4630505	colorectal cancer	HCT116	HCT116 cells	DMSO	DMSO
SAMN15340178	SRR12066940	2021-05-13T00:11:39Z	2020-06-22T11:15:04Z	20686559	6247340818	20686559	302	2100		https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/011784/SRR12066940	SRX8594750		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885350	simple	9606	Homo sapiens	GSM4630506							no					GEO	SRA1089610		public	BD3CD840D4553B2302EFEC0161AA6325	C6057F480C4A3E7EB8EDE3FEE9D980BB	15340178	HCT116_iCRT3_1 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885350	GSM4630506	colorectal cancer	HCT116	HCT116 cells	iCRT3	iCRT3
SAMN15340178	SRR12066941	2021-05-13T00:11:39Z	2020-06-22T11:08:30Z	20503321	6192002942	20503321	302	2103		https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/011784/SRR12066941	SRX8594750		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885350	simple	9606	Homo sapiens	GSM4630506							no					GEO	SRA1089610		public	1534686387BBCFE86DC8A30DF86C9700	108036D1177AC8522A70D9D301D26FD7	15340178	HCT116_iCRT3_1 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885350	GSM4630506	colorectal cancer	HCT116	HCT116 cells	iCRT3	iCRT3
SAMN15340177	SRR12066942	2021-05-13T00:11:39Z	2020-06-22T11:07:11Z	17986703	5431984306	17986703	302	1825		https://sra-download.ncbi.nlm.nih.gov/traces/sra78/SRR/011784/SRR12066942	SRX8594751		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885351	simple	9606	Homo sapiens	GSM4630507							no					GEO	SRA1089610		public	89455E008B0BE983EA48F1FC93A33668	752476A08D6A35B33D3DE35FEAFFC559	15340177	HCT116_1874_1 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885351	GSM4630507	colorectal cancer	HCT116	HCT116 cells	1874	x1874
SAMN15340177	SRR12066943	2021-05-13T00:11:39Z	2020-06-22T11:13:29Z	17841612	5388166824	17841612	302	1831		https://sra-download.ncbi.nlm.nih.gov/traces/sra63/SRR/011784/SRR12066943	SRX8594751		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885351	simple	9606	Homo sapiens	GSM4630507							no					GEO	SRA1089610		public	71FCDE5609A752DA2343D1760D8E2009	7A4B8709C0CEA1964B2D8A3BCDF807B1	15340177	HCT116_1874_1 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885351	GSM4630507	colorectal cancer	HCT116	HCT116 cells	1874	x1874
