BioSample,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex.x,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,uid,title,organization,taxonomy,sra,geo,Sex.y,age,cell line,genotype,source_name,tissue,tumor,treatment,group
SAMN16510672,SRR12868795,2021-10-20T11:53:11Z,2020-10-21T18:21:54Z,19755963,3002906376,19755963,152,1134,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/012567/SRR12868795,SRX9334910,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP288220,PRJNA670565,,670565,SRS7559937,simple,9606,Homo sapiens,GSM4847392,,,,,,,no,,,,,GEO,SRA1146105,,public,F653F5200ADF078727B59D07FA11128F,F6F61038B7CD171136002BD467D94BE5,16510672,C3: MCF7_shHSF1_HS_1h/2h_rec,Genomics Core Facility, Department of Clinical Science, University of Bergen,9606,SRS7559937,GSM4847392,female,69 years,MCF7,shHSF1,MCF7 cells,HS.2hr,MCF7.shHSF1.HS.2hr
SAMN16510673,SRR12868794,2021-10-20T11:53:11Z,2020-10-21T18:21:55Z,22369182,3400115664,22369182,152,1284,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/012567/SRR12868794,SRX9334909,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP288220,PRJNA670565,,670565,SRS7559938,simple,9606,Homo sapiens,GSM4847390,,,,,,,no,,,,,GEO,SRA1146105,,public,5E3619AD64D640DD946B58AD95534E8A,F50CF661ABB2EC3520913D55C2E85F9A,16510673,C2: MCF7_shHSF1_estrogen_4h,Genomics Core Facility, Department of Clinical Science, University of Bergen,9606,SRS7559938,GSM4847390,female,69 years,MCF7,shHSF1,MCF7 cells,Estrogen.4hr,MCF7.shHSF1.Estrogen.4hr
SAMN16510674,SRR12868793,2021-10-20T11:53:11Z,2020-10-21T18:21:33Z,17001247,2584189544,17001247,152,988,,https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/012567/SRR12868793,SRX9334908,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP288220,PRJNA670565,,670565,SRS7559936,simple,9606,Homo sapiens,GSM4847389,,,,,,,no,,,,,GEO,SRA1146105,,public,268D2CCDAD3AB402824A2F4686BBB58D,F3FA76513D71ED3AAE2D2E8C77481788,16510674,C1: MCF7_shHSF1_control,Genomics Core Facility, Department of Clinical Science, University of Bergen,9606,SRS7559936,GSM4847389,female,69 years,MCF7,shHSF1,MCF7 cells,Control,MCF7.shHSF1.Control
SAMN16510675,SRR12868792,2021-10-20T11:53:11Z,2020-10-21T18:22:15Z,20990873,3190612696,20990873,152,1205,,https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/012567/SRR12868792,SRX9334907,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP288220,PRJNA670565,,670565,SRS7559935,simple,9606,Homo sapiens,GSM4847388,,,,,,,no,,,,,GEO,SRA1146105,,public,1A736DD319F6ADC76B5BB6297BB51413,F01E9A3F269DF949AB5E4559BCDAB80B,16510675,B3: MCF7_SCR_HS_1h/2h_rec,Genomics Core Facility, Department of Clinical Science, University of Bergen,9606,SRS7559935,GSM4847388,female,69 years,MCF7,shRNA_control,MCF7 cells,HS.2hr,MCF7.shRNA_control.HS.2hr
SAMN16510676,SRR12868791,2021-10-20T11:53:11Z,2020-10-21T18:27:08Z,17348880,2637029760,17348880,152,999,,https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRR/012567/SRR12868791,SRX9334906,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP288220,PRJNA670565,,670565,SRS7559934,simple,9606,Homo sapiens,GSM4847387,,,,,,,no,,,,,GEO,SRA1146105,,public,E7E2AA162264B3E5A63B07404C0E1AB1,84583C14B0348CB3AC1B7E4D4019F4B9,16510676,B2: MCF7_SCR_estrogen_4h,Genomics Core Facility, Department of Clinical Science, University of Bergen,9606,SRS7559934,GSM4847387,female,69 years,MCF7,shRNA_control,MCF7 cells,Estrogen.4hr,MCF7.shRNA_control.Estrogen.4hr
SAMN16510677,SRR12868790,2021-10-20T11:53:11Z,2020-10-21T18:20:01Z,18786630,2855567760,18786630,152,1079,,https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRR/012567/SRR12868790,SRX9334905,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP288220,PRJNA670565,,670565,SRS7559933,simple,9606,Homo sapiens,GSM4847385,,,,,,,no,,,,,GEO,SRA1146105,,public,FBF0EF0B840DF3D21612D882CB306D65,007D00A653D1CEA5831D570F6BDFCECB,16510677,B1: MCF7_SCR_control,Genomics Core Facility, Department of Clinical Science, University of Bergen,9606,SRS7559933,GSM4847385,female,69 years,MCF7,shRNA_control,MCF7 cells,Control,MCF7.shRNA_control.Control
SAMN16510678,SRR12868789,2021-10-20T11:53:11Z,2020-10-21T18:19:12Z,21566369,3278088088,21566369,152,1238,,https://sra-download.ncbi.nlm.nih.gov/traces/sra67/SRR/012567/SRR12868789,SRX9334904,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP288220,PRJNA670565,,670565,SRS7559932,simple,9606,Homo sapiens,GSM4847384,,,,,,,no,,,,,GEO,SRA1146105,,public,1F16A7B30974B4138D131F976FB2185B,83D9E577E7F31D448AE8B4CCA36C1D4F,16510678,A3: MCF7_WT_HS_1h/2h_rec,Genomics Core Facility, Department of Clinical Science, University of Bergen,9606,SRS7559932,GSM4847384,female,69 years,MCF7,wild_type,MCF7 cells,HS.2hr,MCF7.wild_type.HS.2hr
SAMN16510679,SRR12868788,2021-10-20T11:53:11Z,2020-10-21T18:20:09Z,19787424,3007688448,19787424,152,1145,,https://sra-download.ncbi.nlm.nih.gov/traces/sra60/SRR/012567/SRR12868788,SRX9334903,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP288220,PRJNA670565,,670565,SRS7559930,simple,9606,Homo sapiens,GSM4847383,,,,,,,no,,,,,GEO,SRA1146105,,public,90BAECC161C69DB3BEC83C11C16852E3,CA1FE2B9FC92B3A3BB8115CC2FD2743B,16510679,A2: MCF7_WT_estrogen_4h,Genomics Core Facility, Department of Clinical Science, University of Bergen,9606,SRS7559930,GSM4847383,female,69 years,MCF7,wild_type,MCF7 cells,Estrogen.4hr,MCF7.wild_type.Estrogen.4hr
SAMN16510680,SRR12868787,2021-10-20T11:53:11Z,2020-10-21T18:20:12Z,20231317,3075160184,20231317,152,1169,,https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRR/012567/SRR12868787,SRX9334902,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP288220,PRJNA670565,,670565,SRS7559931,simple,9606,Homo sapiens,GSM4847382,,,,,,,no,,,,,GEO,SRA1146105,,public,22E3825531E98C782561A15F618DFE4A,C1A70AADD9BE40CDE41CD1F809EE71A8,16510680,A1: MCF7_WT_control,Genomics Core Facility, Department of Clinical Science, University of Bergen,9606,SRS7559931,GSM4847382,female,69 years,MCF7,wild_type,MCF7 cells,Control,MCF7.wild_type.Control
SAMN16510701,SRR12868804,2021-10-20T11:53:11Z,2020-10-21T18:22:01Z,21757784,3307183168,21757784,152,1269,,https://sra-download.ncbi.nlm.nih.gov/traces/sra47/SRR/012567/SRR12868804,SRX9334919,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP288220,PRJNA670565,,670565,SRS7559947,simple,9606,Homo sapiens,GSM4847403,,,,,,,no,,,,,GEO,SRA1146105,,public,FD5EE920171FFA77E80EF048EEBD238E,3567672C2B857761EA659D3919E2D65E,16510701,F3: MCF7_KO#2_HS_1h/2h_rec,Genomics Core Facility, Department of Clinical Science, University of Bergen,9606,SRS7559947,GSM4847403,female,69 years,MCF7,CRISPRCas9_HSF1_knockout2,MCF7 cells,HS.2hr,MCF7.CRISPRCas9_HSF1_knockout2.HS.2hr
