BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	doxycycline	source_name	treatment	group
SAMN18318828	SRR13976859	2022-04-06T10:56:08Z	2021-03-16T13:47:27Z	20622676	1555894904	0	75	580		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13976/SRR13976859/SRR13976859.lite.1	SRX10354481		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP310852	PRJNA714867	3	714867	SRS8472767	simple	9606	Homo sapiens	GSM5173489							no					GEO	SRA1206897		public	B72827A0BAAF4E2E90DB202900AA78F0	7A2B5AB98FFC4EEF931D85D10664E36D	18318828	UMUC3Drg1	Molecular Health Sciences, Utrecht University	9606	SRS8472767	GSM5173489		UM-UC-3 cell line	Drg	UM_UC_3.NA.Prexasertib.10nM.Gemcitabine.4uM.16hr
SAMN18318829	SRR13976858	2022-04-06T10:56:08Z	2021-03-16T13:49:02Z	21248020	1603112137	0	75	599		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13976/SRR13976858/SRR13976858.lite.1	SRX10354480		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP310852	PRJNA714867	3	714867	SRS8472766	simple	9606	Homo sapiens	GSM5173488							no					GEO	SRA1206897		public	EE879E7FC82BB35610921B8297D2390D	91649F6667FCB3EDFCCBE530706CABBC	18318829	UMUC3Ctr3	Molecular Health Sciences, Utrecht University	9606	SRS8472766	GSM5173488		UM-UC-3 cell line	Ctr	UM_UC_3.NA.Ctr
SAMN18318830	SRR13976857	2022-04-06T10:56:08Z	2021-03-16T13:57:49Z	19703134	1486661019	0	75	554		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13976/SRR13976857/SRR13976857.lite.1	SRX10354479		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP310852	PRJNA714867	3	714867	SRS8472765	simple	9606	Homo sapiens	GSM5173487							no					GEO	SRA1206897		public	2B2645D043C7E7F114E8291D657E88C3	4D99CD0BC2F9E58CBCBECBB098DCCC7E	18318830	UMUC3Ctr2	Molecular Health Sciences, Utrecht University	9606	SRS8472765	GSM5173487		UM-UC-3 cell line	Ctr	UM_UC_3.NA.Ctr
SAMN18318831	SRR13976856	2022-04-06T10:56:08Z	2021-03-16T13:21:48Z	22365284	1686934363	0	75	630		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13976/SRR13976856/SRR13976856.lite.1	SRX10354478		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP310852	PRJNA714867	3	714867	SRS8472764	simple	9606	Homo sapiens	GSM5173486							no					GEO	SRA1206897		public	FCC16870D1327D0E8CCA8D2B035CC604	B756558A887229EE7773DB71C70F95F5	18318831	UMUC3Ctr1	Molecular Health Sciences, Utrecht University	9606	SRS8472764	GSM5173486		UM-UC-3 cell line	Ctr	UM_UC_3.NA.Ctr
SAMN18318832	SRR13976873	2022-04-06T10:56:08Z	2021-03-16T14:07:52Z	23102524	1741878526	0	75	650		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13976/SRR13976873/SRR13976873.lite.1	SRX10354477		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP310852	PRJNA714867	3	714867	SRS8472763	simple	9606	Homo sapiens	GSM5173485							no					GEO	SRA1206897		public	A9C1CDB588148901D1B19F5590C55886	74F6C143EAF3FBEB1A14A4016C0F637B	18318832	F432HrasVehCtr1	Molecular Health Sciences, Utrecht University	9606	SRS8472763	GSM5173485	Veh	RPE1-hTERT cell line	Ctr	RPE1.hTERT.Veh.Ctr
SAMN18318833	SRR13976872	2022-04-06T10:56:08Z	2021-03-16T14:27:03Z	25244615	1903992452	0	75	705		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13976/SRR13976872/SRR13976872.lite.1	SRX10354476		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP310852	PRJNA714867	3	714867	SRS8472762	simple	9606	Homo sapiens	GSM5173484							no					GEO	SRA1206897		public	8D532C0189629DD02491C3B4B0024AA8	04DC846B3A35DFD5EB36C7A9EA8E36DF	18318833	F432HrasVehDrg1	Molecular Health Sciences, Utrecht University	9606	SRS8472762	GSM5173484	Veh	RPE1-hTERT cell line	Drg	RPE1.hTERT.Veh.Prexasertib.10nM.Gemcitabine.4uM.16hr
SAMN18318834	SRR13976871	2022-04-06T10:56:08Z	2021-03-16T13:23:30Z	25010171	1883968596	0	75	701		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13976/SRR13976871/SRR13976871.lite.1	SRX10354475		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP310852	PRJNA714867	3	714867	SRS8472761	simple	9606	Homo sapiens	GSM5173483							no					GEO	SRA1206897		public	6208896E5532FE9C12782D88664B04A6	910A00933D245B7758C5759A9D2E1E7F	18318834	F432HrasDoxDrg1	Molecular Health Sciences, Utrecht University	9606	SRS8472761	GSM5173483	Dox	RPE1-hTERT cell line	Drg	RPE1.hTERT.Dox.Prexasertib.10nM.Gemcitabine.4uM.16hr
SAMN18318835	SRR13976870	2022-04-06T10:56:08Z	2021-03-16T14:15:36Z	22102538	1665298844	0	75	621		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13976/SRR13976870/SRR13976870.lite.1	SRX10354474		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP310852	PRJNA714867	3	714867	SRS8472760	simple	9606	Homo sapiens	GSM5173482							no					GEO	SRA1206897		public	EE98F40D050CB35438BB71205B319BEC	2DF44D9075E48F8993BC65BD27F62D8E	18318835	F432HrasDoxCtr1	Molecular Health Sciences, Utrecht University	9606	SRS8472760	GSM5173482	Dox	RPE1-hTERT cell line	Ctr	RPE1.hTERT.Dox.Ctr
SAMN18318836	SRR13976869	2022-04-06T10:56:08Z	2021-03-16T14:16:15Z	24894975	1878072561	0	75	695		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13976/SRR13976869/SRR13976869.lite.1	SRX10354473		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP310852	PRJNA714867	3	714867	SRS8472759	simple	9606	Homo sapiens	GSM5173481							no					GEO	SRA1206897		public	EB7CB8D0249B6FAC6F02D46044F4AC14	785480A96E0E4BB8F17D6D7D050D95CC	18318836	F411HrasVehDrg2	Molecular Health Sciences, Utrecht University	9606	SRS8472759	GSM5173481	Veh	RPE1-hTERT cell line	Drg	RPE1.hTERT.Veh.Prexasertib.10nM.Gemcitabine.4uM.16hr
SAMN18318837	SRR13976868	2022-04-06T10:56:08Z	2021-03-16T13:58:26Z	22566372	1702632870	0	75	629		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13976/SRR13976868/SRR13976868.lite.1	SRX10354472		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP310852	PRJNA714867	3	714867	SRS8472758	simple	9606	Homo sapiens	GSM5173480							no					GEO	SRA1206897		public	625EAA03AE74488A60480E99EA515C88	BC4C5E4E6EC282F1F5A54114CCCB054D	18318837	F411HrasVehDrg1	Molecular Health Sciences, Utrecht University	9606	SRS8472758	GSM5173480	Veh	RPE1-hTERT cell line	Drg	RPE1.hTERT.Veh.Prexasertib.10nM.Gemcitabine.4uM.16hr
