BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	disease	source_name	tissue	treatment
SAMN19108138	SRR14496736	2022-03-11T06:10:37Z	2021-05-13T11:08:01Z	21999797	6275545451	21999797	285	2456		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496736/SRR14496736.lite.1	SRX10844084		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928044	simple	9606	Homo sapiens	GSM5289931							no					GEO	SRA1230919		public	F027709E6E9C491572AFC9E9E4F9E6C0	3F9227CD9F5560BBCCC6C89CC844F62F	19108138	Colorectal Cancer Cells - HT29_NIVO_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928044	GSM5289931	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 24h
SAMN19108139	SRR14496735	2022-03-11T06:10:37Z	2021-05-13T11:18:47Z	23823092	6585319744	23823092	276	2590		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14496/SRR14496735/SRR14496735.lite.1	SRX10844083		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928043	simple	9606	Homo sapiens	GSM5289930							no					GEO	SRA1230919		public	B5A19B862818D06C330A425B85D915DB	58AB6241FD2B11D6BCEE6FE5DBF6ECDC	19108139	Colorectal Cancer Cells - HT29_ctr_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928043	GSM5289930	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108140	SRR14496734	2022-03-11T06:10:37Z	2021-05-13T11:03:09Z	21380574	6206587723	21380574	290	2428		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496734/SRR14496734.lite.1	SRX10844082		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928042	simple	9606	Homo sapiens	GSM5289929							no					GEO	SRA1230919		public	9D4F753C21C82C1174D548B05D6D2466	9F7E1CCF03FB2DD8C77C309F70D8CE6E	19108140	Colorectal Cancer Cells - HT29_ctr_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928042	GSM5289929	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108141	SRR14496733	2022-03-11T06:10:37Z	2021-05-13T11:12:17Z	19213057	5447388763	19213057	283	2159		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496733/SRR14496733.lite.1	SRX10844081		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928041	simple	9606	Homo sapiens	GSM5289928							no					GEO	SRA1230919		public	93842E46ADB3730F69FC3EB2EC05A691	5DF749C534AF2E2FF0D023F5C8133107	19108141	Colorectal Cancer Cells - HT29_NIVO+sPDL1_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928041	GSM5289928	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-2 for 6h
SAMN19108142	SRR14496732	2022-03-11T06:10:37Z	2021-05-13T11:24:16Z	21939928	6322131159	21939928	288	2470		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14496/SRR14496732/SRR14496732.lite.1	SRX10844080		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928040	simple	9606	Homo sapiens	GSM5289927							no					GEO	SRA1230919		public	5FBF7AE14260BC43D30480494903E93B	6EB93FE783DCDEF51670970D9232BB3B	19108142	Colorectal Cancer Cells - HT29_NIVO+sPDL1_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928040	GSM5289927	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-1 for 6h
SAMN19108143	SRR14496731	2022-03-11T06:10:37Z	2021-05-13T11:58:03Z	23919665	6589744679	23919665	275	2612		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14496/SRR14496731/SRR14496731.lite.1	SRX10844079		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928039	simple	9606	Homo sapiens	GSM5289926							no					GEO	SRA1230919		public	DD6896C093C7F7409532ACFCFDE06476	D024B7D9DA1993C5F77A675B8F316F5F	19108143	Colorectal Cancer Cells - HT29_sPDL1_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928039	GSM5289926	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 6h
SAMN19108144	SRR14496730	2022-03-11T06:10:37Z	2021-05-13T12:15:39Z	24956108	7111489469	24956108	284	2843		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14496/SRR14496730/SRR14496730.lite.1	SRX10844078		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928038	simple	9606	Homo sapiens	GSM5289925							no					GEO	SRA1230919		public	FFC6F9D1CE7179D78626285512D4F3F0	751C964402492E2E84457A7A80CAF81F	19108144	Colorectal Cancer Cells - HT29_sPDL1_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928038	GSM5289925	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 6h
SAMN19108145	SRR14496729	2022-03-11T06:10:37Z	2021-05-13T10:57:24Z	21189997	5917668194	21189997	279	2336		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496729/SRR14496729.lite.1	SRX10844077		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928037	simple	9606	Homo sapiens	GSM5289924							no					GEO	SRA1230919		public	54F84C61E0506B4BC1C180B6293C91D3	354275609EA877E3273B89B8C68CDEC9	19108145	Colorectal Cancer Cells - HT29_NIVO_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928037	GSM5289924	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 6h
SAMN19108146	SRR14496728	2022-03-11T06:10:37Z	2021-05-13T17:48:19Z	32185357	9173666717	32185357	285	3711		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496728/SRR14496728.lite.1	SRX10844076		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928036	simple	9606	Homo sapiens	GSM5289923							no					GEO	SRA1230919		public	C44DB68548E5889C240617227B22FFA5	4EBBB990F29400E1565B42F89CF5B15C	19108146	Colorectal Cancer Cells - HT29_NIVO_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928036	GSM5289923	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 6h
SAMN19108147	SRR14496727	2022-03-11T06:10:37Z	2021-05-13T11:16:09Z	23051573	6393501410	23051573	277	2569		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14496/SRR14496727/SRR14496727.lite.1	SRX10844075		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928035	simple	9606	Homo sapiens	GSM5289922							no					GEO	SRA1230919		public	20026A3A969ADEF8856EBCCBFD5FA9A2	0782C818B1ECAF1837EFCA1EC3DA12CC	19108147	Colorectal Cancer Cells - HT29_ctr_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928035	GSM5289922	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108148	SRR14496726	2022-03-11T06:10:37Z	2021-05-13T17:44:31Z	34158150	9729340324	34158150	284	3964		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496726/SRR14496726.lite.1	SRX10844074		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928034	simple	9606	Homo sapiens	GSM5289921							no					GEO	SRA1230919		public	9BF9CC6D3715403BEC3BB8F0353F5BAA	DADF3B2B391245F903D8A0B63BE234C8	19108148	Colorectal Cancer Cells - HT29_ctr_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928034	GSM5289921	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108149	SRR14496754	2022-03-11T06:10:38Z	2021-05-13T17:55:51Z	31886049	9249774314	31886049	290	3860		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496754/SRR14496754.lite.1	SRX10844102		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928062	simple	9606	Homo sapiens	GSM5289949							no					GEO	SRA1230919		public	B13A61DA2906AAFFA4838B5D1F51739E	F0AEA9B93E7FCEDB21517C8415C89080	19108149	Colorectal Cancer Cells - HCT116_sPDL1_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928062	GSM5289949	Colorectal carcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 24h
SAMN19108150	SRR14496753	2022-03-11T06:10:38Z	2021-05-13T12:04:17Z	25606949	7446679445	25606949	290	3105		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR014/14496/SRR14496753/SRR14496753.lite.1	SRX10844101		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928061	simple	9606	Homo sapiens	GSM5289948							no					GEO	SRA1230919		public	1E0C8A21C301F41A6B147F59695B3A26	1E50CAE58D8767A6A5673327166395C5	19108150	Colorectal Cancer Cells - HCT116_NIVO_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928061	GSM5289948	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 24h
SAMN19108151	SRR14496752	2022-03-11T06:10:38Z	2021-05-13T12:15:58Z	25897816	7508161627	25897816	289	3112		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496752/SRR14496752.lite.1	SRX10844100		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928060	simple	9606	Homo sapiens	GSM5289947							no					GEO	SRA1230919		public	84309CE1764ABF54C30A115F86A8E686	B10F8A6870FEB5E49D2B42A7BE3E4126	19108151	Colorectal Cancer Cells - HCT116_NIVO_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928060	GSM5289947	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 24h
