BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment
SAMN19727931	SRR14827322	2021-06-18T17:32:19Z	2021-06-16T13:00:48Z	37863943	3256299098	0	86	1103		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14827/SRR14827322/SRR14827322.lite.1	SRX11156916		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP324243	PRJNA738364	3	738364	SRS9218418	simple	9606	Homo sapiens	GSM5387169							no					GEO	SRA1245600		public	FA0F9A9FC064C061586EA6613DAA5742	4333BE2C154D2E2CDF5D9B88C837D06D	19727931	melphalan_rep2	Department of Clinical and Molecular Medicine, NTNU	9606	SRS9218418	GSM5387169	INA-6	human multiple myeloma	INA-6 (human multiple myeloma cell line)	treated with 10 μM melphalan for 6 hours
SAMN19727932	SRR14827321	2021-06-18T17:32:19Z	2021-06-16T12:57:11Z	35978608	3094160288	0	86	1045		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14827/SRR14827321/SRR14827321.lite.1	SRX11156915		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP324243	PRJNA738364	3	738364	SRS9218417	simple	9606	Homo sapiens	GSM5387168							no					GEO	SRA1245600		public	3E6334C3AFE7CC3BDFF90B133B0ACBDE	DEBF07CE137F62F0FE0606EB287686BA	19727932	melphalan_rep1	Department of Clinical and Molecular Medicine, NTNU	9606	SRS9218417	GSM5387168	INA-6	human multiple myeloma	INA-6 (human multiple myeloma cell line)	treated with 10 μM melphalan for 6 hours
SAMN19727933	SRR14827320	2021-06-18T17:32:19Z	2021-06-16T12:55:47Z	33828774	2909274564	0	86	989		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14827/SRR14827320/SRR14827320.lite.1	SRX11156914		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP324243	PRJNA738364	3	738364	SRS9218416	simple	9606	Homo sapiens	GSM5387167							no					GEO	SRA1245600		public	D3AA5FDA409A2DADD5E761237A0776EC	770427C3C9A06B3300E05FD709523D89	19727933	negative_control_rep3	Department of Clinical and Molecular Medicine, NTNU	9606	SRS9218416	GSM5387167	INA-6	human multiple myeloma	INA-6 (human multiple myeloma cell line)	untreated
SAMN19727934	SRR14827319	2021-06-18T17:32:19Z	2021-06-16T12:53:33Z	33343960	2867580560	0	86	967		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14827/SRR14827319/SRR14827319.lite.1	SRX11156913		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP324243	PRJNA738364	3	738364	SRS9218415	simple	9606	Homo sapiens	GSM5387166							no					GEO	SRA1245600		public	3E005CD0FD89637145A31240D3BD6B9B	940451896E330BA56D6C579904A7CEA3	19727934	negative_control_rep2	Department of Clinical and Molecular Medicine, NTNU	9606	SRS9218415	GSM5387166	INA-6	human multiple myeloma	INA-6 (human multiple myeloma cell line)	untreated
SAMN19727935	SRR14827318	2021-06-18T17:32:19Z	2021-06-16T12:56:40Z	40770360	3506250960	0	86	1178		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14827/SRR14827318/SRR14827318.lite.1	SRX11156912		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP324243	PRJNA738364	3	738364	SRS9218414	simple	9606	Homo sapiens	GSM5387165							no					GEO	SRA1245600		public	B5EA7294173BC3A88AD11428D7889B3E	7ACE710CFF31264E7F0B74D7442298E8	19727935	negative_control_rep1	Department of Clinical and Molecular Medicine, NTNU	9606	SRS9218414	GSM5387165	INA-6	human multiple myeloma	INA-6 (human multiple myeloma cell line)	untreated
SAMN19727954	SRR14827329	2021-06-18T17:32:19Z	2021-06-16T13:01:34Z	27684849	2380897014	0	86	806		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14827/SRR14827329/SRR14827329.lite.1	SRX11156923		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP324243	PRJNA738364	3	738364	SRS9218425	simple	9606	Homo sapiens	GSM5387176							no					GEO	SRA1245600		public	0F9211DCD7AF069739DFBBB34EEF0930	9BDAC8F04FA009CCCE959E83DE507CDC	19727954	melphalan_NG25_rep3	Department of Clinical and Molecular Medicine, NTNU	9606	SRS9218425	GSM5387176	INA-6	human multiple myeloma	INA-6 (human multiple myeloma cell line)	treated with 10 μM melphalan and 2 μM NG25 for 6 hours
SAMN19727956	SRR14827328	2021-06-18T17:32:19Z	2021-06-16T13:00:08Z	32024549	2754111214	0	86	947		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14827/SRR14827328/SRR14827328.lite.1	SRX11156922		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP324243	PRJNA738364	3	738364	SRS9218424	simple	9606	Homo sapiens	GSM5387175							no					GEO	SRA1245600		public	ECBB53E8BF3ABBDD986803327A64A0DE	232FFE6AE2A592986620AC424AD6ECD9	19727956	melphalan_NG25_rep2	Department of Clinical and Molecular Medicine, NTNU	9606	SRS9218424	GSM5387175	INA-6	human multiple myeloma	INA-6 (human multiple myeloma cell line)	treated with 10 μM melphalan and 2 μM NG25 for 6 hours
SAMN19727958	SRR14827327	2021-06-18T17:32:19Z	2021-06-16T13:01:43Z	28088235	2415588210	0	86	811		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14827/SRR14827327/SRR14827327.lite.1	SRX11156921		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP324243	PRJNA738364	3	738364	SRS9218423	simple	9606	Homo sapiens	GSM5387174							no					GEO	SRA1245600		public	18272DCCDDEC98D87711BAF132FFE08A	C9ECA33D0EC639F53BD7A41A91E3BF71	19727958	melphalan_NG25_rep1	Department of Clinical and Molecular Medicine, NTNU	9606	SRS9218423	GSM5387174	INA-6	human multiple myeloma	INA-6 (human multiple myeloma cell line)	treated with 10 μM melphalan and 2 μM NG25 for 6 hours
SAMN19727959	SRR14827326	2021-06-18T17:32:19Z	2021-06-16T12:57:40Z	28361450	2439084700	0	86	818		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14827/SRR14827326/SRR14827326.lite.1	SRX11156920		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP324243	PRJNA738364	3	738364	SRS9218422	simple	9606	Homo sapiens	GSM5387173							no					GEO	SRA1245600		public	B4E7E5E4F4CFCA62A22CE2EEC775B2A6	FAC72FE7DAF1A345C6F750BEF72C121E	19727959	NG25_rep3	Department of Clinical and Molecular Medicine, NTNU	9606	SRS9218422	GSM5387173	INA-6	human multiple myeloma	INA-6 (human multiple myeloma cell line)	treated with 2 μM NG25 for 6 hours
SAMN19727961	SRR14827325	2021-06-18T17:32:19Z	2021-06-16T12:57:10Z	34804215	2993162490	0	86	1002		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14827/SRR14827325/SRR14827325.lite.1	SRX11156919		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP324243	PRJNA738364	3	738364	SRS9218421	simple	9606	Homo sapiens	GSM5387172							no					GEO	SRA1245600		public	0089BC848D39E9B6CC1ABC505D56612D	34CDDF340623F2CCAF77CB2C6CBF23C4	19727961	NG25_rep2	Department of Clinical and Molecular Medicine, NTNU	9606	SRS9218421	GSM5387172	INA-6	human multiple myeloma	INA-6 (human multiple myeloma cell line)	treated with 2 μM NG25 for 6 hours
