BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	genotype	iPSc line	source_name	treatment
SAMN20591380	SRR15353224	2022-04-14T08:08:12Z	2021-08-08T14:57:25Z	36157340	3076123466	36157340	85	1169		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15353/SRR15353224/SRR15353224.lite.1	SRX11656929		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP331228	PRJNA752346	3	752346	SRS9689917	simple	9606	Homo sapiens	GSM5504163							no					GEO	SRA1272439		public	53E74F38898185A23CE189AD1433179F	6D2F0F02F9DFD21C0376D2BBA6BFA066	20591380	OG-0UM-REP1	Centre for Heart Lung Innovation, Department of Medicine, University of British Columbia	9606	SRS9689917	GSM5504163	RARG-WT/S427L	Case-003	hiPSC-derived cardiomyocytes	vehicle (DMSO)
SAMN20591381	SRR15353225	2022-04-14T08:08:12Z	2021-08-08T14:47:17Z	32753618	2786133373	32753618	85	1056		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15353/SRR15353225/SRR15353225.lite.1	SRX11656930		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP331228	PRJNA752346	3	752346	SRS9689919	simple	9606	Homo sapiens	GSM5504164							no					GEO	SRA1272439		public	4AD2C121719A07B426C6D53CDD710DBA	26C729F912055426D4B91785F9B9CE72	20591381	OG-0UM-REP2	Centre for Heart Lung Innovation, Department of Medicine, University of British Columbia	9606	SRS9689919	GSM5504164	RARG-WT/S427L	Case-003	hiPSC-derived cardiomyocytes	vehicle (DMSO)
SAMN20591382	SRR15353226	2022-04-14T08:08:12Z	2021-08-08T14:54:08Z	35277958	3001350663	35277958	85	1145		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR015/15353/SRR15353226/SRR15353226.lite.1	SRX11656931		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP331228	PRJNA752346	3	752346	SRS9689918	simple	9606	Homo sapiens	GSM5504165							no					GEO	SRA1272439		public	F9D9F6161E7E0B7A03307035F3101D4F	918509FF2F151A592FE60895778EC4C6	20591382	OG-0UM-REP3	Centre for Heart Lung Innovation, Department of Medicine, University of British Columbia	9606	SRS9689918	GSM5504165	RARG-WT/S427L	Case-003	hiPSC-derived cardiomyocytes	vehicle (DMSO)
SAMN20591383	SRR15353227	2022-04-14T08:08:12Z	2021-08-08T14:48:20Z	28357204	2412471935	28357204	85	1007		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15353/SRR15353227/SRR15353227.lite.1	SRX11656932		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP331228	PRJNA752346	3	752346	SRS9689925	simple	9606	Homo sapiens	GSM5504166							no					GEO	SRA1272439		public	42B237A9E319F1D5BEDF11DEE9D081F1	5B06CCC6797FD89C0D15F9F665867616	20591383	OG-1UM-REP1	Centre for Heart Lung Innovation, Department of Medicine, University of British Columbia	9606	SRS9689925	GSM5504166	RARG-WT/S427L	Case-003	hiPSC-derived cardiomyocytes	1uM doxorubicin
SAMN20591384	SRR15353228	2022-04-14T08:08:12Z	2021-08-08T15:15:07Z	33344744	2836810650	33344744	85	1194		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15353/SRR15353228/SRR15353228.lite.1	SRX11656933		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP331228	PRJNA752346	3	752346	SRS9689920	simple	9606	Homo sapiens	GSM5504167							no					GEO	SRA1272439		public	0D0C502511BE8425DF4FDDA56093D23D	624A6691075ED615F9549432314C550C	20591384	OG-1UM-REP2	Centre for Heart Lung Innovation, Department of Medicine, University of British Columbia	9606	SRS9689920	GSM5504167	RARG-WT/S427L	Case-003	hiPSC-derived cardiomyocytes	1uM doxorubicin
SAMN20591385	SRR15353229	2022-04-14T08:08:12Z	2021-08-08T15:00:00Z	45685562	3897102228	45685562	85	1641		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15353/SRR15353229/SRR15353229.lite.1	SRX11656934		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP331228	PRJNA752346	3	752346	SRS9689921	simple	9606	Homo sapiens	GSM5504168							no					GEO	SRA1272439		public	11516877EBF20ED0CBC351EBF16FDF06	3779148CAC2DD2CBC1C8768AD95062AF	20591385	OG-1UM-REP3	Centre for Heart Lung Innovation, Department of Medicine, University of British Columbia	9606	SRS9689921	GSM5504168	RARG-WT/S427L	Case-003	hiPSC-derived cardiomyocytes	1uM doxorubicin
SAMN20591386	SRR15353230	2022-04-14T08:08:12Z	2021-08-08T15:03:09Z	34087272	2899570481	34087272	85	1133		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15353/SRR15353230/SRR15353230.lite.1	SRX11656935		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP331228	PRJNA752346	3	752346	SRS9689922	simple	9606	Homo sapiens	GSM5504169							no					GEO	SRA1272439		public	C01CF68909874EFAC69BF76DF382AD52	DB69F4E8D624401777C4206D83D829CF	20591386	RP-0UM-REP1	Centre for Heart Lung Innovation, Department of Medicine, University of British Columbia	9606	SRS9689922	GSM5504169	RARG-WT/WT	Case-003	hiPSC-derived cardiomyocytes	vehicle (DMSO)
SAMN20591387	SRR15353231	2022-04-14T08:08:12Z	2021-08-08T14:55:13Z	39796313	3385216951	39796313	85	1343		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15353/SRR15353231/SRR15353231.lite.1	SRX11656936		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP331228	PRJNA752346	3	752346	SRS9689923	simple	9606	Homo sapiens	GSM5504170							no					GEO	SRA1272439		public	87DDB807AD379390D81ABC18F4D00433	CA66E7D130AC683BD407D858C4CCC67C	20591387	RP-0UM-REP2	Centre for Heart Lung Innovation, Department of Medicine, University of British Columbia	9606	SRS9689923	GSM5504170	RARG-WT/WT	Case-003	hiPSC-derived cardiomyocytes	vehicle (DMSO)
SAMN20591388	SRR15353232	2022-04-14T08:08:12Z	2021-08-08T14:45:57Z	31274652	2660267296	31274652	85	1043		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR015/15353/SRR15353232/SRR15353232.lite.1	SRX11656937		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP331228	PRJNA752346	3	752346	SRS9689924	simple	9606	Homo sapiens	GSM5504171							no					GEO	SRA1272439		public	38F058DC2686A4162F33104DDC60D804	81BF07D57DA5519A50A3FBBB5915B897	20591388	RP-0UM-REP3	Centre for Heart Lung Innovation, Department of Medicine, University of British Columbia	9606	SRS9689924	GSM5504171	RARG-WT/WT	Case-003	hiPSC-derived cardiomyocytes	vehicle (DMSO)
SAMN20591389	SRR15353233	2022-04-14T08:08:12Z	2021-08-08T15:24:31Z	38567824	3280583577	38567824	85	1281		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15353/SRR15353233/SRR15353233.lite.1	SRX11656938		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP331228	PRJNA752346	3	752346	SRS9689926	simple	9606	Homo sapiens	GSM5504172							no					GEO	SRA1272439		public	79386D172B429FDE01D5E00F80FAB7E9	8047711B4852F0C84AD33EF381C59112	20591389	RP-1UM-REP1	Centre for Heart Lung Innovation, Department of Medicine, University of British Columbia	9606	SRS9689926	GSM5504172	RARG-WT/WT	Case-003	hiPSC-derived cardiomyocytes	1uM doxorubicin
