BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment	group
SAMN22243659	SRR16312862	2022-06-02T12:05:07Z	2021-10-13T11:55:21Z	19601634	5880490200	19601634	300	1868		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16312/SRR16312862/SRR16312862.lite.1	SRX12591398		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP341179	PRJNA770917	3	770917	SRS10547041	simple	9606	Homo sapiens	GSM5624076							no					GEO	SRA1310327		public	BB1E2B37BE2652863AFB15327828772A	EFFF65EF7A4073326287945BD34C8CA5	22243659	SK-MEL-28 Etoposide 1	Liulab, Dermatology, Xiangya Hospital	9606	SRS10547041	GSM5624076	SK-MEL-28	SK-MEL-28	Etoposide	SK.MEL.28.Etoposide
SAMN22243660	SRR16312851	2022-06-02T12:05:07Z	2021-10-13T11:52:53Z	21271437	6381431100	21271437	300	1968		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16312/SRR16312851/SRR16312851.lite.1	SRX12591399		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP341179	PRJNA770917	3	770917	SRS10547042	simple	9606	Homo sapiens	GSM5624077							no					GEO	SRA1310327		public	CE41BC20A4D84580D4196A1151B7BE82	EFC26ADB3782E599B01D03AAA597BCCD	22243660	SK-MEL-28 Etoposide 2	Liulab, Dermatology, Xiangya Hospital	9606	SRS10547042	GSM5624077	SK-MEL-28	SK-MEL-28	Etoposide	SK.MEL.28.Etoposide
SAMN22243661	SRR16312852	2022-06-02T12:05:07Z	2021-10-13T12:06:59Z	22187307	6656192100	22187307	300	2041		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16312/SRR16312852/SRR16312852.lite.1	SRX12591400		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP341179	PRJNA770917	3	770917	SRS10547043	simple	9606	Homo sapiens	GSM5624078							no					GEO	SRA1310327		public	B939A880BCF2B7F150C9BB38682DF241	1C9748EA965063D04502D60C26056B3D	22243661	SK-MEL-28 Etoposide 3	Liulab, Dermatology, Xiangya Hospital	9606	SRS10547043	GSM5624078	SK-MEL-28	SK-MEL-28	Etoposide	SK.MEL.28.Etoposide
SAMN22243668	SRR16312853	2022-06-02T12:05:07Z	2021-10-13T11:43:41Z	19412266	5823679800	19412266	300	1778		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16312/SRR16312853/SRR16312853.lite.1	SRX12591389		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP341179	PRJNA770917	3	770917	SRS10547032	simple	9606	Homo sapiens	GSM5624067							no					GEO	SRA1310327		public	22C75845DDD5595089136A02F8EB6D17	D0234CEA3A01EA8ED23929A7FF58F259	22243668	A375 Etoposide + Rapamycin 1	Liulab, Dermatology, Xiangya Hospital	9606	SRS10547032	GSM5624067	A375	A375	Etoposide + Rapamycin	A375.Etoposide...Rapamycin
SAMN22243711	SRR16312854	2022-06-02T12:05:07Z	2021-10-13T11:54:39Z	19994412	5998323600	19994412	300	1869		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16312/SRR16312854/SRR16312854.lite.1	SRX12591390		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP341179	PRJNA770917	3	770917	SRS10547033	simple	9606	Homo sapiens	GSM5624068							no					GEO	SRA1310327		public	60031B39062416D87125AFE379788C74	920E8C39A8E9413A801A2C5CAC028297	22243711	A375 Etoposide + Rapamycin 2	Liulab, Dermatology, Xiangya Hospital	9606	SRS10547033	GSM5624068	A375	A375	Etoposide + Rapamycin	A375.Etoposide...Rapamycin
SAMN22243712	SRR16312855	2022-06-02T12:05:07Z	2021-10-13T11:54:06Z	20653450	6196035000	20653450	300	1912		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16312/SRR16312855/SRR16312855.lite.1	SRX12591391		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP341179	PRJNA770917	3	770917	SRS10547034	simple	9606	Homo sapiens	GSM5624069							no					GEO	SRA1310327		public	4F9C647603617F6DC6E92809D2ACF58D	EA45C6A2E0969543DF152E70BAEB5C30	22243712	A375 Etoposide + Rapamycin 3	Liulab, Dermatology, Xiangya Hospital	9606	SRS10547034	GSM5624069	A375	A375	Etoposide + Rapamycin	A375.Etoposide...Rapamycin
SAMN22243713	SRR16312856	2022-06-02T12:05:07Z	2021-10-13T11:55:36Z	19962742	5988822600	19962742	300	1861		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16312/SRR16312856/SRR16312856.lite.1	SRX12591392		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP341179	PRJNA770917	3	770917	SRS10547036	simple	9606	Homo sapiens	GSM5624070							no					GEO	SRA1310327		public	5EA1DAD020AA4259EC7A0FAE46C06E6E	65B5284B1DE4A384CB72691B7D4F19FC	22243713	A375 Etoposide 1	Liulab, Dermatology, Xiangya Hospital	9606	SRS10547036	GSM5624070	A375	A375	Etoposide	A375.Etoposide
SAMN22243714	SRR16312857	2022-06-02T12:05:07Z	2021-10-13T12:11:42Z	20799198	6239759400	20799198	300	1917		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16312/SRR16312857/SRR16312857.lite.1	SRX12591393		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP341179	PRJNA770917	3	770917	SRS10547035	simple	9606	Homo sapiens	GSM5624071							no					GEO	SRA1310327		public	712A02E9B735602B7CE5FD0B81DF7B0A	0ED11B8208AC227C26D03C12956D9598	22243714	A375 Etoposide 2	Liulab, Dermatology, Xiangya Hospital	9606	SRS10547035	GSM5624071	A375	A375	Etoposide	A375.Etoposide
SAMN22243715	SRR16312858	2022-06-02T12:05:07Z	2021-10-13T11:50:35Z	19566725	5870017500	19566725	300	1823		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16312/SRR16312858/SRR16312858.lite.1	SRX12591394		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP341179	PRJNA770917	3	770917	SRS10547037	simple	9606	Homo sapiens	GSM5624072							no					GEO	SRA1310327		public	DE474BF20E5BF17BBF3BF1B9CA70C29F	A2E50B38EA2274294CE81C915A616018	22243715	A375 Etoposide 3	Liulab, Dermatology, Xiangya Hospital	9606	SRS10547037	GSM5624072	A375	A375	Etoposide	A375.Etoposide
SAMN22243716	SRR16312859	2022-06-02T12:05:07Z	2021-10-13T11:56:12Z	21195654	6358696200	21195654	300	1997		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16312/SRR16312859/SRR16312859.lite.1	SRX12591395		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP341179	PRJNA770917	3	770917	SRS10547038	simple	9606	Homo sapiens	GSM5624073							no					GEO	SRA1310327		public	3777DDF8A81CBDBC69372CF4DF9F0DED	72D02DE1BAE4C4D525C3B35994A694EB	22243716	SK-MEL-28 Etoposide + Rapamycin 1	Liulab, Dermatology, Xiangya Hospital	9606	SRS10547038	GSM5624073	SK-MEL-28	SK-MEL-28	Etoposide + Rapamycin	SK.MEL.28.Etoposide...Rapamycin
