BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	replicates	source_name	time	treatment	group
SAMN25046774	SRR17648452	2022-10-20T14:36:44Z	2022-01-17T20:08:47Z	38255589	11476676700	38255589	300	3450		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17648/SRR17648452/SRR17648452.lite.1	SRX13816722	GSM5822692	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP355478	PRJNA798098	3	798098	SRS11696918	simple	9606	Homo sapiens	GSM5822692							no					BIN CHEN LAB, DEPARTMENT OF PEDIATRICS AND HUMAN DEVELOPMENT, MICHIGAN STATE UNIVERSITY	SRA1357752		public	0B54A063CFA2F49A54D46ACFB627DAC0	6186CF60BB5DBBEE4F4918428617FDA4	25046774	DIPG4_MMF treated [MMF_3]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696918	GSM5822692	DIPG4	biological_replicate: 3	DIPG4_MMF treated	24h	MMF	DIPG4.MMF.1µM.24hrs
SAMN25046775	SRR17648453	2022-10-20T14:36:44Z	2022-01-17T20:14:44Z	38971964	11691589200	38971964	300	3587		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR017/17648/SRR17648453/SRR17648453.lite.1	SRX13816721	GSM5822691	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP355478	PRJNA798098	3	798098	SRS11696917	simple	9606	Homo sapiens	GSM5822691							no					BIN CHEN LAB, DEPARTMENT OF PEDIATRICS AND HUMAN DEVELOPMENT, MICHIGAN STATE UNIVERSITY	SRA1357752		public	67C3D6875E0BBC66E0400CB7F4A88C39	3100DF56CDC6580FC7C1CE2105A4A7A6	25046775	DIPG4_MMF treated [MMF_2]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696917	GSM5822691	DIPG4	biological_replicate: 2	DIPG4_MMF treated	24h	MMF	DIPG4.MMF.1µM.24hrs
SAMN25046776	SRR17648454	2022-10-20T14:36:44Z	2022-01-17T20:05:22Z	31124333	9337299900	31124333	300	2856		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17648/SRR17648454/SRR17648454.lite.1	SRX13816720	GSM5822690	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP355478	PRJNA798098	3	798098	SRS11696916	simple	9606	Homo sapiens	GSM5822690							no					BIN CHEN LAB, DEPARTMENT OF PEDIATRICS AND HUMAN DEVELOPMENT, MICHIGAN STATE UNIVERSITY	SRA1357752		public	340BC07E629E70CDAE450D462811E3A1	9F4BD8A118FF1D5E689179BC2EE8DFB0	25046776	DIPG4_MMF treated [MMF_1]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696916	GSM5822690	DIPG4	biological_replicate: 1	DIPG4_MMF treated	24h	MMF	DIPG4.MMF.1µM.24hrs
SAMN25046777	SRR17648455	2022-10-20T14:36:44Z	2022-01-17T20:09:37Z	33487375	10046212500	33487375	300	3104		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17648/SRR17648455/SRR17648455.lite.1	SRX13816719	GSM5822689	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP355478	PRJNA798098	3	798098	SRS11696915	simple	9606	Homo sapiens	GSM5822689							no					BIN CHEN LAB, DEPARTMENT OF PEDIATRICS AND HUMAN DEVELOPMENT, MICHIGAN STATE UNIVERSITY	SRA1357752		public	90148D56ADA2130FE0DA9589D5C1C7BE	DE588D94808AC7564F718C1B772A88EA	25046777	DIPG4_TPL treated [TPL_3]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696915	GSM5822689	DIPG4	biological_replicate: 3	DIPG4_TPL treated	24h	TPL	DIPG4.TPL.2nM..24hrs
SAMN25046778	SRR17648456	2022-10-20T14:36:44Z	2022-01-17T20:13:01Z	37228514	11168554200	37228514	300	3322		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17648/SRR17648456/SRR17648456.lite.1	SRX13816718	GSM5822688	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP355478	PRJNA798098	3	798098	SRS11696914	simple	9606	Homo sapiens	GSM5822688							no					BIN CHEN LAB, DEPARTMENT OF PEDIATRICS AND HUMAN DEVELOPMENT, MICHIGAN STATE UNIVERSITY	SRA1357752		public	C486BDC7C2CAD442C3DF8DDAD78E9A1D	91DBB5CBC542D3D380CDCD987B126FC2	25046778	DIPG4_TPL treated [TPL_2]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696914	GSM5822688	DIPG4	biological_replicate: 2	DIPG4_TPL treated	24h	TPL	DIPG4.TPL.2nM..24hrs
SAMN25046779	SRR17648457	2022-10-20T14:36:44Z	2022-01-17T20:11:40Z	35252230	10575669000	35252230	300	3254		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17648/SRR17648457/SRR17648457.lite.1	SRX13816717	GSM5822687	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP355478	PRJNA798098	3	798098	SRS11696913	simple	9606	Homo sapiens	GSM5822687							no					BIN CHEN LAB, DEPARTMENT OF PEDIATRICS AND HUMAN DEVELOPMENT, MICHIGAN STATE UNIVERSITY	SRA1357752		public	6AE6960B675A06AF791295A40F45506A	54E832E3EF9931237B984E50067D64CE	25046779	DIPG4_TPL treated [TPL_1]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696913	GSM5822687	DIPG4	biological_replicate: 1	DIPG4_TPL treated	24h	TPL	DIPG4.TPL.2nM..24hrs
SAMN25046780	SRR17648458	2022-10-20T14:36:44Z	2022-01-17T20:17:20Z	40866957	12260087100	40866957	300	3740		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17648/SRR17648458/SRR17648458.lite.1	SRX13816716	GSM5822686	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP355478	PRJNA798098	3	798098	SRS11696912	simple	9606	Homo sapiens	GSM5822686							no					BIN CHEN LAB, DEPARTMENT OF PEDIATRICS AND HUMAN DEVELOPMENT, MICHIGAN STATE UNIVERSITY	SRA1357752		public	203F78C9D2B57992AD01F4F405713F22	A6D9301C92D2F2E3DC9EEDB8AF41FBE4	25046780	DIPG4_TRIAM treated [TRIAM_3]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696912	GSM5822686	DIPG4	biological_replicate: 3	DIPG4_TRIAM treated	24h	TRIAM	DIPG4.TRIAM.30µM.24hrs
SAMN25046781	SRR17648459	2022-10-20T14:36:44Z	2022-01-17T20:15:29Z	38413279	11523983700	38413279	300	3523		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17648/SRR17648459/SRR17648459.lite.1	SRX13816715	GSM5822685	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP355478	PRJNA798098	3	798098	SRS11696911	simple	9606	Homo sapiens	GSM5822685							no					BIN CHEN LAB, DEPARTMENT OF PEDIATRICS AND HUMAN DEVELOPMENT, MICHIGAN STATE UNIVERSITY	SRA1357752		public	EC0855AE2EABF4F25C573B7086C69043	C7E678FA377E594A4DDEB12CD8CBE5B9	25046781	DIPG4_TRIAM treated [TRIAM_2]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696911	GSM5822685	DIPG4	biological_replicate: 2	DIPG4_TRIAM treated	24h	TRIAM	DIPG4.TRIAM.30µM.24hrs
SAMN25046782	SRR17648460	2022-10-20T14:36:44Z	2022-01-17T20:06:46Z	29217011	8765103300	29217011	300	2712		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17648/SRR17648460/SRR17648460.lite.1	SRX13816714	GSM5822684	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP355478	PRJNA798098	3	798098	SRS11696910	simple	9606	Homo sapiens	GSM5822684							no					BIN CHEN LAB, DEPARTMENT OF PEDIATRICS AND HUMAN DEVELOPMENT, MICHIGAN STATE UNIVERSITY	SRA1357752		public	27DD0D3440E971AE4563AA7EC75DB086	77AD9FD93C26AABA82AF0FA37194E01B	25046782	DIPG4_TRIAM treated [TRIAM_1]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696910	GSM5822684	DIPG4	biological_replicate: 1	DIPG4_TRIAM treated	24h	TRIAM	DIPG4.TRIAM.30µM.24hrs
SAMN25046783	SRR17648461	2022-10-20T14:36:44Z	2022-01-17T20:14:51Z	32537428	9761228400	32537428	300	3018		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17648/SRR17648461/SRR17648461.lite.1	SRX13816713	GSM5822683	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP355478	PRJNA798098	3	798098	SRS11696909	simple	9606	Homo sapiens	GSM5822683							no					BIN CHEN LAB, DEPARTMENT OF PEDIATRICS AND HUMAN DEVELOPMENT, MICHIGAN STATE UNIVERSITY	SRA1357752		public	9A56DDA6E91CC66A2F5D1448E698C41F	9D4401C607447A277D3A74C1461CA267	25046783	DIPG4_DMSO treated [DMSO_3]	Bin Chen Lab, Department of Pediatrics and Human Development, Michigan State University	9606	SRS11696909	GSM5822683	DIPG4	biological_replicate: 3	DIPG4_DMSO treated	24h	DMSO	DIPG4.DMSO.24hrs
