BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell type	source_name	treatment
SAMN26542522	SRR18280474	2022-03-26T14:35:29Z	2022-03-11T15:31:06Z	12442308	1256673108	0	101	404		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280474/SRR18280474	SRX14418395	GSM5941983	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227498	simple	9606	Homo sapiens	GSM5941983							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	16363400551F16D98F3F634B0CA78B99	AAF984D4E5935B2B9A608A4329E1C763	26542522	MPAF_DMSO_0.001%_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227498	GSM5941983	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.001%_24h
SAMN26542523	SRR18280475	2022-03-26T14:35:29Z	2022-03-11T15:33:07Z	15878704	1603749104	0	101	521		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280475/SRR18280475	SRX14418394	GSM5941982	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227499	simple	9606	Homo sapiens	GSM5941982							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	E9CE4231FAA04FA9681E92EC7C0ABB87	DEC8051541566DBD97B62F3B54B1E732	26542523	MPAF_DMSO_0.001%_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227499	GSM5941982	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.001%_24h
SAMN26542524	SRR18280476	2022-03-26T14:35:29Z	2022-03-11T15:32:39Z	13895529	1403448429	0	101	461		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280476/SRR18280476	SRX14418393	GSM5941981	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227497	simple	9606	Homo sapiens	GSM5941981							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	DEFCA9F0C5C2804CE2F18744969F2E78	39B706E2F481F64DECD787FC756FB1D7	26542524	MPAF_DMSO_0.001%_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227497	GSM5941981	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.001%_24h
SAMN26542525	SRR18280477	2022-03-26T14:35:29Z	2022-03-11T15:31:53Z	12403952	1252799152	0	101	406		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280477/SRR18280477	SRX14418392	GSM5941980	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227495	simple	9606	Homo sapiens	GSM5941980							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	5DCEB6228DB7992F724E0D7E76EDE035	AEB61575700057C07F37B1B7CBD55D7D	26542525	MPAF_DMSO_0.001%_1h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227495	GSM5941980	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.001%_1h
SAMN26542526	SRR18280478	2022-03-26T14:35:29Z	2022-03-11T15:30:50Z	10397878	1050185678	0	101	344		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280478/SRR18280478	SRX14418391	GSM5941979	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227496	simple	9606	Homo sapiens	GSM5941979							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	EC8B3E1B6337B689930303F06F7CCC60	D67AB0100F7E4390D6CBE18813AD49F3	26542526	MPAF_DMSO_0.001%_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227496	GSM5941979	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.001%_1h
SAMN26542527	SRR18280479	2022-03-26T14:35:29Z	2022-03-11T15:32:20Z	14395968	1453992768	0	101	475		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280479/SRR18280479	SRX14418390	GSM5941978	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227494	simple	9606	Homo sapiens	GSM5941978							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	54D1D7D38F3EF934827F7A18D0C3ED9A	57BF5814F4BAC45776417D372CC8CFA9	26542527	MPAF_DMSO_0.001%_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227494	GSM5941978	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.001%_1h
SAMN26542528	SRR18280480	2022-03-26T14:35:29Z	2022-03-11T15:32:01Z	13368131	1350181231	0	101	438		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280480/SRR18280480	SRX14418389	GSM5941977	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227493	simple	9606	Homo sapiens	GSM5941977							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	B4D9D75884CBD2D37B56A17205051F90	38EB47CF374D7FE5B872CE4007F12BE2	26542528	MPAF_YKL5124_100nM_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227493	GSM5941977	Human Adult Fibroblasts	MPAF_cell_line	YKL5124_100nM_24h
SAMN26542529	SRR18280481	2022-03-26T14:35:29Z	2022-03-11T15:31:58Z	9865119	996377019	0	101	324		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280481/SRR18280481	SRX14418388	GSM5941976	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227492	simple	9606	Homo sapiens	GSM5941976							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	E8437D72F6D16EFAD6DCAA5CDC3F6F19	8FB613CB5A654FAEBF170357295DE4F3	26542529	MPAF_YKL5124_100nM_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227492	GSM5941976	Human Adult Fibroblasts	MPAF_cell_line	YKL5124_100nM_24h
SAMN26542530	SRR18280482	2022-03-26T14:35:29Z	2022-03-11T15:33:54Z	16108130	1626921130	0	101	523		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280482/SRR18280482	SRX14418387	GSM5941975	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227491	simple	9606	Homo sapiens	GSM5941975							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	31A6906399C5ADAA4767828AFAA68073	E4657CED1D30AD6D8F3DCF26A25D4152	26542530	MPAF_YKL5124_100nM_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227491	GSM5941975	Human Adult Fibroblasts	MPAF_cell_line	YKL5124_100nM_24h
SAMN26542531	SRR18280483	2022-03-26T14:35:29Z	2022-03-11T15:31:17Z	8839830	892822830	0	101	296		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280483/SRR18280483	SRX14418386	GSM5941974	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227490	simple	9606	Homo sapiens	GSM5941974							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	A2ED3DB768D9B4447ED132CA5B458C26	222A7F796C78F8536F8200D3DBDD2646	26542531	MPAF_YKL5124_100nM_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227490	GSM5941974	Human Adult Fibroblasts	MPAF_cell_line	YKL5124_100nM_1h
