BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex.x	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	Sex.y	age	cell line	collection_date	geo_loc_name	provider	source_name	treatment	vendor id	group
SAMN27108707	SRR19982841	2023-04-24T18:39:05Z	2022-07-05T14:25:18Z	1793669	88904255	0	49	38		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19982/SRR19982841/SRR19982841.lite.1	SRX16025300	GSM5986721	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705520	simple	9606	Homo sapiens	GSM5986721							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	D81A4A4B82824E4535D55F8F599D8D4B	63A4E8C37C67EEE94EA730918454508E	27108707	lncap_LNCAPPS5B_H12_Phorbol 12-myristate 13-acetate_0.0009_24	Department of Systems Biology, Columbia University	9606	SRS13705520	GSM5986721	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Phorbol 12-myristate 13-acetate	CRL-1740	LNCaP.Phorbol.12.myristate.13.acetate.24hr
SAMN27108708	SRR19982843	2023-04-24T18:39:05Z	2022-07-07T04:27:20Z	1743591	86357599	0	49	37		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19982/SRR19982843/SRR19982843.lite.1	SRX16025299	GSM5986720	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705519	simple	9606	Homo sapiens	GSM5986720							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	59CA66D43FCAD6C705D3CE835FB9FE94	D15A723F8992D4014FEA0A85E81523F0	27108708	lncap_LNCAPPS5B_H11_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705519	GSM5986720	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740	LNCaP.UNTREATED.24hr
SAMN27108709	SRR19982844	2023-04-24T18:39:05Z	2022-07-05T14:25:14Z	1973107	97810621	0	49	45		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19982/SRR19982844/SRR19982844.lite.1	SRX16025298	GSM5986719	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705518	simple	9606	Homo sapiens	GSM5986719							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	B937F6800AF1E78D3FBCDA03334549DE	BCBE863BC79D60008A2EBB2ED470C76A	27108709	lncap_LNCAPPS5B_H10_PD-184161_3.5_24	Department of Systems Biology, Columbia University	9606	SRS13705518	GSM5986719	male	50	LNCaP	missing	missing	ATCC	prostate cancer	PD-184161	CRL-1740	LNCaP.PD.184161.24hr
SAMN27108710	SRR19982846	2023-04-24T18:39:05Z	2022-07-05T14:25:20Z	2659577	131786929	0	49	58		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19982/SRR19982846/SRR19982846.lite.1	SRX16025256	GSM5986718	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705476	simple	9606	Homo sapiens	GSM5986718							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	BF390B48E32983A861892D2AA87C2563	0890CCDD9B79198DBC389B363A1070FC	27108710	lncap_LNCAPPS5B_H9_Piperlongumine_1_24	Department of Systems Biology, Columbia University	9606	SRS13705476	GSM5986718	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Piperlongumine	CRL-1740	LNCaP.Piperlongumine.24hr
SAMN27108711	SRR19982845	2023-04-24T18:39:05Z	2022-07-05T14:25:11Z	1393955	69097607	0	49	30		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19982/SRR19982845/SRR19982845.lite.1	SRX16025297	GSM5986717	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705517	simple	9606	Homo sapiens	GSM5986717							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	D7FF6FA37A3CE687E920F10D99D27872	9C9484CFF9305307A951963D132EA723	27108711	lncap_LNCAPPS5B_H8_Dihydroouabain_2_24	Department of Systems Biology, Columbia University	9606	SRS13705517	GSM5986717	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Dihydroouabain	CRL-1740	LNCaP.Dihydroouabain.24hr
SAMN27108712	SRR19982847	2023-04-24T18:39:05Z	2022-07-05T14:25:51Z	3563257	176544399	0	49	76		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR019/19982/SRR19982847/SRR19982847.lite.1	SRX16025296	GSM5986716	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705516	simple	9606	Homo sapiens	GSM5986716							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	658FB10D54971986CFE746440FC946D3	8FBB0ECA2ED50A09AEAEA4D87B2B25C8	27108712	lncap_LNCAPPS5B_H7_Calmidazolium chloride_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705516	GSM5986716	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Calmidazolium chloride	CRL-1740	LNCaP.Calmidazolium.chloride.24hr
SAMN27108713	SRR19982848	2023-04-24T18:39:05Z	2022-07-05T14:25:27Z	2855408	141507937	0	49	63		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19982/SRR19982848/SRR19982848.lite.1	SRX16025295	GSM5986715	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705515	simple	9606	Homo sapiens	GSM5986715							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	D41AA1C7E7191A24E58C48060AA533FB	E2ADDC26F74083B3D4A2176501260072	27108713	lncap_LNCAPPS5B_H6_Bay 11-7821_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705515	GSM5986715	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Bay 11-7821	CRL-1740	LNCaP.Bay.11.7821.24hr
SAMN27108714	SRR19982849	2023-04-24T18:39:05Z	2022-07-05T14:25:41Z	2442072	120980243	0	49	51		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19982/SRR19982849/SRR19982849.lite.1	SRX16025294	GSM5986714	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705514	simple	9606	Homo sapiens	GSM5986714							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	7C895CB4F8D0AEB4DBD2230D208ABE86	B8A1FBC373A76266B7390298AFD7ED06	27108714	lncap_LNCAPPS5B_H5_Ryuvidine_0.18_24	Department of Systems Biology, Columbia University	9606	SRS13705514	GSM5986714	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Ryuvidine	CRL-1740	LNCaP.Ryuvidine.24hr
SAMN27108715	SRR19982850	2023-04-24T18:39:05Z	2022-07-05T14:25:40Z	2417240	119837919	0	49	55		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19982/SRR19982850/SRR19982850.lite.1	SRX16025293	GSM5986713	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705513	simple	9606	Homo sapiens	GSM5986713							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	1E2963C1EE2F853C47BDA3068AEC15FC	BA527C501E0DE83C7B4037A52F8AE0E5	27108715	lncap_LNCAPPS5B_H4_Scriptaid_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705513	GSM5986713	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Scriptaid	CRL-1740	LNCaP.Scriptaid.24hr
SAMN27108716	SRR19982851	2023-04-24T18:39:05Z	2022-07-05T14:27:13Z	2249899	111469401	0	49	49		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19982/SRR19982851/SRR19982851.lite.1	SRX16025292	GSM5986712	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705512	simple	9606	Homo sapiens	GSM5986712							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	4F538FB2D58523D3BD0D7E32325DC3AF	476C6FAB171CE5B3FB2C2E93C3804FB9	27108716	lncap_LNCAPPS5B_H3_NNC 05-2090 hydrochloride_3.5_24	Department of Systems Biology, Columbia University	9606	SRS13705512	GSM5986712	male	50	LNCaP	missing	missing	ATCC	prostate cancer	NNC 05-2090 hydrochloride	CRL-1740	LNCaP.NNC.05.2090.hydrochloride.24hr
