BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	time	tissue	treatment
SAMN29048016	SRR19659374	2022-06-14T22:06:20Z	2022-06-14T19:44:23Z	14449015	1066429908	0	73	451		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19659/SRR19659374/SRR19659374.lite.1	SRX15709167	GSM6244108	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403634	simple	9606	Homo sapiens	GSM6244108							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	0824895243D186D4925B6AEA9835BD08	A916421C1B2DC147A3C30A12F4C99521	29048016	U2940_UT_3_S15	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403634	GSM6244108	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, Untreated, 48hrs		pleural effusion	Untreated (UT) RPMI media
SAMN29048017	SRR19659375	2022-06-14T22:06:20Z	2022-06-14T19:42:58Z	17154279	1267531041	0	73	536		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19659/SRR19659375/SRR19659375.lite.1	SRX15709166	GSM6244107	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403633	simple	9606	Homo sapiens	GSM6244107							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	F704356D5FFAFDF51F11BE379DAC65D7	36942B2D8C26A8B21C4FCE6D540A4471	29048017	U2940_UT_2_S14	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403633	GSM6244107	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, Untreated, 48hrs		pleural effusion	Untreated (UT) RPMI media
SAMN29048018	SRR19659376	2022-06-14T22:06:20Z	2022-06-14T19:47:12Z	21373815	1580144490	0	73	668		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19659/SRR19659376/SRR19659376.lite.1	SRX15709165	GSM6244106	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403632	simple	9606	Homo sapiens	GSM6244106							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	1D45DF3E7AECAB3215CAC1B72BC80309	79AB954F2DFD95266FDF5B286BD6FEF8	29048018	U2940_UT_1_S13	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403632	GSM6244106	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, Untreated, 48hrs		pleural effusion	Untreated (UT) RPMI media
SAMN29048019	SRR19659377	2022-06-14T22:06:20Z	2022-06-14T19:44:59Z	15660451	1158479339	0	73	493		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19659/SRR19659377/SRR19659377.lite.1	SRX15709164	GSM6244105	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403631	simple	9606	Homo sapiens	GSM6244105							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	51A7E911EBD2BDA625EEC99D06BE97C6	613203E67B139BA348B120F11ECAAE2F	29048019	U2940_RmAb_3_S12	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403631	GSM6244105	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, RmAb treated, 48hrs		pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048020	SRR19659378	2022-06-14T22:06:20Z	2022-06-14T19:43:48Z	15237470	1124808613	0	73	476		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19659/SRR19659378/SRR19659378.lite.1	SRX15709163	GSM6244104	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403630	simple	9606	Homo sapiens	GSM6244104							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	6885D9E49EB7E4528C0BD8DD151F4510	35ED55E7E2CBAD63D5E34C263E90E9E9	29048020	U2940_RmAb_2_S11	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403630	GSM6244104	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, RmAb treated, 48hrs		pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048021	SRR19659379	2022-06-14T22:06:20Z	2022-06-14T19:46:25Z	17640928	1304011836	0	73	554		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR019/19659/SRR19659379/SRR19659379.lite.1	SRX15709162	GSM6244103	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403629	simple	9606	Homo sapiens	GSM6244103							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	23C249256F4879F594CBB8BE15AE54EA	3F64B56961AF714BFDA057D16DCE821B	29048021	U2940_RmAb_1_S10	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403629	GSM6244103	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, RmAb treated, 48hrs		pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048022	SRR19659380	2022-06-14T22:06:20Z	2022-06-14T19:45:27Z	17321124	1278371861	0	73	542		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19659/SRR19659380/SRR19659380.lite.1	SRX15709161	GSM6244102	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403628	simple	9606	Homo sapiens	GSM6244102							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	1BB332072F950003F60EC8709DFB5410	B9AFDEEA5D119C5C355245C0FD9E5C74	29048022	U2940_PRED_3_S9	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403628	GSM6244102	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, PRED treated, 48hrs		pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048023	SRR19659381	2022-06-14T22:06:20Z	2022-06-14T19:44:33Z	16833423	1244759092	0	73	525		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19659/SRR19659381/SRR19659381.lite.1	SRX15709160	GSM6244101	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403627	simple	9606	Homo sapiens	GSM6244101							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	D692843C2E54B75AB281A57DC63B4B84	E058A8F78B57D0ABC85DC893CFD49A90	29048023	U2940_PRED_2_S8	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403627	GSM6244101	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, PRED treated, 48hrs		pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048024	SRR19659382	2022-06-14T22:06:20Z	2022-06-14T19:42:52Z	16996693	1259738515	0	74	532		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19659/SRR19659382/SRR19659382.lite.1	SRX15709159	GSM6244100	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403626	simple	9606	Homo sapiens	GSM6244100							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	2C0335C47AA58B7B4FAFC9655119DA89	984766A505445AF18364EE4266BA6A59	29048024	U2940_PRED_1_S7	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403626	GSM6244100	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, PRED treated, 48hrs		pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048025	SRR19659383	2022-06-14T22:06:20Z	2022-06-14T19:43:58Z	18796291	1387192248	0	73	585		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19659/SRR19659383/SRR19659383.lite.1	SRX15709158	GSM6244099	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403625	simple	9606	Homo sapiens	GSM6244099							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	8E8E4E6F00B4DD2F7C894B1117F55017	55BBD6F5148EDDA972455740C13A2EF6	29048025	U2940_IBR_3_S6	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403625	GSM6244099	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, IBR treated, 48hrs		pleural effusion	Ibrutinib (IBR) 2.5uM
