BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	collection_date	genotype	geo_loc_name	source_name	treatment	group
SAMN34996151	SRR24464732	2023-05-12T00:11:55Z	2023-05-08T11:00:37Z	19970293	5991087900	19970293	300	1833		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR024/24464/SRR24464732/SRR24464732.lite.1	SRX20251596	GSM7305883	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP436433	PRJNA970231		970231	SRS17583756	simple	9606	Homo sapiens	GSM7305883							no					HEMATOLOGY, WEST CHINA HOSPITAL OF SICHUAN UNIVERSITY	SRA1633990		public	27B1FAD45FFCE4409B81CFE00E398981	3B2D655F880594AF675A03EB81DDF249	34996151	MV4-11 cells, Chidamide combined with Cytarabine group 3	Hematology, West China Hospital of Sichuan University	9606	SRS17583756	GSM7305883	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Chidamide combined with cytarabine group treated for 24 h	MV4.11.Chidamide.cytarabine.1uM.2uM.24.h
SAMN34996152	SRR24464733	2023-05-12T00:11:54Z	2023-05-08T10:56:42Z	25780110	7734033000	25780110	300	2379		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR024/24464/SRR24464733/SRR24464733.lite.1	SRX20251595	GSM7305882	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP436433	PRJNA970231		970231	SRS17583755	simple	9606	Homo sapiens	GSM7305882							no					HEMATOLOGY, WEST CHINA HOSPITAL OF SICHUAN UNIVERSITY	SRA1633990		public	2FC68595A913A9140708FD28CB190217	332B42F1D7713BEA1C46C1D1293CB28D	34996152	MV4-11 cells, Chidamide combined with Cytarabine group 2	Hematology, West China Hospital of Sichuan University	9606	SRS17583755	GSM7305882	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Chidamide combined with cytarabine group treated for 24 h	MV4.11.Chidamide.cytarabine.1uM.2uM.24.h
SAMN34996153	SRR24464734	2023-05-12T00:11:54Z	2023-05-08T11:08:53Z	23291805	6987541500	23291805	300	2071		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR024/24464/SRR24464734/SRR24464734.lite.1	SRX20251594	GSM7305881	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP436433	PRJNA970231		970231	SRS17583754	simple	9606	Homo sapiens	GSM7305881							no					HEMATOLOGY, WEST CHINA HOSPITAL OF SICHUAN UNIVERSITY	SRA1633990		public	1BA3FFA5FD9FB1EB75D47628BEE618A6	3DFD5B5D4503AD7060E91A567A93370B	34996153	MV4-11 cells, Chidamide combined with Cytarabine group 1	Hematology, West China Hospital of Sichuan University	9606	SRS17583754	GSM7305881	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Chidamide combined with cytarabine group treated for 24 h	MV4.11.Chidamide.cytarabine.1uM.2uM.24.h
SAMN34996154	SRR24464735	2023-05-12T00:11:54Z	2023-05-08T10:54:01Z	23868338	7160501400	23868338	300	2198		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR024/24464/SRR24464735/SRR24464735.lite.1	SRX20251593	GSM7305880	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP436433	PRJNA970231		970231	SRS17583753	simple	9606	Homo sapiens	GSM7305880							no					HEMATOLOGY, WEST CHINA HOSPITAL OF SICHUAN UNIVERSITY	SRA1633990		public	58E5F857024AF97F1316F6117ED98E71	84454E742E2C37345B863574D5296E4E	34996154	MV4-11 cells, Cytarabine group 3	Hematology, West China Hospital of Sichuan University	9606	SRS17583753	GSM7305880	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Cytarabine treatment for 24 h	MV4.11.Cytarabine.2uM.24.h
SAMN34996155	SRR24464736	2023-05-12T00:11:54Z	2023-05-08T10:50:06Z	23641601	7092480300	23641601	300	2102		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR024/24464/SRR24464736/SRR24464736.lite.1	SRX20251592	GSM7305879	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP436433	PRJNA970231		970231	SRS17583752	simple	9606	Homo sapiens	GSM7305879							no					HEMATOLOGY, WEST CHINA HOSPITAL OF SICHUAN UNIVERSITY	SRA1633990		public	CC5E856F0D6C741DFC9193E1F1F1B7F9	C047DF5DD8C0EEB1926B66555AAA2FE8	34996155	MV4-11 cells, Cytarabine group 2	Hematology, West China Hospital of Sichuan University	9606	SRS17583752	GSM7305879	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Cytarabine treatment for 24 h	MV4.11.Cytarabine.2uM.24.h
SAMN34996156	SRR24464737	2023-05-12T00:11:54Z	2023-05-08T10:56:10Z	22790687	6837206100	22790687	300	2108		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR024/24464/SRR24464737/SRR24464737.lite.1	SRX20251591	GSM7305878	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP436433	PRJNA970231		970231	SRS17583751	simple	9606	Homo sapiens	GSM7305878							no					HEMATOLOGY, WEST CHINA HOSPITAL OF SICHUAN UNIVERSITY	SRA1633990		public	B8C3B8AB5894F4005BA19E670F4C6707	BD92C67B75DD99113DBDF017DBA61DB6	34996156	MV4-11 cells, Cytarabine group 1	Hematology, West China Hospital of Sichuan University	9606	SRS17583751	GSM7305878	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Cytarabine treatment for 24 h	MV4.11.Cytarabine.2uM.24.h
SAMN34996157	SRR24464738	2023-05-12T00:11:54Z	2023-05-08T10:53:28Z	23065604	6919681200	23065604	300	2134		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR024/24464/SRR24464738/SRR24464738.lite.1	SRX20251590	GSM7305877	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP436433	PRJNA970231		970231	SRS17583750	simple	9606	Homo sapiens	GSM7305877							no					HEMATOLOGY, WEST CHINA HOSPITAL OF SICHUAN UNIVERSITY	SRA1633990		public	30855546B73994D844A46C376B25EBD8	AE157C2F5FFAC1C1BB322B8EA0942222	34996157	MV4-11 cells, Chidamide group 3	Hematology, West China Hospital of Sichuan University	9606	SRS17583750	GSM7305877	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Chidamide treatment for 24 h	MV4.11.Chidamide.1uM.24.h
SAMN34996158	SRR24464739	2023-05-12T00:11:54Z	2023-05-08T10:55:24Z	21057497	6317249100	21057497	300	1932		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR024/24464/SRR24464739/SRR24464739.lite.1	SRX20251589	GSM7305876	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP436433	PRJNA970231		970231	SRS17583749	simple	9606	Homo sapiens	GSM7305876							no					HEMATOLOGY, WEST CHINA HOSPITAL OF SICHUAN UNIVERSITY	SRA1633990		public	FF5923D86A767D692C39EC4330695859	6BBF008CE0491F3D40E265B403AF1049	34996158	MV4-11 cells, Chidamide group 2	Hematology, West China Hospital of Sichuan University	9606	SRS17583749	GSM7305876	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Chidamide treatment for 24 h	MV4.11.Chidamide.1uM.24.h
SAMN34996159	SRR24464740	2023-05-12T00:11:54Z	2023-05-08T10:59:06Z	22333723	6700116900	22333723	300	1976		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR024/24464/SRR24464740/SRR24464740.lite.1	SRX20251588	GSM7305875	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP436433	PRJNA970231		970231	SRS17583748	simple	9606	Homo sapiens	GSM7305875							no					HEMATOLOGY, WEST CHINA HOSPITAL OF SICHUAN UNIVERSITY	SRA1633990		public	20F5FAA17C35938DDC4D11686458099A	7F7EA9E1DE400E1A1DB0ECBC6F40F6CD	34996159	MV4-11 cells, Chidamide group 1	Hematology, West China Hospital of Sichuan University	9606	SRS17583748	GSM7305875	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Chidamide treatment for 24 h	MV4.11.Chidamide.1uM.24.h
SAMN34996160	SRR24464741	2023-05-12T00:11:54Z	2023-05-08T10:52:30Z	20173644	6052093200	20173644	300	1846		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR024/24464/SRR24464741/SRR24464741.lite.1	SRX20251587	GSM7305874	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP436433	PRJNA970231		970231	SRS17583747	simple	9606	Homo sapiens	GSM7305874							no					HEMATOLOGY, WEST CHINA HOSPITAL OF SICHUAN UNIVERSITY	SRA1633990		public	EB41C831C45198DAA423D5CB8DBFE091	1FDC22B5A43A0E6664DD7FE93A524360	34996160	MV4-11 cells, Control group 3	Hematology, West China Hospital of Sichuan University	9606	SRS17583747	GSM7305874	MV4-11	Mononuclear cells	missing	WT	missing	MV4-11	Incubation for 24 h	MV4.11.Incubation.for.24.h
